node,target_rate,actual_rate,throughput,success,min_latency,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,max_latency,requests
nopbs-native,100,100.01594517708138,99.94627072054048,1.0,0.001270648,0.005813063,0.003318233,0.011502305,0.011721162,0.012174491,0.041820479,6000
nopbs-native,200,200.01421480023092,199.87283751625876,1.0,0.001068881,0.004960021,0.005739863,0.006702481,0.006915868,0.007311544,0.042437153,12000
nopbs-native,300,300.01798198777504,299.8057014313337,1.0,0.000921782,0.003966685,0.004182727,0.005002872,0.005204705,0.005534618,0.04248108,18000
nopbs-native,400,400.0182291840533,399.7412606068473,1.0,0.001083203,0.003478777,0.003489119,0.004195893,0.004386985,0.004805308,0.041570283,24000
nopbs-native,500,500.016254611741,499.66870610682923,1.0,0.00076992,0.003038516,0.00298444,0.003685742,0.003892088,0.004433254,0.041732116,30000
nopbs-native,600,600.0164042784884,599.6018941025566,1.0,0.00052352,0.002788591,0.002731672,0.00343994,0.00366278,0.004708986,0.041477405,36000
nopbs-native,700,700.0151748122904,699.5150641780148,1.0,0.000815238,0.002668736,0.002594528,0.00341104,0.003851955,0.00473873,0.042895413,42000
nopbs-native,800,800.0244023576544,799.4667194689474,1.0,0.000658371,0.002516147,0.002432231,0.003433493,0.003829992,0.004601904,0.04185284,48000
nopbs-native,900,900.0269224603302,899.3930992051321,1.0,0.000566412,0.002624575,0.00253222,0.003604146,0.003938899,0.004992806,0.042968468,54000
nopbs-native,1000,1000.0140332635964,999.3173854808718,1.0,0.000663495,0.002646107,0.00258799,0.003619264,0.00397581,0.004939948,0.042998028,60000
