node,rpc_method,target_rate,actual_rate,throughput,success_rate,min_latency,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,max_latency,requests
nopbs-native,eth_call,100,100.01585767592682,99.94377919057428,1.0,0.001385222,0.008154696,0.010808228,0.011750801,0.011949313,0.012271333,0.043264558,6000
nopbs-native,eth_call,200,200.01488860827078,200.00707215340128,1.0,0.001237563,0.004890041,0.00577494,0.006703523,0.00692161,0.007276379,0.013389766,12000
nopbs-native,eth_call,300,300.01548673442187,299.8035390706309,1.0,0.001069201,0.003841076,0.004108775,0.004984793,0.005185317,0.005537931,0.042415121,18000
nopbs-native,eth_call,400,400.01766878043003,399.72954545454434,1.0,0.001115619,0.003469083,0.003495627,0.004221584,0.00441171,0.004808989,0.04324583,24000
nopbs-native,eth_call,500,500.0131069519087,499.6602771385171,1.0,0.001212225,0.003019202,0.002959123,0.003688956,0.003887,0.004393965,0.042367254,30000
nopbs-native,eth_call,600,600.0201829188942,599.5983651010738,1.0,0.000724778,0.00275745,0.002705893,0.003380884,0.003591311,0.004323217,0.042208617,36000
nopbs-native,eth_call,700,700.0159950621469,699.5158188637688,1.0,0.000850382,0.002593377,0.002538142,0.003226538,0.003487348,0.004477963,0.04290094,42000
nopbs-native,eth_call,800,800.0234182855,799.4525694301295,1.0,0.000589624,0.002487578,0.002407543,0.003199316,0.003588001,0.004469311,0.042841727,48000
nopbs-native,eth_call,900,900.0110720262091,899.3722280518926,1.0,0.000562133,0.002466901,0.002366592,0.003309891,0.003681381,0.004611233,0.042618802,54000
nopbs-native,eth_call,1000,1000.0062440723215,999.3085856012993,1.0,0.000704473,0.002542249,0.002459975,0.00341315,0.003732085,0.004768571,0.041888209,60000
