Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763921756,3,5.5
1,1763921757,8,9.0
2,1763921758,10,11.5
3,1763921759,13,14.0
4,1763921760,15,14.5
5,1763921761,14,15.0
6,1763921762,16,15.0
7,1763921763,14,15.0
8,1763921764,16,15.0
9,1763921765,14,15.0
10,1763921766,16,15.0
11,1763921767,14,15.0
12,1763921768,16,15.0
13,1763921769,14,15.0
14,1763921770,16,15.0
15,1763921771,14,15.0
16,1763921772,16,15.0
17,1763921773,14,15.0
18,1763921774,16,15.0
19,1763921775,14,15.0
20,1763921776,16,15.0
21,1763921777,14,15.0
22,1763921778,16,15.0
23,1763921779,14,15.0
24,1763921780,16,15.0
25,1763921781,14,15.0
26,1763921782,16,15.0
27,1763921783,14,15.0
28,1763921784,16,15.0
29,1763921785,14,15.0
30,1763921786,16,15.0
31,1763921787,14,15.0
32,1763921788,16,15.0
33,1763921789,14,15.0
34,1763921790,16,15.0
35,1763921791,14,14.5
36,1763921792,15,14.5
37,1763921793,14,14.5
38,1763921794,15,14.5
39,1763921795,14,14.5
40,1763921796,15,15.0
41,1763921797,15,15.5
42,1763921798,16,15.5
43,1763921799,15,15.5
44,1763921800,16,15.5
45,1763921801,15,15.5
46,1763921802,16,15.5
47,1763921803,15,15.5
48,1763921804,16,15.5
49,1763921805,15,15.5
50,1763921806,16,15.5
51,1763921807,15,15.5
52,1763921808,16,15.5
53,1763921809,15,15.5
54,1763921810,16,15.5
55,1763921811,15,15.5
56,1763921812,16,15.5
57,1763921813,15,15.5
58,1763921814,16,15.5
59,1763921815,15,15.5
60,1763921816,16,15.5
61,1763921817,15,15.5
62,1763921818,16,15.5
63,1763921819,15,15.5
64,1763921820,16,15.5
65,1763921821,15,15.5
66,1763921822,16,15.5
67,1763921823,15,15.5
68,1763921824,16,15.5
69,1763921825,15,15.5
70,1763921826,16,15.5
71,1763921827,15,15.0
72,1763921828,15,15.0
73,1763921829,15,15.0
74,1763921830,15,15.0
75,1763921831,15,15.0
76,1763921832,15,15.5
77,1763921833,16,16.0
78,1763921834,16,16.0
79,1763921835,16,16.0
80,1763921836,16,16.0
81,1763921837,16,16.0
82,1763921838,16,16.0
83,1763921839,16,16.0
84,1763921840,16,16.0
85,1763921841,16,16.0
86,1763921842,16,16.0
87,1763921843,16,16.0
88,1763921844,16,16.0
89,1763921845,16,16.0
90,1763921846,16,16.0
91,1763921847,16,16.0
92,1763921848,16,16.0
93,1763921849,16,16.0
94,1763921850,16,16.0
95,1763921851,16,16.0
96,1763921852,16,16.0
97,1763921853,16,16.0
98,1763921854,16,16.0
99,1763921855,16,16.0
100,1763921856,16,16.0
101,1763921857,16,16.0
102,1763921858,16,16.0
103,1763921859,16,16.0
104,1763921860,16,15.5
105,1763921861,15,15.5
106,1763921862,16,15.5
107,1763921863,15,15.5
108,1763921864,16,15.5
109,1763921865,15,15.5
110,1763921866,16,15.5
111,1763921867,15,15.5
112,1763921868,16,15.5
113,1763921869,15,15.5
114,1763921870,16,15.5
115,1763921871,15,15.5
116,1763921872,16,15.5
117,1763921873,15,15.5
118,1763921874,16,15.5
119,1763921875,15,15.5
120,1763921876,16,15.5
121,1763921877,15,15.5
122,1763921878,16,15.5
123,1763921879,15,15.5
124,1763921880,16,15.5
125,1763921881,15,15.5
126,1763921882,16,15.5
127,1763921883,15,15.5
128,1763921884,16,15.5
129,1763921885,15,15.5
130,1763921886,16,15.5
131,1763921887,15,15.5
132,1763921888,16,15.5
133,1763921889,15,15.5
134,1763921890,16,15.5
135,1763921891,15,15.5
136,1763921892,16,15.5
137,1763921893,15,15.5
138,1763921894,16,15.0
139,1763921895,14,15.0
140,1763921896,16,15.0
141,1763921897,14,15.0
142,1763921898,16,15.0
143,1763921899,14,15.0
144,1763921900,16,15.0
145,1763921901,14,15.0
146,1763921902,16,15.0
147,1763921903,14,15.0
148,1763921904,16,15.0
149,1763921905,14,15.0
150,1763921906,16,15.0
151,1763921907,14,15.0
152,1763921908,16,15.0
153,1763921909,14,15.0
154,1763921910,16,15.0
155,1763921911,14,15.0
156,1763921912,16,15.0
157,1763921913,14,15.0
158,1763921914,16,15.0
159,1763921915,14,15.0
160,1763921916,16,15.0
161,1763921917,14,15.0
162,1763921918,16,15.0
163,1763921919,14,15.0
164,1763921920,16,15.0
165,1763921921,14,15.0
166,1763921922,16,15.0
167,1763921923,14,15.0
168,1763921924,16,15.0
169,1763921925,14,15.0
170,1763921926,16,15.0
171,1763921927,14,15.0
172,1763921928,16,14.5
173,1763921929,13,14.5
174,1763921930,16,14.5
175,1763921931,13,14.5
176,1763921932,16,14.5
177,1763921933,13,14.5
178,1763921934,16,14.5
179,1763921935,13,14.5
180,1763921936,16,14.5
181,1763921937,13,14.5
182,1763921938,16,14.5
183,1763921939,13,14.5
184,1763921940,16,14.5
185,1763921941,13,14.5
186,1763921942,16,14.5
187,1763921943,13,14.5
188,1763921944,16,14.5
189,1763921945,13,14.5
190,1763921946,16,14.5
191,1763921947,13,14.5
192,1763921948,16,14.5
193,1763921949,13,14.5
194,1763921950,16,14.5
195,1763921951,13,14.5
196,1763921952,16,14.5
197,1763921953,13,14.5
198,1763921954,16,14.5
199,1763921955,13,14.5
200,1763921956,16,12.0
201,1763921957,8,8.0
202,1763921958,8,4.0
203,1763921959,0,0.0
