Row_Index,Block_Number,Total_Gas_Used
0,2185,154824
1,2186,412852
2,2187,412852
3,2188,412840
4,2189,412840
5,2190,412864
6,2191,412840
7,2192,412864
8,2193,412864
9,2194,412840
10,2195,361232
11,2196,412852
12,2197,412864
13,2198,412852
14,2199,412852
15,2200,412864
16,2201,412864
17,2202,412864
18,2203,412864
19,2204,412852
20,2205,412864
21,2206,412852
22,2207,412864
23,2208,412864
24,2209,412864
25,2210,361244
26,2211,412840
27,2212,412864
28,2213,412852
29,2214,412852
30,2215,412864
31,2216,412852
32,2217,412852
33,2218,412864
34,2219,412852
35,2220,412864
36,2221,412852
37,2222,412864
38,2223,412864
39,2224,412840
40,2225,361244
41,2226,412864
42,2227,412864
43,2228,412864
44,2229,412864
45,2230,412864
46,2231,412840
47,2232,412852
48,2233,412852
49,2234,412852
50,2235,412852
51,2236,412864
52,2237,412864
53,2238,412852
54,2239,412840
55,2240,412840
56,2241,412840
57,2242,412864
58,2243,412864
59,2244,412864
60,2245,412840
61,2246,412852
62,2247,412864
63,2248,412864
64,2249,412864
65,2250,412852
66,2251,412864
67,2252,412864
68,2253,412852
69,2254,412840
70,2255,412864
71,2256,412864
72,2257,412852
73,2258,412864
74,2259,412828
75,2260,412864
76,2261,412840
77,2262,412864
78,2263,412852
79,2264,412852
80,2265,412864
81,2266,412852
82,2267,412840
83,2268,412864
84,2269,412864
85,2270,412864
86,2271,412864
87,2272,412840
88,2273,412852
89,2274,412840
90,2275,412852
91,2276,412864
92,2277,412864
93,2278,412864
94,2279,412864
95,2280,412864
96,2281,412852
97,2282,412864
98,2283,412864
99,2284,412864
100,2285,412864
