Row_Index,Block_Number,Total_Gas_Used
0,1531,412864
1,1532,412852
2,1533,361220
3,1534,412852
4,1535,412852
5,1536,412852
6,1537,412852
7,1538,412864
8,1539,412852
9,1540,412852
10,1541,412828
11,1542,412864
12,1543,412864
13,1544,412840
14,1545,412864
15,1546,412864
16,1547,412864
17,1548,412864
18,1549,361244
19,1550,412864
20,1551,412864
21,1552,412852
22,1553,412864
23,1554,412864
24,1555,412852
25,1556,412852
26,1557,412852
27,1558,412852
28,1559,412864
29,1560,412852
30,1561,412852
31,1562,412852
32,1563,361256
33,1564,412852
34,1565,412864
35,1566,412864
36,1567,412852
37,1568,412864
38,1569,412852
39,1570,412840
40,1571,412864
41,1572,412864
42,1573,412864
43,1574,412864
44,1575,412864
45,1576,412840
46,1577,412852
47,1578,412852
48,1579,361244
49,1580,412864
50,1581,412852
51,1582,412864
52,1583,412864
53,1584,412828
54,1585,412840
55,1586,412852
56,1587,412852
57,1588,412864
58,1589,412864
59,1590,412852
60,1591,412852
61,1592,412852
62,1593,412864
63,1594,361256
64,1595,412852
65,1596,412864
66,1597,412864
67,1598,412864
68,1599,412840
69,1600,412852
70,1601,412864
71,1602,412864
72,1603,412852
73,1604,412840
74,1605,412852
75,1606,412864
76,1607,412840
77,1608,412852
78,1609,412864
79,1610,412852
80,1611,361256
81,1612,412852
82,1613,412840
83,1614,412864
84,1615,412864
85,1616,412864
86,1617,412864
87,1618,412840
88,1619,412840
89,1620,412840
90,1621,412864
91,1622,412864
92,1623,412864
93,1624,412864
94,1625,412864
95,1626,412864
96,1627,361244
97,1628,412864
98,1629,412864
99,1630,412864
100,1631,361256
