Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763968172,7,7.5
1,1763968173,8,11.5
2,1763968174,15,11.5
3,1763968175,8,11.5
4,1763968176,15,11.5
5,1763968177,8,11.5
6,1763968178,15,12.0
7,1763968179,9,12.5
8,1763968180,16,12.5
9,1763968181,9,12.5
10,1763968182,16,12.5
11,1763968183,9,12.5
12,1763968184,16,12.5
13,1763968185,9,12.5
14,1763968186,16,12.5
15,1763968187,9,12.5
16,1763968188,16,12.5
17,1763968189,9,12.5
18,1763968190,16,12.5
19,1763968191,9,12.5
20,1763968192,16,12.5
21,1763968193,9,12.5
22,1763968194,16,12.5
23,1763968195,9,12.5
24,1763968196,16,12.5
25,1763968197,9,12.5
26,1763968198,16,12.5
27,1763968199,9,12.5
28,1763968200,16,12.5
29,1763968201,9,12.5
30,1763968202,16,12.5
31,1763968203,9,12.5
32,1763968204,16,12.5
33,1763968205,9,12.0
34,1763968206,15,12.0
35,1763968207,9,12.0
36,1763968208,15,12.0
37,1763968209,9,12.0
38,1763968210,15,12.5
39,1763968211,10,13.0
40,1763968212,16,13.0
41,1763968213,10,13.0
42,1763968214,16,13.0
43,1763968215,10,13.0
44,1763968216,16,13.0
45,1763968217,10,13.0
46,1763968218,16,13.0
47,1763968219,10,13.0
48,1763968220,16,13.0
49,1763968221,10,13.0
50,1763968222,16,13.0
51,1763968223,10,13.0
52,1763968224,16,13.0
53,1763968225,10,13.0
54,1763968226,16,13.0
55,1763968227,10,13.0
56,1763968228,16,13.0
57,1763968229,10,13.0
58,1763968230,16,13.0
59,1763968231,10,13.0
60,1763968232,16,13.0
61,1763968233,10,13.0
62,1763968234,16,13.0
63,1763968235,10,12.5
64,1763968236,15,12.5
65,1763968237,10,12.5
66,1763968238,15,13.0
67,1763968239,11,13.5
68,1763968240,16,13.5
69,1763968241,11,13.5
70,1763968242,16,13.5
71,1763968243,11,13.5
72,1763968244,16,13.5
73,1763968245,11,13.5
74,1763968246,16,13.5
75,1763968247,11,13.5
76,1763968248,16,13.5
77,1763968249,11,13.5
78,1763968250,16,13.5
79,1763968251,11,13.5
80,1763968252,16,13.5
81,1763968253,11,13.5
82,1763968254,16,13.5
83,1763968255,11,13.5
84,1763968256,16,13.5
85,1763968257,11,13.5
86,1763968258,16,13.5
87,1763968259,11,13.5
88,1763968260,16,13.5
89,1763968261,11,13.5
90,1763968262,16,13.5
91,1763968263,11,13.0
92,1763968264,15,13.0
93,1763968265,11,13.0
94,1763968266,15,13.0
95,1763968267,11,13.0
96,1763968268,15,13.0
97,1763968269,11,13.0
98,1763968270,15,13.5
99,1763968271,12,14.0
100,1763968272,16,14.0
101,1763968273,12,14.0
102,1763968274,16,14.0
103,1763968275,12,14.0
104,1763968276,16,14.0
105,1763968277,12,14.0
106,1763968278,16,14.0
107,1763968279,12,14.0
108,1763968280,16,14.0
109,1763968281,12,14.0
110,1763968282,16,14.0
111,1763968283,12,14.0
112,1763968284,16,14.0
113,1763968285,12,14.0
114,1763968286,16,14.0
115,1763968287,12,14.0
116,1763968288,16,14.0
117,1763968289,12,14.0
118,1763968290,16,14.0
119,1763968291,12,14.0
120,1763968292,16,14.0
121,1763968293,12,14.0
122,1763968294,16,14.0
123,1763968295,12,13.5
124,1763968296,15,13.5
125,1763968297,12,13.5
126,1763968298,15,13.5
127,1763968299,12,13.5
128,1763968300,15,14.0
129,1763968301,13,14.5
130,1763968302,16,14.5
131,1763968303,13,14.5
132,1763968304,16,14.5
133,1763968305,13,14.5
134,1763968306,16,14.5
135,1763968307,13,14.5
136,1763968308,16,14.5
137,1763968309,13,14.5
138,1763968310,16,14.5
139,1763968311,13,14.5
140,1763968312,16,14.5
141,1763968313,13,14.5
142,1763968314,16,14.5
143,1763968315,13,14.5
144,1763968316,16,14.5
145,1763968317,13,14.5
146,1763968318,16,14.5
147,1763968319,13,14.5
148,1763968320,16,14.5
149,1763968321,13,14.5
150,1763968322,16,14.5
151,1763968323,13,14.5
152,1763968324,16,14.5
153,1763968325,13,14.5
154,1763968326,16,14.5
155,1763968327,13,14.5
156,1763968328,16,14.5
157,1763968329,13,14.0
158,1763968330,15,14.0
159,1763968331,13,14.0
160,1763968332,15,14.0
161,1763968333,13,14.0
162,1763968334,15,14.5
163,1763968335,14,15.0
164,1763968336,16,15.0
165,1763968337,14,15.0
166,1763968338,16,15.0
167,1763968339,14,15.0
168,1763968340,16,15.0
169,1763968341,14,15.0
170,1763968342,16,15.0
171,1763968343,14,15.0
172,1763968344,16,15.0
173,1763968345,14,15.0
174,1763968346,16,15.0
175,1763968347,14,15.0
176,1763968348,16,15.0
177,1763968349,14,15.0
178,1763968350,16,15.0
179,1763968351,14,15.0
180,1763968352,16,15.0
181,1763968353,14,15.0
182,1763968354,16,15.0
183,1763968355,14,15.0
184,1763968356,16,15.0
185,1763968357,14,15.0
186,1763968358,16,15.0
187,1763968359,14,14.5
188,1763968360,15,14.5
189,1763968361,14,14.5
190,1763968362,15,14.5
191,1763968363,14,14.5
192,1763968364,15,14.5
193,1763968365,14,14.5
194,1763968366,15,15.0
195,1763968367,15,15.5
196,1763968368,16,15.5
197,1763968369,15,15.5
198,1763968370,16,15.5
199,1763968371,15,15.0
200,1763968372,15,11.0
201,1763968373,7,7.0
202,1763968374,7,3.5
203,1763968375,0,0.0
