Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763931018,7,7.5
1,1763931019,8,11.5
2,1763931020,15,12.0
3,1763931021,9,12.0
4,1763931022,15,12.0
5,1763931023,9,12.0
6,1763931024,15,12.0
7,1763931025,9,12.0
8,1763931026,15,12.0
9,1763931027,9,12.0
10,1763931028,15,12.5
11,1763931029,10,13.0
12,1763931030,16,13.0
13,1763931031,10,13.0
14,1763931032,16,13.0
15,1763931033,10,13.0
16,1763931034,16,13.0
17,1763931035,10,13.0
18,1763931036,16,13.0
19,1763931037,10,13.0
20,1763931038,16,13.0
21,1763931039,10,13.0
22,1763931040,16,13.0
23,1763931041,10,13.0
24,1763931042,16,13.0
25,1763931043,10,13.0
26,1763931044,16,13.0
27,1763931045,10,13.0
28,1763931046,16,13.0
29,1763931047,10,12.5
30,1763931048,15,12.5
31,1763931049,10,12.5
32,1763931050,15,12.5
33,1763931051,10,12.5
34,1763931052,15,13.0
35,1763931053,11,13.5
36,1763931054,16,13.5
37,1763931055,11,13.5
38,1763931056,16,13.5
39,1763931057,11,13.5
40,1763931058,16,13.5
41,1763931059,11,13.5
42,1763931060,16,13.5
43,1763931061,11,13.5
44,1763931062,16,13.5
45,1763931063,11,13.5
46,1763931064,16,13.5
47,1763931065,11,13.5
48,1763931066,16,13.5
49,1763931067,11,13.5
50,1763931068,16,13.5
51,1763931069,11,13.5
52,1763931070,16,13.5
53,1763931071,11,13.5
54,1763931072,16,13.5
55,1763931073,11,13.5
56,1763931074,16,13.5
57,1763931075,11,13.5
58,1763931076,16,13.5
59,1763931077,11,13.0
60,1763931078,15,13.0
61,1763931079,11,13.0
62,1763931080,15,13.0
63,1763931081,11,13.0
64,1763931082,15,13.5
65,1763931083,12,14.0
66,1763931084,16,13.5
67,1763931085,11,13.0
68,1763931086,15,13.5
69,1763931087,12,14.0
70,1763931088,16,14.0
71,1763931089,12,14.0
72,1763931090,16,14.0
73,1763931091,12,14.0
74,1763931092,16,14.0
75,1763931093,12,14.0
76,1763931094,16,14.0
77,1763931095,12,14.0
78,1763931096,16,14.0
79,1763931097,12,14.0
80,1763931098,16,14.0
81,1763931099,12,14.0
82,1763931100,16,14.0
83,1763931101,12,14.0
84,1763931102,16,14.0
85,1763931103,12,14.0
86,1763931104,16,14.0
87,1763931105,12,14.0
88,1763931106,16,14.0
89,1763931107,12,14.0
90,1763931108,16,14.0
91,1763931109,12,13.5
92,1763931110,15,13.5
93,1763931111,12,13.5
94,1763931112,15,14.0
95,1763931113,13,14.5
96,1763931114,16,14.5
97,1763931115,13,14.5
98,1763931116,16,14.5
99,1763931117,13,14.5
100,1763931118,16,14.5
101,1763931119,13,14.5
102,1763931120,16,14.5
103,1763931121,13,14.5
104,1763931122,16,14.5
105,1763931123,13,14.5
106,1763931124,16,14.5
107,1763931125,13,14.5
108,1763931126,16,14.5
109,1763931127,13,14.5
110,1763931128,16,14.5
111,1763931129,13,14.5
112,1763931130,16,14.5
113,1763931131,13,14.5
114,1763931132,16,14.5
115,1763931133,13,14.5
116,1763931134,16,14.5
117,1763931135,13,14.5
118,1763931136,16,14.5
119,1763931137,13,14.0
120,1763931138,15,14.0
121,1763931139,13,14.0
122,1763931140,15,14.0
123,1763931141,13,14.0
124,1763931142,15,14.5
125,1763931143,14,15.0
126,1763931144,16,14.5
127,1763931145,13,14.0
128,1763931146,15,14.5
129,1763931147,14,15.0
130,1763931148,16,15.0
131,1763931149,14,15.0
132,1763931150,16,15.0
133,1763931151,14,15.0
134,1763931152,16,15.0
135,1763931153,14,15.0
136,1763931154,16,15.0
137,1763931155,14,15.0
138,1763931156,16,15.0
139,1763931157,14,15.0
140,1763931158,16,15.0
141,1763931159,14,15.0
142,1763931160,16,15.0
143,1763931161,14,15.0
144,1763931162,16,15.0
145,1763931163,14,15.0
146,1763931164,16,15.0
147,1763931165,14,14.5
148,1763931166,15,14.5
149,1763931167,14,14.5
150,1763931168,15,14.5
151,1763931169,14,14.5
152,1763931170,15,14.5
153,1763931171,14,14.5
154,1763931172,15,15.0
155,1763931173,15,15.5
156,1763931174,16,15.5
157,1763931175,15,15.5
158,1763931176,16,15.5
159,1763931177,15,15.5
160,1763931178,16,15.5
161,1763931179,15,15.5
162,1763931180,16,15.5
163,1763931181,15,15.5
164,1763931182,16,15.5
165,1763931183,15,15.5
166,1763931184,16,15.5
167,1763931185,15,15.5
168,1763931186,16,15.5
169,1763931187,15,15.5
170,1763931188,16,15.5
171,1763931189,15,15.5
172,1763931190,16,15.5
173,1763931191,15,15.5
174,1763931192,16,15.5
175,1763931193,15,15.5
176,1763931194,16,15.5
177,1763931195,15,15.0
178,1763931196,15,15.0
179,1763931197,15,15.0
180,1763931198,15,15.0
181,1763931199,15,15.0
182,1763931200,15,15.5
183,1763931201,16,16.0
184,1763931202,16,16.0
185,1763931203,16,16.0
186,1763931204,16,15.5
187,1763931205,15,15.0
188,1763931206,15,15.5
189,1763931207,16,16.0
190,1763931208,16,16.0
191,1763931209,16,16.0
192,1763931210,16,16.0
193,1763931211,16,16.0
194,1763931212,16,16.0
195,1763931213,16,16.0
196,1763931214,16,16.0
197,1763931215,16,16.0
198,1763931216,16,16.0
199,1763931217,16,16.0
200,1763931218,16,12.0
201,1763931219,8,8.0
202,1763931220,8,4.0
203,1763931221,0,0.0
