Row_Index,Block_Number,Total_Gas_Used
0,1186,4668273
1,1187,6065255
2,1188,8142716
3,1190,14318739
4,1192,14432971
5,1194,13562361
6,1196,14246772
7,1198,13386788
8,1200,15265014
9,1202,16009639
10,1204,14542929
11,1206,15385764
12,1208,14503967
13,1210,14246689
14,1212,9461493
15,1214,4052183
16,1215,2315282
17,1216,2069451
18,1217,2006511
19,1218,2282258
20,1219,2133521
21,1220,1753069
22,1221,2293051
23,1222,1997469
24,1223,2108624
25,1224,1503411
26,1225,2150076
27,1226,2438692
28,1227,1946698
29,1228,2158031
30,1229,2331407
31,1230,1587691
32,1231,2208986
33,1232,2208986
34,1233,1601623
35,1234,2251169
36,1235,2134381
37,1236,1944622
38,1237,2247514
39,1238,1938057
40,1239,2015543
41,1240,2231833
42,1241,2397125
43,1242,1963255
44,1243,2581036
45,1244,2088428
46,1245,1988883
47,1246,2323638
48,1247,2113583
49,1248,2105671
50,1249,1768293
51,1250,2056135
52,1251,2319467
53,1252,2181609
54,1253,2392868
55,1254,2242497
56,1255,1940250
57,1256,2169784
58,1257,2238068
59,1258,1908860
60,1259,2263481
61,1260,2146693
62,1261,1956934
63,1262,2259826
64,1263,2478777
65,1264,2950648
66,1265,2683577
67,1266,3359096
68,1267,2789880
69,1268,3139385
70,1269,3284280
71,1270,2801017
72,1271,3086136
73,1272,3300536
74,1273,2570361
75,1274,2859320
76,1275,2166009
77,1276,3127224
78,1277,3056632
79,1278,2829497
80,1279,3391864
81,1280,2971897
82,1281,2782584
83,1282,3124216
84,1283,3225848
85,1284,2735864
86,1285,3263672
87,1286,3089848
88,1287,2807416
89,1288,3258232
