Row_Index,Block_Number,Total_Gas_Used
0,1375,551396
1,1376,789424
2,1377,789424
3,1378,692048
4,1379,789424
5,1380,789424
6,1381,789424
7,1382,789424
8,1383,789424
9,1384,789424
10,1385,789424
11,1386,789424
12,1387,789424
13,1388,789424
14,1389,789424
15,1390,789424
16,1391,789424
17,1392,811067
18,1393,791416
19,1394,791416
20,1395,693791
21,1396,791416
22,1397,791416
23,1398,791416
24,1399,791416
25,1400,791416
26,1401,791416
27,1402,791416
28,1403,791416
29,1404,791416
30,1405,791416
31,1406,791416
32,1407,693791
33,1408,835394
34,1409,799918
35,1410,788864
36,1411,788864
37,1412,788864
38,1413,788864
39,1414,788864
40,1415,788864
41,1416,788864
42,1417,788864
43,1418,788864
44,1419,788864
45,1420,788864
46,1421,788864
47,1422,691558
48,1423,788864
49,1424,788864
50,1425,809542
51,1426,791976
52,1427,791976
53,1428,791976
54,1429,791976
55,1430,791976
56,1431,791976
57,1432,791976
58,1433,791976
59,1434,791976
60,1435,791976
61,1436,791976
62,1437,694281
63,1438,791976
64,1439,791976
65,1440,791976
66,1441,791976
67,1442,836528
68,1443,791848
69,1444,791848
70,1445,791848
71,1446,791848
72,1447,791848
73,1448,791848
74,1449,791848
75,1450,791848
76,1451,791848
77,1452,791848
78,1453,791848
79,1454,791848
80,1455,791848
81,1456,791848
82,1457,791848
83,1458,791848
84,1459,819426
85,1460,836168
86,1461,836168
87,1462,836168
88,1463,836168
89,1464,836168
90,1465,836168
91,1466,836168
92,1467,836168
93,1468,836168
94,1469,836168
95,1470,836168
96,1471,836168
97,1472,836168
98,1473,836168
99,1474,836168
100,1475,627126
