Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763967860,5,6.5
1,1763967861,8,10.5
2,1763967862,13,12.0
3,1763967863,11,13.0
4,1763967864,15,13.0
5,1763967865,11,13.0
6,1763967866,15,13.0
7,1763967867,11,13.0
8,1763967868,15,13.5
9,1763967869,12,14.0
10,1763967870,16,14.0
11,1763967871,12,14.0
12,1763967872,16,14.0
13,1763967873,12,14.0
14,1763967874,16,14.0
15,1763967875,12,14.0
16,1763967876,16,14.0
17,1763967877,12,14.0
18,1763967878,16,14.0
19,1763967879,12,14.0
20,1763967880,16,14.0
21,1763967881,12,14.0
22,1763967882,16,14.0
23,1763967883,12,14.0
24,1763967884,16,14.0
25,1763967885,12,14.0
26,1763967886,16,14.0
27,1763967887,12,14.0
28,1763967888,16,14.0
29,1763967889,12,14.0
30,1763967890,16,14.0
31,1763967891,12,14.0
32,1763967892,16,14.0
33,1763967893,12,14.0
34,1763967894,16,14.0
35,1763967895,12,13.5
36,1763967896,15,13.5
37,1763967897,12,13.5
38,1763967898,15,13.5
39,1763967899,12,13.5
40,1763967900,15,13.5
41,1763967901,12,13.5
42,1763967902,15,14.0
43,1763967903,13,14.5
44,1763967904,16,14.5
45,1763967905,13,14.5
46,1763967906,16,14.5
47,1763967907,13,14.5
48,1763967908,16,14.5
49,1763967909,13,14.5
50,1763967910,16,14.5
51,1763967911,13,14.5
52,1763967912,16,14.5
53,1763967913,13,14.5
54,1763967914,16,14.5
55,1763967915,13,14.5
56,1763967916,16,14.5
57,1763967917,13,14.5
58,1763967918,16,14.5
59,1763967919,13,14.5
60,1763967920,16,14.5
61,1763967921,13,14.0
62,1763967922,15,14.0
63,1763967923,13,14.0
64,1763967924,15,14.0
65,1763967925,13,14.0
66,1763967926,15,14.5
67,1763967927,14,15.0
68,1763967928,16,15.0
69,1763967929,14,15.0
70,1763967930,16,15.0
71,1763967931,14,15.0
72,1763967932,16,15.0
73,1763967933,14,15.0
74,1763967934,16,15.0
75,1763967935,14,15.0
76,1763967936,16,15.0
77,1763967937,14,15.0
78,1763967938,16,15.0
79,1763967939,14,15.0
80,1763967940,16,15.0
81,1763967941,14,15.0
82,1763967942,16,15.0
83,1763967943,14,15.0
84,1763967944,16,15.0
85,1763967945,14,15.0
86,1763967946,16,15.0
87,1763967947,14,15.0
88,1763967948,16,15.0
89,1763967949,14,14.5
90,1763967950,15,14.5
91,1763967951,14,14.5
92,1763967952,15,14.5
93,1763967953,14,14.5
94,1763967954,15,14.5
95,1763967955,14,14.5
96,1763967956,15,15.0
97,1763967957,15,15.5
98,1763967958,16,15.5
99,1763967959,15,15.5
100,1763967960,16,15.5
101,1763967961,15,15.5
102,1763967962,16,15.5
103,1763967963,15,15.5
104,1763967964,16,15.5
105,1763967965,15,15.5
106,1763967966,16,15.5
107,1763967967,15,15.5
108,1763967968,16,15.5
109,1763967969,15,15.5
110,1763967970,16,15.5
111,1763967971,15,15.5
112,1763967972,16,15.5
113,1763967973,15,15.5
114,1763967974,16,15.5
115,1763967975,15,15.5
116,1763967976,16,15.5
117,1763967977,15,15.5
118,1763967978,16,15.5
119,1763967979,15,15.5
120,1763967980,16,15.5
121,1763967981,15,15.0
122,1763967982,15,15.0
123,1763967983,15,15.0
124,1763967984,15,15.0
125,1763967985,15,15.0
126,1763967986,15,15.5
127,1763967987,16,16.0
128,1763967988,16,16.0
129,1763967989,16,16.0
130,1763967990,16,16.0
131,1763967991,16,16.0
132,1763967992,16,16.0
133,1763967993,16,16.0
134,1763967994,16,16.0
135,1763967995,16,16.0
136,1763967996,16,16.0
137,1763967997,16,16.0
138,1763967998,16,16.0
139,1763967999,16,16.0
140,1763968000,16,16.0
141,1763968001,16,16.0
142,1763968002,16,16.0
143,1763968003,16,16.0
144,1763968004,16,16.0
145,1763968005,16,16.0
146,1763968006,16,16.0
147,1763968007,16,16.0
148,1763968008,16,16.0
149,1763968009,16,16.0
150,1763968010,16,15.5
151,1763968011,15,15.5
152,1763968012,16,15.5
153,1763968013,15,15.5
154,1763968014,16,15.5
155,1763968015,15,15.5
156,1763968016,16,15.5
157,1763968017,15,15.5
158,1763968018,16,15.5
159,1763968019,15,15.5
160,1763968020,16,15.5
161,1763968021,15,15.5
162,1763968022,16,15.5
163,1763968023,15,15.5
164,1763968024,16,15.5
165,1763968025,15,15.5
166,1763968026,16,15.5
167,1763968027,15,15.5
168,1763968028,16,15.5
169,1763968029,15,15.5
170,1763968030,16,15.5
171,1763968031,15,15.5
172,1763968032,16,15.5
173,1763968033,15,15.5
174,1763968034,16,15.5
175,1763968035,15,15.5
176,1763968036,16,15.5
177,1763968037,15,15.5
178,1763968038,16,15.5
179,1763968039,15,15.5
180,1763968040,16,15.5
181,1763968041,15,15.5
182,1763968042,16,15.0
183,1763968043,14,15.0
184,1763968044,16,15.0
185,1763968045,14,15.0
186,1763968046,16,15.0
187,1763968047,14,15.0
188,1763968048,16,15.0
189,1763968049,14,15.0
190,1763968050,16,15.0
191,1763968051,14,15.0
192,1763968052,16,15.0
193,1763968053,14,15.0
194,1763968054,16,15.0
195,1763968055,14,15.0
196,1763968056,16,15.0
197,1763968057,14,15.0
198,1763968058,16,14.0
199,1763968059,12,13.0
200,1763968060,14,10.0
201,1763968061,6,6.0
202,1763968062,6,3.0
203,1763968063,0,0.0
