Row_Index,Block_Number,Total_Gas_Used
0,8687,551336
1,8688,789328
2,8689,789328
3,8690,691964
4,8691,789328
5,8692,789328
6,8693,789328
7,8694,789328
8,8695,789328
9,8696,789328
10,8697,789328
11,8698,789328
12,8699,789328
13,8700,789328
14,8701,789328
15,8702,789328
16,8703,691964
17,8704,810722
18,8705,791320
19,8706,791320
20,8707,791320
21,8708,791320
22,8709,791320
23,8710,791320
24,8711,791320
25,8712,791320
26,8713,791320
27,8714,791320
28,8715,791320
29,8716,791320
30,8717,791320
31,8718,693707
32,8719,888933
33,8720,737849
34,8721,800314
35,8722,789424
36,8723,789424
37,8724,789424
38,8725,886800
39,8726,692048
40,8727,789424
41,8728,789424
42,8729,789424
43,8730,789424
44,8731,789424
45,8732,789424
46,8733,692048
47,8734,789424
48,8735,789424
49,8736,789424
50,8737,809822
51,8738,791416
52,8739,791416
53,8740,791416
54,8741,791416
55,8742,791416
56,8743,791416
57,8744,791416
58,8745,693791
59,8746,791416
60,8747,791416
61,8748,791416
62,8749,791416
63,8750,791416
64,8751,791416
65,8752,791416
66,8753,791416
67,8754,836200
68,8755,791752
69,8756,791752
70,8757,791752
71,8758,791752
72,8759,791752
73,8760,791752
74,8761,791752
75,8762,791752
76,8763,791752
77,8764,791752
78,8765,791752
79,8766,791752
80,8767,791752
81,8768,791752
82,8769,791752
83,8770,791752
84,8771,819330
85,8772,836072
86,8773,836072
87,8774,836072
88,8775,836072
89,8776,836072
90,8777,836072
91,8778,836072
92,8779,836072
93,8780,836072
94,8781,836072
95,8782,836072
96,8783,836072
97,8784,836072
98,8785,836072
99,8786,836072
100,8787,627054
