Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1764504033,44,72.0
1,1764504034,100,120.5
2,1764504035,141,170.5
3,1764504036,200,169.0
4,1764504037,138,169.0
5,1764504038,200,167.5
6,1764504039,135,167.5
7,1764504040,200,166.0
8,1764504041,132,166.0
9,1764504042,200,164.5
10,1764504043,129,164.5
11,1764504044,200,163.0
12,1764504045,126,163.0
13,1764504046,200,161.0
14,1764504047,122,161.0
15,1764504048,200,159.5
16,1764504049,119,159.5
17,1764504050,200,158.0
18,1764504051,116,158.0
19,1764504052,200,156.5
20,1764504053,113,156.5
21,1764504054,200,155.0
22,1764504055,110,155.0
23,1764504056,200,153.5
24,1764504057,107,153.5
25,1764504058,200,152.0
26,1764504059,104,152.0
27,1764504060,200,150.5
28,1764504061,101,149.5
29,1764504062,198,149.0
30,1764504063,100,147.5
31,1764504064,195,147.5
32,1764504065,100,146.0
33,1764504066,192,146.5
34,1764504067,101,145.5
35,1764504068,190,147.5
36,1764504069,105,148.0
37,1764504070,191,149.0
38,1764504071,107,148.5
39,1764504072,190,151.0
40,1764504073,112,151.5
41,1764504074,191,152.5
42,1764504075,114,152.0
43,1764504076,190,154.0
44,1764504077,118,154.5
45,1764504078,191,156.5
46,1764504079,122,156.5
47,1764504080,191,158.5
48,1764504081,126,158.5
49,1764504082,191,159.0
50,1764504083,127,158.0
51,1764504084,189,161.0
52,1764504085,133,162.5
53,1764504086,192,163.5
54,1764504087,135,163.0
55,1764504088,191,164.5
56,1764504089,138,164.5
57,1764504090,191,166.0
58,1764504091,141,166.0
59,1764504092,191,168.0
60,1764504093,145,168.5
61,1764504094,192,169.0
62,1764504095,146,168.0
63,1764504096,190,170.5
64,1764504097,151,171.5
65,1764504098,192,171.5
66,1764504099,151,169.5
67,1764504100,188,171.5
68,1764504101,155,172.0
69,1764504102,189,173.0
70,1764504103,157,172.5
71,1764504104,188,176.0
72,1764504105,164,178.0
73,1764504106,192,179.0
74,1764504107,166,178.5
75,1764504108,191,180.5
76,1764504109,170,181.0
77,1764504110,192,182.0
78,1764504111,172,181.5
79,1764504112,191,183.0
80,1764504113,175,183.0
81,1764504114,191,184.5
82,1764504115,178,184.5
83,1764504116,191,186.5
84,1764504117,182,187.0
85,1764504118,192,187.0
86,1764504119,182,185.5
87,1764504120,189,188.0
88,1764504121,187,189.0
89,1764504122,191,190.5
90,1764504123,190,190.5
91,1764504124,191,191.0
92,1764504125,191,191.5
93,1764504126,192,192.0
94,1764504127,192,194.0
95,1764504128,196,194.5
96,1764504129,193,196.5
97,1764504130,200,195.0
98,1764504131,190,195.0
99,1764504132,200,193.5
100,1764504133,187,193.5
101,1764504134,200,192.0
102,1764504135,184,192.0
103,1764504136,200,190.0
104,1764504137,180,190.0
105,1764504138,200,188.5
106,1764504139,177,188.5
107,1764504140,200,187.0
108,1764504141,174,187.0
109,1764504142,200,185.5
110,1764504143,171,185.5
111,1764504144,200,184.0
112,1764504145,168,184.0
113,1764504146,200,182.5
114,1764504147,165,182.5
115,1764504148,200,181.0
116,1764504149,162,181.0
117,1764504150,200,179.5
118,1764504151,159,179.5
119,1764504152,200,178.0
120,1764504153,156,178.0
121,1764504154,200,176.0
122,1764504155,152,176.0
123,1764504156,200,174.5
124,1764504157,149,174.5
125,1764504158,200,173.0
126,1764504159,146,173.0
127,1764504160,200,171.5
128,1764504161,143,171.5
129,1764504162,200,170.0
130,1764504163,140,170.0
131,1764504164,200,168.5
132,1764504165,137,168.5
133,1764504166,200,166.5
134,1764504167,133,166.5
135,1764504168,200,164.5
136,1764504169,129,164.5
137,1764504170,200,163.5
138,1764504171,127,163.5
139,1764504172,200,161.5
140,1764504173,123,161.5
141,1764504174,200,160.0
142,1764504175,120,160.0
143,1764504176,200,158.5
144,1764504177,117,158.5
145,1764504178,200,157.0
146,1764504179,114,157.0
147,1764504180,200,155.5
148,1764504181,111,155.5
149,1764504182,200,154.0
150,1764504183,108,154.0
151,1764504184,200,152.5
152,1764504185,105,152.5
153,1764504186,200,151.0
154,1764504187,102,151.0
155,1764504188,200,150.0
156,1764504189,100,148.5
157,1764504190,197,148.5
158,1764504191,100,147.0
159,1764504192,194,147.0
160,1764504193,100,145.5
161,1764504194,191,145.5
162,1764504195,100,143.5
163,1764504196,187,146.5
164,1764504197,106,148.0
165,1764504198,190,149.5
166,1764504199,109,149.5
167,1764504200,190,152.0
168,1764504201,114,153.0
169,1764504202,192,154.0
170,1764504203,116,153.0
171,1764504204,190,155.5
172,1764504205,121,156.5
173,1764504206,192,157.5
174,1764504207,123,157.0
175,1764504208,191,158.5
176,1764504209,126,158.5
177,1764504210,191,160.0
178,1764504211,129,160.0
179,1764504212,191,162.0
180,1764504213,133,162.5
181,1764504214,192,163.0
182,1764504215,134,162.0
183,1764504216,190,164.5
184,1764504217,139,165.5
185,1764504218,192,167.0
186,1764504219,142,167.0
187,1764504220,192,168.5
188,1764504221,145,168.5
189,1764504222,192,169.5
190,1764504223,147,169.0
191,1764504224,191,170.5
192,1764504225,150,170.5
193,1764504226,191,172.0
194,1764504227,153,170.5
195,1764504228,188,172.5
196,1764504229,157,174.0
197,1764504230,191,175.5
198,1764504231,160,175.5
199,1764504232,191,177.0
200,1764504233,163,177.0
201,1764504234,191,178.5
202,1764504235,166,166.0
203,1764504236,166,118.0
204,1764504237,70,70.0
205,1764504238,70,35.0
206,1764504239,0,0.0
