Row_Index,Block_Number,Total_Gas_Used
0,3745,345080
1,3746,3381676
2,3747,3347180
3,3748,3416244
4,3749,3312696
5,3750,3450752
6,3751,3450728
7,3752,3450740
8,3753,3450680
9,3754,3450752
10,3755,3450716
11,3756,3450740
12,3757,3450716
13,3758,3450704
14,3759,3450656
15,3760,3450728
16,3761,3450740
17,3762,3450680
18,3763,3450740
19,3764,3450716
20,3765,3450752
21,3766,3450692
22,3767,3450716
23,3768,3450740
24,3769,3450644
25,3770,3450752
26,3771,3450704
27,3772,3450752
28,3773,3450692
29,3774,3450728
30,3775,3450752
31,3776,3450704
32,3777,3450740
33,3778,3450704
34,3779,3450740
35,3780,3450680
36,3781,3450716
37,3782,3450704
38,3783,3347156
39,3784,3381688
40,3785,3312696
41,3786,3347228
42,3787,3312696
43,3788,3381688
44,3789,3312708
45,3790,3381688
46,3791,3312732
47,3792,3381604
48,3793,3312660
49,3794,3381700
50,3795,3278236
51,3796,3381712
52,3797,3347144
53,3798,3347180
54,3799,3312648
55,3800,3347216
56,3801,3312684
57,3802,3416184
58,3803,3278188
59,3804,3381664
60,3805,3312648
61,3806,3381724
62,3807,3347144
63,3808,3381724
64,3809,3278200
65,3810,3381652
66,3811,3312684
67,3812,3381736
68,3813,3312636
69,3814,3381688
70,3815,3381676
71,3816,3450680
72,3817,3450716
73,3818,3450680
74,3819,3450704
75,3820,3450716
76,3821,3450728
77,3822,3450728
78,3823,3450740
79,3824,3450740
80,3825,3450692
81,3826,3450656
82,3827,3450692
83,3828,3450644
84,3829,3450656
85,3830,3450692
86,3831,3450668
87,3832,3450716
88,3833,3450752
89,3834,3450740
90,3835,3450716
91,3836,3450632
92,3837,5160692
93,3838,5160740
94,3839,5160668
95,3840,5160704
96,3841,5160740
97,3842,5160776
98,3843,5160740
99,3844,5160704
100,3845,5160752
101,3846,5160716
