Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1764516906,10,55.0
1,1764516907,100,103.5
2,1764516908,107,148.5
3,1764516909,190,192.0
4,1764516910,194,193.0
5,1764516911,192,192.5
6,1764516912,193,193.5
7,1764516913,194,194.5
8,1764516914,195,193.5
9,1764516915,192,194.0
10,1764516916,196,194.5
11,1764516917,193,196.5
12,1764516918,200,195.0
13,1764516919,190,195.0
14,1764516920,200,193.5
15,1764516921,187,193.5
16,1764516922,200,192.0
17,1764516923,184,192.0
18,1764516924,200,190.5
19,1764516925,181,190.5
20,1764516926,200,189.0
21,1764516927,178,189.0
22,1764516928,200,187.5
23,1764516929,175,187.5
24,1764516930,200,186.0
25,1764516931,172,186.0
26,1764516932,200,184.5
27,1764516933,169,184.5
28,1764516934,200,183.0
29,1764516935,166,183.0
30,1764516936,200,181.5
31,1764516937,163,181.5
32,1764516938,200,180.0
33,1764516939,160,180.0
34,1764516940,200,178.5
35,1764516941,157,178.5
36,1764516942,200,177.0
37,1764516943,154,177.0
38,1764516944,200,175.5
39,1764516945,151,175.5
40,1764516946,200,174.0
41,1764516947,148,174.0
42,1764516948,200,172.5
43,1764516949,145,172.5
44,1764516950,200,170.5
45,1764516951,141,170.5
46,1764516952,200,169.0
47,1764516953,138,169.0
48,1764516954,200,168.0
49,1764516955,136,168.0
50,1764516956,200,166.5
51,1764516957,133,166.5
52,1764516958,200,165.0
53,1764516959,130,165.0
54,1764516960,200,163.5
55,1764516961,127,163.5
56,1764516962,200,161.5
57,1764516963,123,161.5
58,1764516964,200,160.0
59,1764516965,120,160.0
60,1764516966,200,159.0
61,1764516967,118,159.0
62,1764516968,200,157.5
63,1764516969,115,157.5
64,1764516970,200,156.0
65,1764516971,112,156.0
66,1764516972,200,154.5
67,1764516973,109,154.5
68,1764516974,200,153.0
69,1764516975,106,153.0
70,1764516976,200,151.5
71,1764516977,103,151.5
72,1764516978,200,150.0
73,1764516979,100,149.0
74,1764516980,198,149.0
75,1764516981,100,147.5
76,1764516982,195,147.5
77,1764516983,100,146.0
78,1764516984,192,147.5
79,1764516985,103,147.5
80,1764516986,192,148.5
81,1764516987,105,148.0
82,1764516988,191,150.0
83,1764516989,109,150.0
84,1764516990,191,151.5
85,1764516991,112,151.5
86,1764516992,191,153.5
87,1764516993,116,154.0
88,1764516994,192,155.0
89,1764516995,118,154.5
90,1764516996,191,156.5
91,1764516997,122,157.0
92,1764516998,192,158.0
93,1764516999,124,157.5
94,1764517000,191,159.5
95,1764517001,128,160.0
96,1764517002,192,161.0
97,1764517003,130,160.5
98,1764517004,191,162.5
99,1764517005,134,162.5
100,1764517006,191,163.5
101,1764517007,136,163.0
102,1764517008,190,165.5
103,1764517009,141,166.5
104,1764517010,192,167.5
105,1764517011,143,167.0
106,1764517012,191,168.5
107,1764517013,146,168.5
108,1764517014,191,170.0
109,1764517015,149,170.0
110,1764517016,191,172.0
111,1764517017,153,172.5
112,1764517018,192,174.0
113,1764517019,156,174.0
114,1764517020,192,176.0
115,1764517021,160,176.5
116,1764517022,193,177.0
117,1764517023,161,176.0
118,1764517024,191,178.5
119,1764517025,166,179.5
120,1764517026,193,180.5
121,1764517027,168,180.0
122,1764517028,192,182.0
123,1764517029,172,182.5
124,1764517030,193,183.5
125,1764517031,174,183.0
126,1764517032,192,184.5
127,1764517033,177,184.5
128,1764517034,192,185.5
129,1764517035,179,184.5
130,1764517036,190,187.0
131,1764517037,184,188.0
132,1764517038,192,189.0
133,1764517039,186,188.5
134,1764517040,191,190.5
135,1764517041,190,191.0
136,1764517042,192,192.0
137,1764517043,192,192.0
138,1764517044,192,193.0
139,1764517045,194,195.0
140,1764517046,196,194.5
141,1764517047,193,195.5
142,1764517048,198,194.5
143,1764517049,191,195.5
144,1764517050,200,194.0
145,1764517051,188,194.0
146,1764517052,200,192.5
147,1764517053,185,192.5
148,1764517054,200,191.0
149,1764517055,182,191.0
150,1764517056,200,189.5
151,1764517057,179,189.5
152,1764517058,200,188.0
153,1764517059,176,188.0
154,1764517060,200,186.5
155,1764517061,173,186.5
156,1764517062,200,185.0
157,1764517063,170,185.0
158,1764517064,200,183.5
159,1764517065,167,183.5
160,1764517066,200,182.0
161,1764517067,164,182.0
162,1764517068,200,180.5
163,1764517069,161,180.5
164,1764517070,200,179.0
165,1764517071,158,179.0
166,1764517072,200,177.5
167,1764517073,155,177.5
168,1764517074,200,176.5
169,1764517075,153,176.5
170,1764517076,200,175.0
171,1764517077,150,175.0
172,1764517078,200,173.5
173,1764517079,147,173.5
174,1764517080,200,172.0
175,1764517081,144,172.0
176,1764517082,200,170.0
177,1764517083,140,170.0
178,1764517084,200,168.5
179,1764517085,137,168.5
180,1764517086,200,167.0
181,1764517087,134,167.0
182,1764517088,200,165.5
183,1764517089,131,165.5
184,1764517090,200,164.5
185,1764517091,129,164.5
186,1764517092,200,163.0
187,1764517093,126,163.0
188,1764517094,200,161.0
189,1764517095,122,161.0
190,1764517096,200,159.5
191,1764517097,119,159.5
192,1764517098,200,158.0
193,1764517099,116,158.0
194,1764517100,200,156.5
195,1764517101,113,156.5
196,1764517102,200,155.0
197,1764517103,110,155.0
198,1764517104,200,153.5
199,1764517105,107,153.5
200,1764517106,200,152.0
201,1764517107,104,152.0
202,1764517108,200,150.0
203,1764517109,100,100.0
204,1764517110,100,50.0
205,1764517111,0,0.0
