Row_Index,Block_Number,Total_Gas_Used
0,11959,1725364
1,11960,3416184
2,11961,3347108
3,11962,3381700
4,11963,3347156
5,11964,3347180
6,11965,3312672
7,11966,3416172
8,11967,3278212
9,11968,3381676
10,11969,3312696
11,11970,3381736
12,11971,3312684
13,11972,3416220
14,11973,3278176
15,11974,3381664
16,11975,3312684
17,11976,3381688
18,11977,3381664
19,11978,3450764
20,11979,3450752
21,11980,3450776
22,11981,3450620
23,11982,3450680
24,11983,3450668
25,11984,3450608
26,11985,3450752
27,11986,3450704
28,11987,3450716
29,11988,3450716
30,11989,3450740
31,11990,3450692
32,11991,3450680
33,11992,3450752
34,11993,3450668
35,11994,3450692
36,11995,3450728
37,11996,3450740
38,11997,3450656
39,11998,3450692
40,11999,3450728
41,12000,3450692
42,12001,3450692
43,12002,3450692
44,12003,3450716
45,12004,3450740
46,12005,3450740
47,12006,3450752
48,12007,3450632
49,12008,3450704
50,12009,3416208
51,12010,3416184
52,12011,3278188
53,12012,3381640
54,12013,3347216
55,12014,3381712
56,12015,3278140
57,12016,3416196
58,12017,3278104
59,12018,3381688
60,12019,3347156
61,12020,3381748
62,12021,3278152
63,12022,3381724
64,12023,3312708
65,12024,3416184
66,12025,3312648
67,12026,3416244
68,12027,3278164
69,12028,3381664
70,12029,3312696
71,12030,3381736
72,12031,3312624
73,12032,3416232
74,12033,3278176
75,12034,3347216
76,12035,3347192
77,12036,3347204
78,12037,3347192
79,12038,3416160
80,12039,3243704
81,12040,3381664
82,12041,3312648
83,12042,3381700
84,12043,3416220
85,12044,3450728
86,12045,3450704
87,12046,3450704
88,12047,3450704
89,12048,3450668
90,12049,3450776
91,12050,3450716
92,12051,5160656
93,12052,5160716
94,12053,5160752
95,12054,5160704
96,12055,5160716
97,12056,5160716
98,12057,5160704
99,12058,5160728
100,12059,5160692
101,12060,5160680
