Row_Index,Block_Number,Total_Gas_Used
0,3587,7070548
1,3588,9643710
2,3589,9351792
3,3590,9643710
4,3591,9254486
5,3592,6820996
6,3593,4863430
7,3594,5017012
8,3595,4914624
9,3596,5017012
10,3597,4863430
11,3598,5068206
12,3599,4863430
13,3600,5017012
14,3601,4914624
15,3602,5017012
16,3603,5194545
17,3604,7208282
18,3605,9486831
19,3606,9584526
20,3607,9291441
21,3608,9682221
22,3609,9291441
23,3610,9486831
24,3611,9682221
25,3612,9779916
26,3613,9779916
27,3614,9779916
28,3615,9779916
29,3616,9779916
30,3617,9779916
31,3618,9779916
32,3619,9779916
33,3620,9779916
34,3621,9803478
35,3622,5179958
36,3623,5123400
37,3624,5123400
38,3625,5123400
39,3626,5123400
40,3627,5123400
41,3628,5123400
42,3629,5123400
43,3630,5123400
44,3631,5123400
45,3632,5123400
46,3633,5123400
47,3634,5123400
48,3635,5123400
49,3636,5123400
50,3637,5123400
51,3638,9792567
52,3639,9772916
53,3640,9772916
54,3641,9772916
55,3642,9772916
56,3643,9382416
57,3644,9577666
58,3645,9382416
59,3646,9577666
60,3647,9382416
61,3648,9480041
62,3649,9382416
63,3650,9772916
64,3651,9187166
65,3652,9675291
66,3653,9284791
67,3654,9526517
68,3655,9402132
69,3656,9589818
70,3657,9394320
71,3658,9589818
72,3659,9394320
73,3660,9492069
74,3661,9492069
75,3662,9589818
76,3663,9296571
77,3664,9687567
78,3665,9296571
79,3666,9687567
80,3667,9296571
81,3668,9785316
82,3669,9198822
83,3670,9589818
84,3671,9296571
85,3672,9584848
86,3673,10027392
87,3674,10340748
88,3675,10340748
89,3676,10445200
90,3677,10445200
91,3678,10445200
92,3679,10445200
93,3680,10445200
94,3681,10445200
95,3682,10445200
96,3683,10445200
97,3684,10445200
98,3685,10445200
99,3686,10445200
100,3687,10445200
101,3688,10445200
