Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1764516590,72,86.0
1,1764516591,100,134.5
2,1764516592,169,148.5
3,1764516593,128,161.0
4,1764516594,194,161.5
5,1764516595,129,160.0
6,1764516596,191,162.0
7,1764516597,133,162.5
8,1764516598,192,163.0
9,1764516599,134,162.0
10,1764516600,190,164.5
11,1764516601,139,165.5
12,1764516602,192,166.5
13,1764516603,141,165.5
14,1764516604,190,168.0
15,1764516605,146,169.0
16,1764516606,192,170.0
17,1764516607,148,169.5
18,1764516608,191,171.5
19,1764516609,152,172.0
20,1764516610,192,173.0
21,1764516611,154,172.5
22,1764516612,191,175.0
23,1764516613,159,176.0
24,1764516614,193,176.5
25,1764516615,160,175.5
26,1764516616,191,178.0
27,1764516617,165,178.5
28,1764516618,192,179.5
29,1764516619,167,179.0
30,1764516620,191,181.0
31,1764516621,171,181.5
32,1764516622,192,182.5
33,1764516623,173,182.0
34,1764516624,191,184.0
35,1764516625,177,184.5
36,1764516626,192,186.0
37,1764516627,180,186.0
38,1764516628,192,187.5
39,1764516629,183,187.5
40,1764516630,192,188.5
41,1764516631,185,187.5
42,1764516632,190,190.0
43,1764516633,190,191.0
44,1764516634,192,191.5
45,1764516635,191,191.0
46,1764516636,191,192.0
47,1764516637,193,194.5
48,1764516638,196,194.5
49,1764516639,193,196.0
50,1764516640,199,195.0
51,1764516641,191,195.5
52,1764516642,200,194.0
53,1764516643,188,194.0
54,1764516644,200,192.5
55,1764516645,185,192.5
56,1764516646,200,191.0
57,1764516647,182,191.0
58,1764516648,200,189.0
59,1764516649,178,189.0
60,1764516650,200,187.5
61,1764516651,175,187.5
62,1764516652,200,186.0
63,1764516653,172,186.0
64,1764516654,200,184.5
65,1764516655,169,184.5
66,1764516656,200,182.5
67,1764516657,165,182.5
68,1764516658,200,181.0
69,1764516659,162,181.0
70,1764516660,200,179.5
71,1764516661,159,179.5
72,1764516662,200,178.0
73,1764516663,156,178.0
74,1764516664,200,176.5
75,1764516665,153,176.5
76,1764516666,200,175.0
77,1764516667,150,175.0
78,1764516668,200,173.5
79,1764516669,147,173.5
80,1764516670,200,172.0
81,1764516671,144,172.0
82,1764516672,200,170.0
83,1764516673,140,170.0
84,1764516674,200,168.5
85,1764516675,137,168.5
86,1764516676,200,167.0
87,1764516677,134,167.0
88,1764516678,200,165.5
89,1764516679,131,165.5
90,1764516680,200,164.0
91,1764516681,128,164.0
92,1764516682,200,162.0
93,1764516683,124,162.0
94,1764516684,200,160.5
95,1764516685,121,160.5
96,1764516686,200,159.0
97,1764516687,118,159.0
98,1764516688,200,157.5
99,1764516689,115,157.5
100,1764516690,200,156.0
101,1764516691,112,156.0
102,1764516692,200,154.5
103,1764516693,109,154.5
104,1764516694,200,153.0
105,1764516695,106,153.0
106,1764516696,200,151.0
107,1764516697,102,151.0
108,1764516698,200,150.0
109,1764516699,100,148.5
110,1764516700,197,148.5
111,1764516701,100,147.0
112,1764516702,194,147.0
113,1764516703,100,145.5
114,1764516704,191,147.5
115,1764516705,104,148.0
116,1764516706,192,149.0
117,1764516707,106,148.5
118,1764516708,191,150.5
119,1764516709,110,151.0
120,1764516710,192,152.0
121,1764516711,112,151.5
122,1764516712,191,153.5
123,1764516713,116,154.0
124,1764516714,192,155.5
125,1764516715,119,155.5
126,1764516716,192,157.5
127,1764516717,123,158.0
128,1764516718,193,158.0
129,1764516719,123,156.5
130,1764516720,190,159.5
131,1764516721,129,160.5
132,1764516722,192,161.0
133,1764516723,130,160.0
134,1764516724,190,162.5
135,1764516725,135,163.0
136,1764516726,191,164.5
137,1764516727,138,164.5
138,1764516728,191,166.5
139,1764516729,142,167.0
140,1764516730,192,168.0
141,1764516731,144,167.5
142,1764516732,191,169.5
143,1764516733,148,170.0
144,1764516734,192,171.0
145,1764516735,150,170.5
146,1764516736,191,172.5
147,1764516737,154,173.0
148,1764516738,192,174.5
149,1764516739,157,174.5
150,1764516740,192,176.0
151,1764516741,160,176.0
152,1764516742,192,177.0
153,1764516743,162,176.0
154,1764516744,190,178.5
155,1764516745,167,179.5
156,1764516746,192,180.0
157,1764516747,168,179.0
158,1764516748,190,181.5
159,1764516749,173,182.5
160,1764516750,192,183.0
161,1764516751,174,182.0
162,1764516752,190,184.5
163,1764516753,179,185.5
164,1764516754,192,185.5
165,1764516755,179,184.0
166,1764516756,189,187.0
167,1764516757,185,188.5
168,1764516758,192,189.5
169,1764516759,187,189.0
170,1764516760,191,191.5
171,1764516761,192,192.0
172,1764516762,192,192.5
173,1764516763,193,193.5
174,1764516764,194,193.5
175,1764516765,193,195.5
176,1764516766,198,194.5
177,1764516767,191,195.0
178,1764516768,199,194.5
179,1764516769,190,195.0
180,1764516770,200,193.5
181,1764516771,187,193.5
182,1764516772,200,192.0
183,1764516773,184,192.0
184,1764516774,200,190.5
185,1764516775,181,190.5
186,1764516776,200,189.0
187,1764516777,178,189.0
188,1764516778,200,187.5
189,1764516779,175,187.5
190,1764516780,200,186.0
191,1764516781,172,186.0
192,1764516782,200,184.0
193,1764516783,168,184.0
194,1764516784,200,182.5
195,1764516785,165,182.5
196,1764516786,200,181.0
197,1764516787,162,181.0
198,1764516788,200,179.5
199,1764516789,159,179.5
200,1764516790,200,178.0
201,1764516791,156,178.0
202,1764516792,200,150.0
203,1764516793,100,100.0
204,1764516794,100,50.0
205,1764516795,0,0.0
