Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1764463717,93,96.5
1,1764463718,100,144.5
2,1764463719,189,194.5
3,1764463720,200,193.0
4,1764463721,186,193.0
5,1764463722,200,191.0
6,1764463723,182,191.0
7,1764463724,200,189.5
8,1764463725,179,189.5
9,1764463726,200,188.0
10,1764463727,176,188.0
11,1764463728,200,186.0
12,1764463729,172,186.0
13,1764463730,200,184.5
14,1764463731,169,184.5
15,1764463732,200,182.5
16,1764463733,165,182.5
17,1764463734,200,181.0
18,1764463735,162,181.0
19,1764463736,200,179.5
20,1764463737,159,179.5
21,1764463738,200,178.0
22,1764463739,156,178.0
23,1764463740,200,176.0
24,1764463741,152,176.0
25,1764463742,200,174.5
26,1764463743,149,174.5
27,1764463744,200,172.5
28,1764463745,145,172.5
29,1764463746,200,171.0
30,1764463747,142,171.0
31,1764463748,200,169.0
32,1764463749,138,169.0
33,1764463750,200,167.5
34,1764463751,135,167.5
35,1764463752,200,165.5
36,1764463753,131,165.5
37,1764463754,200,164.0
38,1764463755,128,164.0
39,1764463756,200,162.5
40,1764463757,125,162.5
41,1764463758,200,160.5
42,1764463759,121,160.5
43,1764463760,200,159.0
44,1764463761,118,159.0
45,1764463762,200,157.5
46,1764463763,115,157.5
47,1764463764,200,155.5
48,1764463765,111,155.5
49,1764463766,200,154.0
50,1764463767,108,154.0
51,1764463768,200,152.0
52,1764463769,104,152.0
53,1764463770,200,150.5
54,1764463771,101,150.0
55,1764463772,199,149.5
56,1764463773,100,148.0
57,1764463774,196,148.0
58,1764463775,100,146.0
59,1764463776,192,146.5
60,1764463777,101,145.5
61,1764463778,190,147.5
62,1764463779,105,147.5
63,1764463780,190,148.5
64,1764463781,107,148.0
65,1764463782,189,151.0
66,1764463783,113,152.0
67,1764463784,191,153.0
68,1764463785,115,152.0
69,1764463786,189,154.0
70,1764463787,119,154.0
71,1764463788,189,155.5
72,1764463789,122,155.5
73,1764463790,189,158.0
74,1764463791,127,158.5
75,1764463792,190,160.0
76,1764463793,130,160.0
77,1764463794,190,162.5
78,1764463795,135,163.0
79,1764463796,191,164.0
80,1764463797,137,163.0
81,1764463798,189,165.5
82,1764463799,142,166.5
83,1764463800,191,167.5
84,1764463801,144,166.0
85,1764463802,188,168.0
86,1764463803,148,168.0
87,1764463804,188,170.5
88,1764463805,153,171.5
89,1764463806,190,174.0
90,1764463807,158,174.5
91,1764463808,191,175.5
92,1764463809,160,175.0
93,1764463810,190,177.0
94,1764463811,164,177.0
95,1764463812,190,179.0
96,1764463813,168,179.5
97,1764463814,191,181.0
98,1764463815,171,181.0
99,1764463816,191,182.0
100,1764463817,173,181.0
101,1764463818,189,183.5
102,1764463819,178,184.5
103,1764463820,191,185.5
104,1764463821,180,185.0
105,1764463822,190,187.0
106,1764463823,184,187.0
107,1764463824,190,188.5
108,1764463825,187,188.5
109,1764463826,190,190.5
110,1764463827,191,191.0
111,1764463828,191,190.0
112,1764463829,189,190.5
113,1764463830,192,192.5
114,1764463831,193,196.0
115,1764463832,199,194.5
116,1764463833,190,195.0
117,1764463834,200,193.5
118,1764463835,187,193.5
119,1764463836,200,191.5
120,1764463837,183,191.5
121,1764463838,200,190.0
122,1764463839,180,190.0
123,1764463840,200,188.0
124,1764463841,176,188.0
125,1764463842,200,186.5
126,1764463843,173,186.5
127,1764463844,200,184.5
128,1764463845,169,184.5
129,1764463846,200,182.5
130,1764463847,165,182.5
131,1764463848,200,180.5
132,1764463849,161,180.5
133,1764463850,200,178.5
134,1764463851,157,178.5
135,1764463852,200,177.0
136,1764463853,154,177.0
137,1764463854,200,175.0
138,1764463855,150,175.0
139,1764463856,200,173.5
140,1764463857,147,173.5
141,1764463858,200,171.5
142,1764463859,143,171.5
143,1764463860,200,169.5
144,1764463861,139,169.5
145,1764463862,200,168.0
146,1764463863,136,168.0
147,1764463864,200,166.0
148,1764463865,132,166.0
149,1764463866,200,164.5
150,1764463867,129,164.5
151,1764463868,200,162.5
152,1764463869,125,162.5
153,1764463870,200,161.0
154,1764463871,122,161.0
155,1764463872,200,158.5
156,1764463873,117,158.5
157,1764463874,200,157.0
158,1764463875,114,157.0
159,1764463876,200,154.5
160,1764463877,109,154.5
161,1764463878,200,153.0
162,1764463879,106,153.0
163,1764463880,200,151.0
164,1764463881,102,151.0
165,1764463882,200,150.0
166,1764463883,100,148.5
167,1764463884,197,148.5
168,1764463885,100,146.5
169,1764463886,193,146.5
170,1764463887,100,145.0
171,1764463888,190,146.5
172,1764463889,103,146.0
173,1764463890,189,148.5
174,1764463891,108,149.5
175,1764463892,191,150.5
176,1764463893,110,150.0
177,1764463894,190,152.5
178,1764463895,115,153.0
179,1764463896,191,154.0
180,1764463897,117,153.5
181,1764463898,190,155.5
182,1764463899,121,156.0
183,1764463900,191,157.0
184,1764463901,123,156.0
185,1764463902,189,159.0
186,1764463903,129,160.5
187,1764463904,192,161.5
188,1764463905,131,160.5
189,1764463906,190,162.5
190,1764463907,135,163.0
191,1764463908,191,164.5
192,1764463909,138,164.0
193,1764463910,190,166.0
194,1764463911,142,166.5
195,1764463912,191,167.5
196,1764463913,144,167.0
197,1764463914,190,169.5
198,1764463915,149,170.0
199,1764463916,191,171.0
200,1764463917,151,170.5
201,1764463918,190,173.0
202,1764463919,156,156.0
203,1764463920,156,107.0
204,1764463921,58,58.0
205,1764463922,58,29.0
206,1764463923,0,0.0
