Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1764452203,65,82.5
1,1764452204,100,131.0
2,1764452205,162,181.0
3,1764452206,200,179.5
4,1764452207,159,179.5
5,1764452208,200,177.5
6,1764452209,155,177.5
7,1764452210,200,176.0
8,1764452211,152,176.0
9,1764452212,200,174.5
10,1764452213,149,174.5
11,1764452214,200,172.5
12,1764452215,145,172.5
13,1764452216,200,171.5
14,1764452217,143,171.5
15,1764452218,200,170.0
16,1764452219,140,170.0
17,1764452220,200,168.0
18,1764452221,136,168.0
19,1764452222,200,166.5
20,1764452223,133,166.5
21,1764452224,200,165.0
22,1764452225,130,165.0
23,1764452226,200,163.5
24,1764452227,127,163.5
25,1764452228,200,162.0
26,1764452229,124,162.0
27,1764452230,200,160.5
28,1764452231,121,160.5
29,1764452232,200,159.0
30,1764452233,118,159.0
31,1764452234,200,157.0
32,1764452235,114,157.0
33,1764452236,200,156.0
34,1764452237,112,156.0
35,1764452238,200,154.5
36,1764452239,109,154.5
37,1764452240,200,152.5
38,1764452241,105,152.5
39,1764452242,200,151.0
40,1764452243,102,151.0
41,1764452244,200,150.0
42,1764452245,100,148.5
43,1764452246,197,148.5
44,1764452247,100,147.0
45,1764452248,194,147.5
46,1764452249,101,146.5
47,1764452250,192,147.0
48,1764452251,102,146.0
49,1764452252,190,148.0
50,1764452253,106,148.0
51,1764452254,190,148.0
52,1764452255,106,146.5
53,1764452256,187,150.0
54,1764452257,113,152.0
55,1764452258,191,153.0
56,1764452259,115,152.5
57,1764452260,190,155.0
58,1764452261,120,156.0
59,1764452262,192,157.0
60,1764452263,122,156.5
61,1764452264,191,158.0
62,1764452265,125,158.0
63,1764452266,191,157.5
64,1764452267,124,155.5
65,1764452268,187,159.5
66,1764452269,132,161.5
67,1764452270,191,162.5
68,1764452271,134,162.0
69,1764452272,190,164.5
70,1764452273,139,165.5
71,1764452274,192,166.5
72,1764452275,141,166.0
73,1764452276,191,167.5
74,1764452277,144,167.5
75,1764452278,191,167.5
76,1764452279,144,166.0
77,1764452280,188,169.5
78,1764452281,151,171.5
79,1764452282,192,172.5
80,1764452283,153,172.0
81,1764452284,191,174.0
82,1764452285,157,174.5
83,1764452286,192,175.5
84,1764452287,159,175.0
85,1764452288,191,176.5
86,1764452289,162,176.5
87,1764452290,191,177.5
88,1764452291,164,177.0
89,1764452292,190,179.5
90,1764452293,169,180.5
91,1764452294,192,181.0
92,1764452295,170,180.0
93,1764452296,190,182.5
94,1764452297,175,183.5
95,1764452298,192,184.5
96,1764452299,177,184.0
97,1764452300,191,185.5
98,1764452301,180,185.5
99,1764452302,191,186.5
100,1764452303,182,186.0
101,1764452304,190,188.5
102,1764452305,187,189.5
103,1764452306,192,190.0
104,1764452307,188,189.0
105,1764452308,190,191.5
106,1764452309,193,193.0
107,1764452310,193,192.5
108,1764452311,192,193.5
109,1764452312,195,193.5
110,1764452313,192,195.0
111,1764452314,198,193.5
112,1764452315,189,193.5
113,1764452316,198,193.0
114,1764452317,188,194.0
115,1764452318,200,192.5
116,1764452319,185,192.5
117,1764452320,200,191.0
118,1764452321,182,191.0
119,1764452322,200,189.0
120,1764452323,178,189.0
121,1764452324,200,187.5
122,1764452325,175,187.5
123,1764452326,200,186.0
124,1764452327,172,186.0
125,1764452328,200,184.5
126,1764452329,169,184.5
127,1764452330,200,183.0
128,1764452331,166,183.0
129,1764452332,200,181.5
130,1764452333,163,181.5
131,1764452334,200,180.0
132,1764452335,160,180.0
133,1764452336,200,178.0
134,1764452337,156,178.0
135,1764452338,200,176.5
136,1764452339,153,176.5
137,1764452340,200,175.0
138,1764452341,150,175.0
139,1764452342,200,172.5
140,1764452343,145,172.5
141,1764452344,200,171.0
142,1764452345,142,171.0
143,1764452346,200,169.5
144,1764452347,139,169.5
145,1764452348,200,168.0
146,1764452349,136,168.0
147,1764452350,200,166.5
148,1764452351,133,166.5
149,1764452352,200,165.0
150,1764452353,130,165.0
151,1764452354,200,163.5
152,1764452355,127,163.5
153,1764452356,200,161.5
154,1764452357,123,161.5
155,1764452358,200,160.0
156,1764452359,120,160.0
157,1764452360,200,158.0
158,1764452361,116,158.0
159,1764452362,200,156.5
160,1764452363,113,156.5
161,1764452364,200,155.0
162,1764452365,110,155.0
163,1764452366,200,153.0
164,1764452367,106,153.0
165,1764452368,200,151.5
166,1764452369,103,151.5
167,1764452370,200,150.0
168,1764452371,100,148.5
169,1764452372,197,148.5
170,1764452373,100,147.0
171,1764452374,194,147.0
172,1764452375,100,145.5
173,1764452376,191,147.5
174,1764452377,104,148.0
175,1764452378,192,149.0
176,1764452379,106,148.5
177,1764452380,191,150.5
178,1764452381,110,151.0
179,1764452382,192,152.0
180,1764452383,112,151.5
181,1764452384,191,153.5
182,1764452385,116,154.0
183,1764452386,192,154.0
184,1764452387,116,152.0
185,1764452388,188,155.0
186,1764452389,122,156.5
187,1764452390,191,157.5
188,1764452391,124,157.0
189,1764452392,190,159.5
190,1764452393,129,160.5
191,1764452394,192,161.5
192,1764452395,131,161.0
193,1764452396,191,162.5
194,1764452397,134,162.5
195,1764452398,191,162.5
196,1764452399,134,161.0
197,1764452400,188,164.0
198,1764452401,140,166.0
199,1764452402,192,167.0
200,1764452403,142,166.5
201,1764452404,191,168.5
202,1764452405,146,146.0
203,1764452406,146,97.0
204,1764452407,48,48.0
205,1764452408,48,24.0
206,1764452409,0,0.0
