Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763969480,3,5.5
1,1763969481,8,9.5
2,1763969482,11,12.0
3,1763969483,13,14.5
4,1763969484,16,14.5
5,1763969485,13,14.5
6,1763969486,16,14.5
7,1763969487,13,14.5
8,1763969488,16,14.5
9,1763969489,13,14.5
10,1763969490,16,14.5
11,1763969491,13,14.5
12,1763969492,16,14.5
13,1763969493,13,14.5
14,1763969494,16,14.5
15,1763969495,13,14.5
16,1763969496,16,14.5
17,1763969497,13,14.0
18,1763969498,15,14.0
19,1763969499,13,14.0
20,1763969500,15,14.0
21,1763969501,13,14.0
22,1763969502,15,14.5
23,1763969503,14,15.0
24,1763969504,16,15.0
25,1763969505,14,15.0
26,1763969506,16,15.0
27,1763969507,14,15.0
28,1763969508,16,15.0
29,1763969509,14,15.0
30,1763969510,16,15.0
31,1763969511,14,15.0
32,1763969512,16,15.0
33,1763969513,14,15.0
34,1763969514,16,15.0
35,1763969515,14,15.0
36,1763969516,16,15.0
37,1763969517,14,15.0
38,1763969518,16,15.0
39,1763969519,14,15.0
40,1763969520,16,15.0
41,1763969521,14,15.0
42,1763969522,16,15.0
43,1763969523,14,15.0
44,1763969524,16,15.0
45,1763969525,14,15.0
46,1763969526,16,15.0
47,1763969527,14,14.5
48,1763969528,15,14.5
49,1763969529,14,14.5
50,1763969530,15,14.5
51,1763969531,14,14.5
52,1763969532,15,15.0
53,1763969533,15,15.5
54,1763969534,16,15.5
55,1763969535,15,15.5
56,1763969536,16,15.5
57,1763969537,15,15.5
58,1763969538,16,15.5
59,1763969539,15,15.5
60,1763969540,16,15.5
61,1763969541,15,15.5
62,1763969542,16,15.5
63,1763969543,15,15.5
64,1763969544,16,15.5
65,1763969545,15,15.5
66,1763969546,16,15.5
67,1763969547,15,15.5
68,1763969548,16,15.5
69,1763969549,15,15.5
70,1763969550,16,15.5
71,1763969551,15,15.5
72,1763969552,16,15.5
73,1763969553,15,15.5
74,1763969554,16,15.5
75,1763969555,15,15.5
76,1763969556,16,15.5
77,1763969557,15,15.5
78,1763969558,16,15.5
79,1763969559,15,15.0
80,1763969560,15,15.0
81,1763969561,15,15.0
82,1763969562,15,15.5
83,1763969563,16,16.0
84,1763969564,16,16.0
85,1763969565,16,16.0
86,1763969566,16,16.0
87,1763969567,16,16.0
88,1763969568,16,16.0
89,1763969569,16,16.0
90,1763969570,16,16.0
91,1763969571,16,16.0
92,1763969572,16,16.0
93,1763969573,16,16.0
94,1763969574,16,16.0
95,1763969575,16,16.0
96,1763969576,16,16.0
97,1763969577,16,16.0
98,1763969578,16,16.0
99,1763969579,16,16.0
100,1763969580,16,16.0
101,1763969581,16,16.0
102,1763969582,16,16.0
103,1763969583,16,16.0
104,1763969584,16,16.0
105,1763969585,16,16.0
106,1763969586,16,16.0
107,1763969587,16,16.0
108,1763969588,16,16.0
109,1763969589,16,16.0
110,1763969590,16,15.5
111,1763969591,15,15.5
112,1763969592,16,15.5
113,1763969593,15,15.5
114,1763969594,16,15.5
115,1763969595,15,15.5
116,1763969596,16,15.5
117,1763969597,15,15.5
118,1763969598,16,15.5
119,1763969599,15,15.5
120,1763969600,16,15.5
121,1763969601,15,15.5
122,1763969602,16,15.5
123,1763969603,15,15.5
124,1763969604,16,15.5
125,1763969605,15,15.5
126,1763969606,16,15.5
127,1763969607,15,15.5
128,1763969608,16,15.5
129,1763969609,15,15.5
130,1763969610,16,15.5
131,1763969611,15,15.5
132,1763969612,16,15.5
133,1763969613,15,15.5
134,1763969614,16,15.5
135,1763969615,15,15.5
136,1763969616,16,15.5
137,1763969617,15,15.5
138,1763969618,16,15.5
139,1763969619,15,15.5
140,1763969620,16,15.5
141,1763969621,15,15.5
142,1763969622,16,15.0
143,1763969623,14,15.0
144,1763969624,16,15.0
145,1763969625,14,15.0
146,1763969626,16,15.0
147,1763969627,14,15.0
148,1763969628,16,15.0
149,1763969629,14,15.0
150,1763969630,16,15.0
151,1763969631,14,15.0
152,1763969632,16,15.0
153,1763969633,14,15.0
154,1763969634,16,15.0
155,1763969635,14,15.0
156,1763969636,16,15.0
157,1763969637,14,15.0
158,1763969638,16,15.0
159,1763969639,14,15.0
160,1763969640,16,15.0
161,1763969641,14,15.0
162,1763969642,16,15.0
163,1763969643,14,15.0
164,1763969644,16,15.0
165,1763969645,14,15.0
166,1763969646,16,15.0
167,1763969647,14,15.0
168,1763969648,16,15.0
169,1763969649,14,15.0
170,1763969650,16,15.0
171,1763969651,14,15.0
172,1763969652,16,15.0
173,1763969653,14,15.0
174,1763969654,16,14.5
175,1763969655,13,14.5
176,1763969656,16,14.5
177,1763969657,13,14.5
178,1763969658,16,14.5
179,1763969659,13,14.5
180,1763969660,16,14.5
181,1763969661,13,14.5
182,1763969662,16,14.5
183,1763969663,13,14.5
184,1763969664,16,14.5
185,1763969665,13,14.5
186,1763969666,16,14.5
187,1763969667,13,14.5
188,1763969668,16,14.5
189,1763969669,13,14.5
190,1763969670,16,14.5
191,1763969671,13,14.5
192,1763969672,16,14.5
193,1763969673,13,14.5
194,1763969674,16,14.5
195,1763969675,13,14.5
196,1763969676,16,14.5
197,1763969677,13,14.5
198,1763969678,16,14.5
199,1763969679,13,14.5
200,1763969680,16,12.0
201,1763969681,8,8.0
202,1763969682,8,4.0
203,1763969683,0,0.0
