Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763966530,4,6.0
1,1763966531,8,10.0
2,1763966532,12,10.0
3,1763966533,8,10.0
4,1763966534,12,10.0
5,1763966535,8,10.0
6,1763966536,12,10.0
7,1763966537,8,10.0
8,1763966538,12,10.0
9,1763966539,8,10.0
10,1763966540,12,10.0
11,1763966541,8,10.0
12,1763966542,12,10.0
13,1763966543,8,10.0
14,1763966544,12,10.0
15,1763966545,8,10.0
16,1763966546,12,10.0
17,1763966547,8,10.0
18,1763966548,12,10.0
19,1763966549,8,10.0
20,1763966550,12,10.0
21,1763966551,8,10.0
22,1763966552,12,10.0
23,1763966553,8,10.0
24,1763966554,12,10.0
25,1763966555,8,10.0
26,1763966556,12,10.0
27,1763966557,8,10.0
28,1763966558,12,10.0
29,1763966559,8,10.0
30,1763966560,12,10.0
31,1763966561,8,10.0
32,1763966562,12,10.0
33,1763966563,8,10.0
34,1763966564,12,10.0
35,1763966565,8,9.5
36,1763966566,11,9.5
37,1763966567,8,9.5
38,1763966568,11,9.5
39,1763966569,8,9.5
40,1763966570,11,9.5
41,1763966571,8,9.5
42,1763966572,11,9.5
43,1763966573,8,9.5
44,1763966574,11,9.5
45,1763966575,8,9.5
46,1763966576,11,9.5
47,1763966577,8,9.5
48,1763966578,11,9.5
49,1763966579,8,9.5
50,1763966580,11,9.5
51,1763966581,8,9.5
52,1763966582,11,9.5
53,1763966583,8,9.5
54,1763966584,11,9.5
55,1763966585,8,9.5
56,1763966586,11,9.5
57,1763966587,8,9.5
58,1763966588,11,9.5
59,1763966589,8,9.5
60,1763966590,11,9.5
61,1763966591,8,9.5
62,1763966592,11,9.5
63,1763966593,8,9.5
64,1763966594,11,9.5
65,1763966595,8,9.5
66,1763966596,11,9.5
67,1763966597,8,9.5
68,1763966598,11,9.5
69,1763966599,8,9.5
70,1763966600,11,9.5
71,1763966601,8,9.0
72,1763966602,10,9.0
73,1763966603,8,9.0
74,1763966604,10,9.0
75,1763966605,8,9.0
76,1763966606,10,9.0
77,1763966607,8,9.0
78,1763966608,10,9.0
79,1763966609,8,9.0
80,1763966610,10,9.0
81,1763966611,8,9.0
82,1763966612,10,9.0
83,1763966613,8,9.0
84,1763966614,10,9.0
85,1763966615,8,9.0
86,1763966616,10,9.0
87,1763966617,8,9.0
88,1763966618,10,9.0
89,1763966619,8,9.0
90,1763966620,10,9.0
91,1763966621,8,9.0
92,1763966622,10,9.0
93,1763966623,8,9.0
94,1763966624,10,9.0
95,1763966625,8,9.0
96,1763966626,10,9.0
97,1763966627,8,9.0
98,1763966628,10,9.0
99,1763966629,8,9.0
100,1763966630,10,9.0
101,1763966631,8,9.0
102,1763966632,10,9.0
103,1763966633,8,9.0
104,1763966634,10,9.0
105,1763966635,8,9.0
106,1763966636,10,9.0
107,1763966637,8,8.5
108,1763966638,9,8.5
109,1763966639,8,8.5
110,1763966640,9,8.5
111,1763966641,8,8.5
112,1763966642,9,8.5
113,1763966643,8,8.5
114,1763966644,9,8.5
115,1763966645,8,8.5
116,1763966646,9,8.5
117,1763966647,8,8.5
118,1763966648,9,8.5
119,1763966649,8,8.5
120,1763966650,9,8.5
121,1763966651,8,8.5
122,1763966652,9,8.5
123,1763966653,8,8.5
124,1763966654,9,8.5
125,1763966655,8,8.5
126,1763966656,9,8.5
127,1763966657,8,8.5
128,1763966658,9,8.5
129,1763966659,8,8.5
130,1763966660,9,8.5
131,1763966661,8,8.5
132,1763966662,9,8.5
133,1763966663,8,8.5
134,1763966664,9,8.5
135,1763966665,8,8.5
136,1763966666,9,8.5
137,1763966667,8,8.5
138,1763966668,9,8.5
139,1763966669,8,8.5
140,1763966670,9,8.5
141,1763966671,8,8.5
142,1763966672,9,8.5
143,1763966673,8,8.0
144,1763966674,8,8.0
145,1763966675,8,8.0
146,1763966676,8,8.0
147,1763966677,8,8.0
148,1763966678,8,8.0
149,1763966679,8,8.0
150,1763966680,8,8.0
151,1763966681,8,8.0
152,1763966682,8,8.0
153,1763966683,8,8.0
154,1763966684,8,8.0
155,1763966685,8,8.0
156,1763966686,8,8.0
157,1763966687,8,8.0
158,1763966688,8,8.0
159,1763966689,8,8.0
160,1763966690,8,8.0
161,1763966691,8,8.0
162,1763966692,8,8.0
163,1763966693,8,8.0
164,1763966694,8,8.0
165,1763966695,8,8.0
166,1763966696,8,8.0
167,1763966697,8,8.0
168,1763966698,8,8.0
169,1763966699,8,8.0
170,1763966700,8,8.0
171,1763966701,8,8.0
172,1763966702,8,8.0
173,1763966703,8,8.0
174,1763966704,8,8.0
175,1763966705,8,8.0
176,1763966706,8,8.0
177,1763966707,8,8.0
178,1763966708,8,8.0
179,1763966709,8,8.0
180,1763966710,8,7.5
181,1763966711,7,7.5
182,1763966712,8,7.5
183,1763966713,7,7.5
184,1763966714,8,8.0
185,1763966715,8,8.5
186,1763966716,9,8.5
187,1763966717,8,8.5
188,1763966718,9,8.5
189,1763966719,8,8.5
190,1763966720,9,8.5
191,1763966721,8,8.5
192,1763966722,9,8.5
193,1763966723,8,8.5
194,1763966724,9,8.5
195,1763966725,8,8.5
196,1763966726,9,8.5
197,1763966727,8,8.5
198,1763966728,9,8.5
199,1763966729,8,8.5
200,1763966730,9,5.0
201,1763966731,1,1.0
202,1763966732,1,0.5
203,1763966733,0,0.0
