Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763926211,1,4.5
1,1763926212,8,8.0
2,1763926213,8,11.5
3,1763926214,15,11.5
4,1763926215,8,11.5
5,1763926216,15,11.5
6,1763926217,8,11.5
7,1763926218,15,11.5
8,1763926219,8,11.5
9,1763926220,15,11.5
10,1763926221,8,11.5
11,1763926222,15,11.5
12,1763926223,8,11.5
13,1763926224,15,11.5
14,1763926225,8,11.5
15,1763926226,15,11.5
16,1763926227,8,11.5
17,1763926228,15,11.5
18,1763926229,8,11.5
19,1763926230,15,11.0
20,1763926231,7,11.0
21,1763926232,15,11.0
22,1763926233,7,11.0
23,1763926234,15,11.5
24,1763926235,8,12.0
25,1763926236,16,12.0
26,1763926237,8,12.0
27,1763926238,16,12.0
28,1763926239,8,12.0
29,1763926240,16,12.0
30,1763926241,8,12.0
31,1763926242,16,12.0
32,1763926243,8,12.0
33,1763926244,16,12.0
34,1763926245,8,12.0
35,1763926246,16,12.0
36,1763926247,8,12.0
37,1763926248,16,12.0
38,1763926249,8,12.0
39,1763926250,16,12.0
40,1763926251,8,12.0
41,1763926252,16,12.0
42,1763926253,8,12.0
43,1763926254,16,12.0
44,1763926255,8,12.0
45,1763926256,16,12.0
46,1763926257,8,12.0
47,1763926258,16,12.0
48,1763926259,8,12.0
49,1763926260,16,12.0
50,1763926261,8,12.0
51,1763926262,16,12.0
52,1763926263,8,11.5
53,1763926264,15,11.5
54,1763926265,8,11.5
55,1763926266,15,11.5
56,1763926267,8,11.5
57,1763926268,15,11.5
58,1763926269,8,11.5
59,1763926270,15,11.5
60,1763926271,8,11.5
61,1763926272,15,11.5
62,1763926273,8,11.5
63,1763926274,15,11.5
64,1763926275,8,11.5
65,1763926276,15,11.5
66,1763926277,8,11.5
67,1763926278,15,11.5
68,1763926279,8,11.5
69,1763926280,15,11.5
70,1763926281,8,11.5
71,1763926282,15,11.5
72,1763926283,8,11.5
73,1763926284,15,11.5
74,1763926285,8,11.5
75,1763926286,15,11.5
76,1763926287,8,11.5
77,1763926288,15,11.5
78,1763926289,8,11.5
79,1763926290,15,11.5
80,1763926291,8,11.5
81,1763926292,15,11.5
82,1763926293,8,11.0
83,1763926294,14,11.0
84,1763926295,8,11.0
85,1763926296,14,11.0
86,1763926297,8,11.0
87,1763926298,14,11.0
88,1763926299,8,11.0
89,1763926300,14,11.0
90,1763926301,8,11.0
91,1763926302,14,11.0
92,1763926303,8,11.0
93,1763926304,14,11.0
94,1763926305,8,11.0
95,1763926306,14,11.0
96,1763926307,8,11.0
97,1763926308,14,11.0
98,1763926309,8,11.0
99,1763926310,14,11.0
100,1763926311,8,11.0
101,1763926312,14,11.0
102,1763926313,8,11.0
103,1763926314,14,11.0
104,1763926315,8,11.0
105,1763926316,14,11.0
106,1763926317,8,11.0
107,1763926318,14,11.0
108,1763926319,8,11.0
109,1763926320,14,11.0
110,1763926321,8,11.0
111,1763926322,14,11.0
112,1763926323,8,11.0
113,1763926324,14,11.0
114,1763926325,8,10.5
115,1763926326,13,10.5
116,1763926327,8,10.5
117,1763926328,13,10.5
118,1763926329,8,10.5
119,1763926330,13,10.5
120,1763926331,8,10.5
121,1763926332,13,10.5
122,1763926333,8,10.5
123,1763926334,13,10.5
124,1763926335,8,10.5
125,1763926336,13,10.5
126,1763926337,8,10.5
127,1763926338,13,10.5
128,1763926339,8,10.5
129,1763926340,13,10.5
130,1763926341,8,10.5
131,1763926342,13,10.5
132,1763926343,8,10.5
133,1763926344,13,10.5
134,1763926345,8,10.5
135,1763926346,13,10.5
136,1763926347,8,10.5
137,1763926348,13,10.5
138,1763926349,8,10.5
139,1763926350,13,10.5
140,1763926351,8,10.5
141,1763926352,13,10.5
142,1763926353,8,10.5
143,1763926354,13,10.5
144,1763926355,8,10.0
145,1763926356,12,10.0
146,1763926357,8,10.0
147,1763926358,12,10.0
148,1763926359,8,10.0
149,1763926360,12,10.0
150,1763926361,8,10.0
151,1763926362,12,10.0
152,1763926363,8,10.0
153,1763926364,12,10.0
154,1763926365,8,10.0
155,1763926366,12,10.0
156,1763926367,8,10.0
157,1763926368,12,10.0
158,1763926369,8,10.0
159,1763926370,12,10.0
160,1763926371,8,10.0
161,1763926372,12,10.0
162,1763926373,8,10.0
163,1763926374,12,10.0
164,1763926375,8,10.0
165,1763926376,12,10.0
166,1763926377,8,10.0
167,1763926378,12,10.0
168,1763926379,8,10.0
169,1763926380,12,10.0
170,1763926381,8,10.0
171,1763926382,12,10.0
172,1763926383,8,10.0
173,1763926384,12,10.0
174,1763926385,8,10.0
175,1763926386,12,10.0
176,1763926387,8,10.0
177,1763926388,12,10.0
178,1763926389,8,10.0
179,1763926390,12,10.0
180,1763926391,8,9.5
181,1763926392,11,9.5
182,1763926393,8,9.5
183,1763926394,11,9.5
184,1763926395,8,9.5
185,1763926396,11,9.5
186,1763926397,8,9.5
187,1763926398,11,9.5
188,1763926399,8,9.5
189,1763926400,11,9.5
190,1763926401,8,9.5
191,1763926402,11,9.5
192,1763926403,8,9.5
193,1763926404,11,9.5
194,1763926405,8,9.5
195,1763926406,11,9.5
196,1763926407,8,9.5
197,1763926408,11,9.5
198,1763926409,8,9.5
199,1763926410,11,9.5
200,1763926411,8,8.0
201,1763926412,8,4.0
202,1763926413,0,0.0
