Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763921075,1,4.5
1,1763921076,8,8.0
2,1763921077,8,12.0
3,1763921078,16,12.0
4,1763921079,8,11.5
5,1763921080,15,11.5
6,1763921081,8,11.5
7,1763921082,15,11.5
8,1763921083,8,10.5
9,1763921084,13,11.0
10,1763921085,9,11.0
11,1763921086,13,12.0
12,1763921087,11,12.5
13,1763921088,14,13.0
14,1763921089,12,13.0
15,1763921090,14,13.5
16,1763921091,13,13.5
17,1763921092,14,14.0
18,1763921093,14,14.5
19,1763921094,15,15.0
20,1763921095,15,15.0
21,1763921096,15,15.0
22,1763921097,15,15.0
23,1763921098,15,14.5
24,1763921099,14,15.0
25,1763921100,16,14.5
26,1763921101,13,14.5
27,1763921102,16,13.5
28,1763921103,11,13.5
29,1763921104,16,13.0
30,1763921105,10,13.0
31,1763921106,16,12.5
32,1763921107,9,12.5
33,1763921108,16,12.0
34,1763921109,8,12.0
35,1763921110,16,12.0
36,1763921111,8,11.5
37,1763921112,15,11.5
38,1763921113,8,11.0
39,1763921114,14,11.5
40,1763921115,9,11.0
41,1763921116,13,11.5
42,1763921117,10,11.5
43,1763921118,13,12.5
44,1763921119,12,13.0
45,1763921120,14,13.5
46,1763921121,13,14.0
47,1763921122,15,14.0
48,1763921123,13,13.5
49,1763921124,14,14.0
50,1763921125,14,14.0
51,1763921126,14,14.5
52,1763921127,15,15.0
53,1763921128,15,15.0
54,1763921129,15,15.5
55,1763921130,16,15.5
56,1763921131,15,15.5
57,1763921132,16,15.0
58,1763921133,14,15.0
59,1763921134,16,15.0
60,1763921135,14,15.0
61,1763921136,16,14.5
62,1763921137,13,14.5
63,1763921138,16,14.0
64,1763921139,12,14.0
65,1763921140,16,14.0
66,1763921141,12,14.0
67,1763921142,16,13.5
68,1763921143,11,13.5
69,1763921144,16,13.5
70,1763921145,11,13.5
71,1763921146,16,13.0
72,1763921147,10,13.0
73,1763921148,16,13.0
74,1763921149,10,13.0
75,1763921150,16,12.5
76,1763921151,9,12.5
77,1763921152,16,12.5
78,1763921153,9,12.5
79,1763921154,16,12.5
80,1763921155,9,12.5
81,1763921156,16,12.0
82,1763921157,8,12.0
83,1763921158,16,12.0
84,1763921159,8,12.0
85,1763921160,16,12.0
86,1763921161,8,11.5
87,1763921162,15,11.5
88,1763921163,8,11.5
89,1763921164,15,12.0
90,1763921165,9,12.0
91,1763921166,15,12.0
92,1763921167,9,12.0
93,1763921168,15,12.5
94,1763921169,10,12.5
95,1763921170,15,12.5
96,1763921171,10,12.0
97,1763921172,14,12.5
98,1763921173,11,13.0
99,1763921174,15,13.0
100,1763921175,11,12.5
101,1763921176,14,13.0
102,1763921177,12,13.5
103,1763921178,15,14.0
104,1763921179,13,14.0
105,1763921180,15,14.0
106,1763921181,13,14.0
107,1763921182,15,14.5
108,1763921183,14,14.5
109,1763921184,15,14.5
110,1763921185,14,14.5
111,1763921186,15,15.0
112,1763921187,15,15.0
113,1763921188,15,15.0
114,1763921189,15,15.0
115,1763921190,15,15.5
116,1763921191,16,16.0
117,1763921192,16,15.5
118,1763921193,15,15.5
119,1763921194,16,15.5
120,1763921195,15,15.5
121,1763921196,16,15.0
122,1763921197,14,15.0
123,1763921198,16,15.0
124,1763921199,14,15.0
125,1763921200,16,14.5
126,1763921201,13,14.5
127,1763921202,16,14.5
128,1763921203,13,14.5
129,1763921204,16,14.0
130,1763921205,12,14.0
131,1763921206,16,13.5
132,1763921207,11,13.5
133,1763921208,16,13.0
134,1763921209,10,13.0
135,1763921210,16,13.0
136,1763921211,10,13.0
137,1763921212,16,12.5
138,1763921213,9,12.5
139,1763921214,16,12.5
140,1763921215,9,12.5
141,1763921216,16,12.0
142,1763921217,8,12.0
143,1763921218,16,12.0
144,1763921219,8,12.0
145,1763921220,16,12.0
146,1763921221,8,11.5
147,1763921222,15,11.5
148,1763921223,8,11.5
149,1763921224,15,12.0
150,1763921225,9,12.0
151,1763921226,15,12.0
152,1763921227,9,12.0
153,1763921228,15,12.5
154,1763921229,10,12.5
155,1763921230,15,12.5
