Row_Index,Block_Number,Total_Gas_Used
0,1840,6695419
1,1841,6987541
2,1842,7797371
3,1843,8416255
4,1844,6791765
5,1845,9104852
6,1846,7260436
7,1847,6887721
8,1848,8141106
9,1849,6548416
10,1850,6398042
11,1851,6542376
12,1852,5146106
13,1853,6847876
14,1854,7936236
15,1855,7646997
16,1856,6690901
17,1857,7336189
18,1858,6484416
19,1859,6546484
20,1860,7820716
21,1861,6588100
22,1862,7915867
23,1863,7478591
24,1864,6768098
25,1865,7902182
26,1866,1925745
27,1867,2003231
28,1868,2219521
29,1869,2384813
30,1870,1950943
31,1871,2568724
32,1872,2076116
33,1873,1976571
34,1874,2311326
35,1875,2101271
36,1876,2093359
37,1877,1755981
38,1878,2043823
39,1879,1999760
40,1880,2310466
41,1881,2321173
42,1882,1857903
43,1883,2102862
44,1884,2020904
45,1885,1807851
46,1886,2189077
47,1887,2097788
48,1888,1822772
49,1889,1975195
50,1890,2061066
51,1891,1842267
52,1892,2107520
53,1893,1935240
54,1894,2158819
55,1895,2297580
56,1896,1864290
57,1897,2501529
58,1898,2054673
59,1899,1748018
60,1900,2323638
61,1901,2113583
62,1902,2105671
63,1903,1768293
64,1904,2056135
65,1905,2319467
66,1906,2181609
67,1907,2392868
68,1908,2242497
69,1909,1940250
70,1910,2169784
71,1911,2238068
72,1912,1908860
73,1913,2263481
74,1914,2146693
75,1915,1956934
76,1916,2259826
77,1917,2779320
78,1918,2894648
79,1919,3216568
80,1920,3462584
81,1921,2816824
82,1922,3736312
83,1923,2683385
84,1924,2841784
85,1925,2743673
86,1926,3395704
87,1927,2444729
88,1928,2794744
89,1929,2524152
90,1930,3012601
91,1931,2795257
92,1932,3392568
93,1933,3304056
94,1934,2715449
95,1935,2933240
96,1936,2718393
97,1937,3149688
98,1938,2358969
99,1939,3263672
100,1940,3089848
101,1941,2807416
102,1942,3258232
