Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763968789,5,6.5
1,1763968790,8,10.5
2,1763968791,13,14.5
3,1763968792,16,14.0
4,1763968793,12,14.0
5,1763968794,16,13.5
6,1763968795,11,13.5
7,1763968796,16,13.5
8,1763968797,11,13.5
9,1763968798,16,13.0
10,1763968799,10,13.0
11,1763968800,16,12.5
12,1763968801,9,12.5
13,1763968802,16,12.0
14,1763968803,8,12.0
15,1763968804,16,12.0
16,1763968805,8,12.0
17,1763968806,16,12.0
18,1763968807,8,11.5
19,1763968808,15,11.5
20,1763968809,8,11.0
21,1763968810,14,11.5
22,1763968811,9,12.0
23,1763968812,15,12.5
24,1763968813,10,12.5
25,1763968814,15,12.5
26,1763968815,10,12.0
27,1763968816,14,12.5
28,1763968817,11,12.5
29,1763968818,14,13.0
30,1763968819,12,13.5
31,1763968820,15,14.0
32,1763968821,13,14.0
33,1763968822,15,14.0
34,1763968823,13,13.5
35,1763968824,14,14.0
36,1763968825,14,14.5
37,1763968826,15,15.0
38,1763968827,15,15.0
39,1763968828,15,15.0
40,1763968829,15,15.0
41,1763968830,15,15.0
42,1763968831,15,15.5
43,1763968832,16,15.5
44,1763968833,15,15.5
45,1763968834,16,15.0
46,1763968835,14,15.0
47,1763968836,16,14.5
48,1763968837,13,14.5
49,1763968838,16,14.5
50,1763968839,13,14.5
51,1763968840,16,14.0
52,1763968841,12,14.0
53,1763968842,16,14.0
54,1763968843,12,14.0
55,1763968844,16,13.5
56,1763968845,11,13.5
57,1763968846,16,13.5
58,1763968847,11,13.5
59,1763968848,16,13.5
60,1763968849,11,13.5
61,1763968850,16,13.0
62,1763968851,10,13.0
63,1763968852,16,13.0
64,1763968853,10,13.0
65,1763968854,16,13.0
66,1763968855,10,13.0
67,1763968856,16,12.5
68,1763968857,9,12.5
69,1763968858,16,12.5
70,1763968859,9,12.5
71,1763968860,16,12.0
72,1763968861,8,12.0
73,1763968862,16,12.0
74,1763968863,8,12.0
75,1763968864,16,12.0
76,1763968865,8,12.0
77,1763968866,16,12.0
78,1763968867,8,11.5
79,1763968868,15,11.5
80,1763968869,8,11.5
81,1763968870,15,12.0
82,1763968871,9,12.5
83,1763968872,16,12.5
84,1763968873,9,12.0
85,1763968874,15,12.0
86,1763968875,9,12.0
87,1763968876,15,12.5
88,1763968877,10,13.0
89,1763968878,16,13.0
90,1763968879,10,12.5
91,1763968880,15,12.5
92,1763968881,10,12.5
93,1763968882,15,13.0
94,1763968883,11,13.5
95,1763968884,16,13.5
96,1763968885,11,13.0
97,1763968886,15,13.0
98,1763968887,11,13.0
99,1763968888,15,13.5
100,1763968889,12,14.0
101,1763968890,16,14.0
102,1763968891,12,13.5
103,1763968892,15,13.5
104,1763968893,12,13.5
105,1763968894,15,14.0
106,1763968895,13,14.0
107,1763968896,15,14.0
108,1763968897,13,14.0
109,1763968898,15,14.5
110,1763968899,14,15.0
111,1763968900,16,15.0
112,1763968901,14,14.5
113,1763968902,15,14.5
114,1763968903,14,14.5
115,1763968904,15,15.0
116,1763968905,15,15.5
117,1763968906,16,15.5
118,1763968907,15,15.0
119,1763968908,15,15.0
120,1763968909,15,15.0
121,1763968910,15,15.5
122,1763968911,16,16.0
123,1763968912,16,15.5
124,1763968913,15,15.5
125,1763968914,16,15.5
126,1763968915,15,15.5
127,1763968916,16,15.5
128,1763968917,15,15.5
129,1763968918,16,15.0
130,1763968919,14,15.0
131,1763968920,16,15.0
132,1763968921,14,15.0
133,1763968922,16,15.0
134,1763968923,14,15.0
135,1763968924,16,14.5
136,1763968925,13,14.5
137,1763968926,16,14.5
138,1763968927,13,14.5
139,1763968928,16,14.0
140,1763968929,12,14.0
141,1763968930,16,14.0
142,1763968931,12,14.0
143,1763968932,16,14.0
144,1763968933,12,14.0
145,1763968934,16,13.5
146,1763968935,11,13.5
147,1763968936,16,13.5
148,1763968937,11,13.5
149,1763968938,16,13.5
150,1763968939,11,13.5
151,1763968940,16,13.0
152,1763968941,10,13.0
153,1763968942,16,13.0
154,1763968943,10,13.0
155,1763968944,16,13.0
156,1763968945,10,13.0
157,1763968946,16,12.5
158,1763968947,9,12.5
159,1763968948,16,12.5
160,1763968949,9,12.5
161,1763968950,16,12.0
162,1763968951,8,12.0
163,1763968952,16,12.0
164,1763968953,8,12.0
165,1763968954,16,12.0
166,1763968955,8,11.5
167,1763968956,15,11.5
168,1763968957,8,11.5
169,1763968958,15,12.0
170,1763968959,9,12.0
171,1763968960,15,12.0
172,1763968961,9,12.0
173,1763968962,15,12.5
174,1763968963,10,12.5
175,1763968964,15,12.5
176,1763968965,10,12.5
177,1763968966,15,13.0
178,1763968967,11,13.5
179,1763968968,16,13.5
180,1763968969,11,13.0
181,1763968970,15,13.0
182,1763968971,11,12.5
183,1763968972,14,13.0
184,1763968973,12,13.5
185,1763968974,15,14.0
186,1763968975,13,14.5
187,1763968976,16,14.5
188,1763968977,13,14.0
189,1763968978,15,14.0
190,1763968979,13,14.0
191,1763968980,15,14.5
192,1763968981,14,14.5
193,1763968982,15,14.5
194,1763968983,14,14.5
195,1763968984,15,15.0
196,1763968985,15,15.0
197,1763968986,15,15.0
198,1763968987,15,15.0
199,1763968988,15,15.5
200,1763968989,16,16.0
201,1763968990,16,16.0
202,1763968991,16,16.0
203,1763968992,16,15.5
204,1763968993,15,15.5
205,1763968994,16,12.0
206,1763968995,8,8.0
207,1763968996,8,4.0
208,1763968997,0,0.0
