Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763967482,6,7.0
1,1763967483,8,10.5
2,1763967484,13,11.5
3,1763967485,10,12.5
4,1763967486,15,13.0
5,1763967487,11,13.0
6,1763967488,15,13.0
7,1763967489,11,12.5
8,1763967490,14,16.5
9,1763967491,19,20.5
10,1763967492,22,17.0
11,1763967493,12,13.0
12,1763967494,14,17.0
13,1763967495,20,21.0
14,1763967496,22,18.0
15,1763967497,14,14.5
16,1763967498,15,18.5
17,1763967499,22,22.0
18,1763967500,22,18.5
19,1763967501,15,15.0
20,1763967502,15,19.0
21,1763967503,23,23.0
22,1763967504,23,19.0
23,1763967505,15,15.5
24,1763967506,16,19.5
25,1763967507,23,23.5
26,1763967508,24,19.0
27,1763967509,14,15.0
28,1763967510,16,18.5
29,1763967511,21,22.5
30,1763967512,24,18.5
31,1763967513,13,14.5
32,1763967514,16,18.0
33,1763967515,20,22.0
34,1763967516,24,17.5
35,1763967517,11,13.5
36,1763967518,16,17.5
37,1763967519,19,21.5
38,1763967520,24,17.0
39,1763967521,10,13.0
40,1763967522,16,17.0
41,1763967523,18,21.0
42,1763967524,24,16.5
43,1763967525,9,12.5
44,1763967526,16,16.0
45,1763967527,16,20.0
46,1763967528,24,16.0
47,1763967529,8,12.0
48,1763967530,16,16.0
49,1763967531,16,19.5
50,1763967532,23,15.5
51,1763967533,8,11.5
52,1763967534,15,15.5
53,1763967535,16,19.5
54,1763967536,23,16.0
55,1763967537,9,12.0
56,1763967538,15,16.0
57,1763967539,17,20.0
58,1763967540,23,16.5
59,1763967541,10,13.0
60,1763967542,16,13.0
61,1763967543,10,12.5
62,1763967544,15,12.5
63,1763967545,10,12.5
64,1763967546,15,13.0
65,1763967547,11,13.5
66,1763967548,16,13.5
67,1763967549,11,13.0
68,1763967550,15,13.0
69,1763967551,11,13.0
70,1763967552,15,13.5
71,1763967553,12,14.0
72,1763967554,16,14.0
73,1763967555,12,14.0
74,1763967556,16,14.0
75,1763967557,12,13.5
76,1763967558,15,13.5
77,1763967559,12,13.5
78,1763967560,15,14.0
79,1763967561,13,14.5
80,1763967562,16,14.5
81,1763967563,13,14.0
82,1763967564,15,14.0
83,1763967565,13,14.0
84,1763967566,15,14.5
85,1763967567,14,15.0
86,1763967568,16,15.0
87,1763967569,14,14.5
88,1763967570,15,14.5
89,1763967571,14,14.5
90,1763967572,15,15.0
91,1763967573,15,15.5
92,1763967574,16,15.5
93,1763967575,15,15.0
94,1763967576,15,15.0
95,1763967577,15,15.0
96,1763967578,15,15.5
97,1763967579,16,16.0
98,1763967580,16,16.0
99,1763967581,16,16.0
100,1763967582,16,15.5
101,1763967583,15,15.5
102,1763967584,16,15.5
103,1763967585,15,15.5
104,1763967586,16,15.5
105,1763967587,15,15.5
106,1763967588,16,15.5
107,1763967589,15,15.5
108,1763967590,16,15.0
109,1763967591,14,15.0
110,1763967592,16,15.0
111,1763967593,14,15.0
112,1763967594,16,15.0
113,1763967595,14,15.0
114,1763967596,16,14.5
115,1763967597,13,14.5
116,1763967598,16,14.5
117,1763967599,13,14.5
118,1763967600,16,14.5
119,1763967601,13,14.5
120,1763967602,16,14.0
121,1763967603,12,14.0
122,1763967604,16,14.0
123,1763967605,12,14.0
124,1763967606,16,14.0
125,1763967607,12,14.0
126,1763967608,16,13.5
127,1763967609,11,13.5
128,1763967610,16,13.5
129,1763967611,11,13.5
130,1763967612,16,13.5
131,1763967613,11,13.5
132,1763967614,16,13.0
133,1763967615,10,13.0
134,1763967616,16,13.0
135,1763967617,10,13.0
136,1763967618,16,13.0
137,1763967619,10,13.0
138,1763967620,16,12.5
139,1763967621,9,12.5
140,1763967622,16,12.5
141,1763967623,9,12.5
142,1763967624,16,12.5
143,1763967625,9,12.5
144,1763967626,16,12.0
145,1763967627,8,12.0
146,1763967628,16,12.0
147,1763967629,8,12.0
148,1763967630,16,12.0
149,1763967631,8,12.0
150,1763967632,16,12.0
151,1763967633,8,12.0
152,1763967634,16,12.0
153,1763967635,8,11.5
154,1763967636,15,11.5
155,1763967637,8,11.5
156,1763967638,15,12.0
157,1763967639,9,12.0
158,1763967640,15,12.0
159,1763967641,9,12.0
160,1763967642,15,12.5
161,1763967643,10,13.0
162,1763967644,16,13.0
163,1763967645,10,12.5
164,1763967646,15,12.5
165,1763967647,10,12.5
166,1763967648,15,13.0
167,1763967649,11,13.0
168,1763967650,15,13.0
169,1763967651,11,13.0
170,1763967652,15,13.5
171,1763967653,12,14.0
172,1763967654,16,14.0
173,1763967655,12,13.5
174,1763967656,15,13.5
175,1763967657,12,13.5
176,1763967658,15,14.0
177,1763967659,13,14.0
178,1763967660,15,14.0
179,1763967661,13,14.0
180,1763967662,15,14.5
181,1763967663,14,15.0
182,1763967664,16,15.0
183,1763967665,14,14.5
184,1763967666,15,14.5
185,1763967667,14,14.5
186,1763967668,15,15.0
187,1763967669,15,15.0
188,1763967670,15,15.0
189,1763967671,15,15.0
190,1763967672,15,15.5
191,1763967673,16,16.0
192,1763967674,16,16.0
193,1763967675,16,16.0
194,1763967676,16,15.5
195,1763967677,15,15.5
196,1763967678,16,15.5
197,1763967679,15,15.5
198,1763967680,16,15.0
199,1763967681,14,15.0
200,1763967682,16,15.0
201,1763967683,14,15.0
202,1763967684,16,15.0
203,1763967685,14,15.0
204,1763967686,16,12.0
205,1763967687,8,8.0
206,1763967688,8,4.0
207,1763967689,0,0.0
