Row_Index,Block_Number,Total_Gas_Used
0,370,3724252
1,371,7009276
2,372,8142716
3,373,6948179
4,374,7370560
5,375,7616729
6,376,7594272
7,377,7636371
8,378,6589549
9,379,8310478
10,380,6407219
11,381,7451704
12,382,5421816
13,383,7339648
14,384,7675738
15,385,7739894
16,386,8242375
17,387,7954829
18,388,5465852
19,389,7565048
20,390,7820716
21,391,6588100
22,392,7915867
23,393,7478591
24,394,6768098
25,395,7902182
26,396,1925745
27,397,2003231
28,398,2219521
29,399,2384813
30,400,1950943
31,401,2568724
32,402,2076116
33,403,1976571
34,404,2311326
35,405,2101271
36,406,2093359
37,407,1755981
38,408,2043823
39,409,2307155
40,410,2169297
41,411,2380556
42,412,2230185
43,413,1927938
44,414,2157472
45,415,2225756
46,416,1896548
47,417,2251169
48,418,2134381
49,419,1944622
50,420,2247514
51,421,1938057
52,422,2015543
53,423,2231833
54,424,2397125
55,425,1963255
56,426,2581036
57,427,2088428
58,428,1988883
59,429,2323638
60,430,2113583
61,431,2105671
62,432,1768293
63,433,2056135
64,434,2319467
65,435,1843951
66,436,2503378
67,437,2156024
68,438,2089202
69,439,1771840
70,440,2163033
71,441,2086235
72,442,2171160
73,443,2155035
74,444,1899701
75,445,1798844
76,446,2676926
77,447,2843192
78,448,3353848
79,449,2690041
80,450,3082168
81,451,3453496
82,452,3296312
83,453,3153144
84,454,2575033
85,455,3328376
86,456,3053624
87,457,2859320
88,458,2166009
89,459,3127224
90,460,3056632
91,461,3353016
92,462,3329080
93,463,2875641
94,464,2794488
95,465,3200888
96,466,3149688
97,467,2358969
98,468,3263672
99,469,3089848
100,470,2807416
101,471,3258232
