Row_Index,Block_Number,Total_Gas_Used
0,8498,3607127
1,8499,6195421
2,8500,6426539
3,8501,6399730
4,8502,5947564
5,8503,6992615
6,8505,14876282
7,8507,13180213
8,8509,14279050
9,8511,13789449
10,8513,14126905
11,8515,13850629
12,8517,15392365
13,8519,13224178
14,8521,13372542
15,8523,13993441
16,8525,5794064
17,8526,1775042
18,8527,1922004
19,8528,1652965
20,8529,2467545
21,8530,2123803
22,8531,1854076
23,8532,1919670
24,8533,2062184
25,8534,1464281
26,8535,2207395
27,8536,2011788
28,8537,1768850
29,8538,2169512
30,8539,1877499
31,8540,2012132
32,8541,1961091
33,8542,2340394
34,8543,2044597
35,8544,2144529
36,8545,1661381
37,8546,1988224
38,8547,2013895
39,8548,2349166
40,8549,2240763
41,8550,1982347
42,8551,1903528
43,8552,2108982
44,8553,1746750
45,8554,2288378
46,8555,2200830
47,8556,2287819
48,8557,1943764
49,8558,1875019
50,8559,1860700
51,8560,2251570
52,8561,1949925
53,8562,2031582
54,8563,2181824
55,8564,1889811
56,8565,1789599
57,8566,2047621
58,8567,2190295
59,8568,1809766
60,8569,2182211
61,8570,1902023
62,8571,1403760
63,8572,2339333
64,8573,2032958
65,8574,2475170
66,8575,2056120
67,8576,2723384
68,8577,2428921
69,8578,3307576
70,8579,2074233
71,8580,3198328
72,8581,3389816
73,8582,2632057
74,8583,2798060
75,8584,2443897
76,8585,2664184
77,8586,3245944
78,8587,2796984
79,8588,2918520
80,8589,3142136
81,8590,2707512
82,8591,2907896
83,8592,2831928
84,8593,3396472
85,8594,2956216
86,8595,3104952
87,8596,2385848
88,8597,2872312
89,8598,2910520
90,8599,3409528
91,8600,3248184
