Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763930328,4,6.0
1,1763930329,8,10.0
2,1763930330,12,12.0
3,1763930331,12,13.5
4,1763930332,15,13.5
5,1763930333,12,13.5
6,1763930334,15,14.0
7,1763930335,13,14.0
8,1763930336,15,14.0
9,1763930337,13,13.5
10,1763930338,14,14.0
11,1763930339,14,14.0
12,1763930340,14,14.5
13,1763930341,15,15.0
14,1763930342,15,19.0
15,1763930343,23,23.0
16,1763930344,23,19.0
17,1763930345,15,15.5
18,1763930346,16,19.5
19,1763930347,23,23.5
20,1763930348,24,19.0
21,1763930349,14,15.0
22,1763930350,16,18.5
23,1763930351,21,22.5
24,1763930352,24,18.5
25,1763930353,13,14.5
26,1763930354,16,18.0
27,1763930355,20,22.0
28,1763930356,24,17.5
29,1763930357,11,13.5
30,1763930358,16,17.5
31,1763930359,19,21.5
32,1763930360,24,17.0
33,1763930361,10,13.0
34,1763930362,16,16.5
35,1763930363,17,20.5
36,1763930364,24,16.5
37,1763930365,9,12.5
38,1763930366,16,16.0
39,1763930367,16,20.0
40,1763930368,24,16.0
41,1763930369,8,12.0
42,1763930370,16,16.0
43,1763930371,16,19.5
44,1763930372,23,15.5
45,1763930373,8,11.0
46,1763930374,14,15.0
47,1763930375,16,19.0
48,1763930376,22,15.5
49,1763930377,9,11.5
50,1763930378,14,15.5
51,1763930379,17,19.5
52,1763930380,22,16.5
53,1763930381,11,13.0
54,1763930382,15,17.0
55,1763930383,19,21.0
56,1763930384,23,17.0
57,1763930385,11,13.0
58,1763930386,15,13.5
59,1763930387,12,13.5
60,1763930388,15,13.5
61,1763930389,12,13.5
62,1763930390,15,14.0
63,1763930391,13,14.5
64,1763930392,16,14.5
65,1763930393,13,14.0
66,1763930394,15,14.0
67,1763930395,13,14.0
68,1763930396,15,14.5
69,1763930397,14,15.0
70,1763930398,16,15.0
71,1763930399,14,14.5
72,1763930400,15,14.5
73,1763930401,14,14.5
74,1763930402,15,15.0
75,1763930403,15,15.5
76,1763930404,16,15.5
77,1763930405,15,15.0
78,1763930406,15,15.0
79,1763930407,15,15.0
80,1763930408,15,15.5
81,1763930409,16,16.0
82,1763930410,16,16.0
83,1763930411,16,16.0
84,1763930412,16,15.5
85,1763930413,15,15.5
86,1763930414,16,15.5
87,1763930415,15,15.5
88,1763930416,16,15.5
89,1763930417,15,15.5
90,1763930418,16,15.0
91,1763930419,14,15.0
92,1763930420,16,15.0
93,1763930421,14,15.0
94,1763930422,16,15.0
95,1763930423,14,15.0
96,1763930424,16,14.5
97,1763930425,13,14.5
98,1763930426,16,14.5
99,1763930427,13,14.5
100,1763930428,16,14.5
101,1763930429,13,14.5
102,1763930430,16,14.0
103,1763930431,12,14.0
104,1763930432,16,14.0
105,1763930433,12,14.0
106,1763930434,16,14.0
107,1763930435,12,14.0
108,1763930436,16,13.5
109,1763930437,11,13.5
110,1763930438,16,13.5
111,1763930439,11,13.5
112,1763930440,16,13.5
113,1763930441,11,13.5
114,1763930442,16,13.0
115,1763930443,10,13.0
116,1763930444,16,13.0
117,1763930445,10,13.0
118,1763930446,16,13.0
119,1763930447,10,13.0
120,1763930448,16,12.5
121,1763930449,9,12.5
122,1763930450,16,12.5
123,1763930451,9,12.5
124,1763930452,16,12.5
125,1763930453,9,12.5
126,1763930454,16,12.0
127,1763930455,8,12.0
128,1763930456,16,12.0
129,1763930457,8,12.0
130,1763930458,16,12.0
131,1763930459,8,12.0
132,1763930460,16,12.0
133,1763930461,8,11.5
134,1763930462,15,11.5
135,1763930463,8,11.5
136,1763930464,15,12.0
137,1763930465,9,12.5
138,1763930466,16,12.5
139,1763930467,9,12.0
140,1763930468,15,12.0
141,1763930469,9,12.0
142,1763930470,15,12.5
143,1763930471,10,13.0
144,1763930472,16,13.0
145,1763930473,10,12.5
146,1763930474,15,12.5
147,1763930475,10,12.5
148,1763930476,15,13.0
149,1763930477,11,13.5
150,1763930478,16,13.5
151,1763930479,11,13.0
152,1763930480,15,13.0
153,1763930481,11,13.0
154,1763930482,15,13.0
155,1763930483,11,13.0
156,1763930484,15,13.5
157,1763930485,12,13.5
158,1763930486,15,13.5
159,1763930487,12,13.5
160,1763930488,15,14.0
161,1763930489,13,14.0
162,1763930490,15,14.0
163,1763930491,13,14.0
164,1763930492,15,14.5
165,1763930493,14,14.5
166,1763930494,15,14.5
167,1763930495,14,14.5
168,1763930496,15,14.5
169,1763930497,14,14.5
170,1763930498,15,15.0
171,1763930499,15,15.0
172,1763930500,15,15.0
173,1763930501,15,15.0
174,1763930502,15,15.5
175,1763930503,16,16.0
176,1763930504,16,15.5
177,1763930505,15,15.5
178,1763930506,16,15.5
179,1763930507,15,15.5
180,1763930508,16,15.5
181,1763930509,15,15.5
182,1763930510,16,15.0
183,1763930511,14,15.0
184,1763930512,16,15.0
185,1763930513,14,15.0
186,1763930514,16,14.5
187,1763930515,13,14.5
188,1763930516,16,14.5
189,1763930517,13,14.5
190,1763930518,16,14.5
191,1763930519,13,14.5
192,1763930520,16,14.0
193,1763930521,12,14.0
194,1763930522,16,14.0
195,1763930523,12,14.0
196,1763930524,16,13.5
197,1763930525,11,13.5
198,1763930526,16,13.5
199,1763930527,11,13.5
200,1763930528,16,13.0
201,1763930529,10,13.0
202,1763930530,16,13.0
203,1763930531,10,13.0
204,1763930532,16,12.0
205,1763930533,8,8.0
206,1763930534,8,4.0
207,1763930535,0,0.0
