Row_Index,Block_Number,Total_Gas_Used
0,4056,648352
1,4057,691558
2,4058,788864
3,4059,788864
4,4060,788864
5,4061,788864
6,4062,788864
7,4063,788864
8,4064,788864
9,4065,788864
10,4066,788864
11,4067,788864
12,4068,788864
13,4069,788864
14,4070,788864
15,4071,788864
16,4072,691558
17,4073,811487
18,4074,791976
19,4075,791976
20,4076,791976
21,4077,791976
22,4078,791976
23,4079,791976
24,4080,791976
25,4081,791976
26,4082,791976
27,4083,791976
28,4084,791976
29,4085,791976
30,4086,791976
31,4087,694281
32,4088,791976
33,4089,835425
34,4090,800058
35,4091,788864
36,4092,788864
37,4093,788864
38,4094,788864
39,4095,788864
40,4096,788864
41,4097,788864
42,4098,788864
43,4099,788864
44,4100,788864
45,4101,788864
46,4102,788864
47,4103,691558
48,4104,788864
49,4105,788864
50,4106,809931
51,4107,791976
52,4108,791976
53,4109,791976
54,4110,791976
55,4111,791976
56,4112,791976
57,4113,791976
58,4114,791976
59,4115,791976
60,4116,791976
61,4117,791976
62,4118,791976
63,4119,694281
64,4120,791976
65,4121,791976
66,4122,791976
67,4123,836862
68,4124,792408
69,4125,792408
70,4126,792408
71,4127,792408
72,4128,792408
73,4129,792408
74,4130,792408
75,4131,792408
76,4132,792408
77,4133,792408
78,4134,792408
79,4135,694659
80,4136,792408
81,4137,792408
82,4138,792408
83,4139,792408
84,4140,819010
85,4141,835616
86,4142,835616
87,4143,835616
88,4144,835616
89,4145,835616
90,4146,835616
91,4147,835616
92,4148,835616
93,4149,835616
94,4150,835616
95,4151,835616
96,4152,835616
97,4153,835616
98,4154,835616
99,4155,835616
100,4156,626712
