Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763921444,6,7.0
1,1763921445,8,10.5
2,1763921446,13,11.5
3,1763921447,10,12.5
4,1763921448,15,13.0
5,1763921449,11,13.5
6,1763921450,16,13.5
7,1763921451,11,13.5
8,1763921452,16,13.5
9,1763921453,11,13.5
10,1763921454,16,13.5
11,1763921455,11,13.5
12,1763921456,16,13.5
13,1763921457,11,13.5
14,1763921458,16,13.5
15,1763921459,11,13.5
16,1763921460,16,13.5
17,1763921461,11,13.5
18,1763921462,16,13.5
19,1763921463,11,13.5
20,1763921464,16,13.5
21,1763921465,11,13.5
22,1763921466,16,13.5
23,1763921467,11,13.5
24,1763921468,16,13.5
25,1763921469,11,13.5
26,1763921470,16,13.5
27,1763921471,11,13.5
28,1763921472,16,13.5
29,1763921473,11,13.0
30,1763921474,15,13.0
31,1763921475,11,13.0
32,1763921476,15,13.0
33,1763921477,11,13.0
34,1763921478,15,13.5
35,1763921479,12,14.0
36,1763921480,16,14.0
37,1763921481,12,14.0
38,1763921482,16,14.0
39,1763921483,12,14.0
40,1763921484,16,14.0
41,1763921485,12,14.0
42,1763921486,16,14.0
43,1763921487,12,14.0
44,1763921488,16,14.0
45,1763921489,12,14.0
46,1763921490,16,14.0
47,1763921491,12,14.0
48,1763921492,16,14.0
49,1763921493,12,14.0
50,1763921494,16,14.0
51,1763921495,12,14.0
52,1763921496,16,14.0
53,1763921497,12,14.0
54,1763921498,16,14.0
55,1763921499,12,14.0
56,1763921500,16,14.0
57,1763921501,12,14.0
58,1763921502,16,14.0
59,1763921503,12,13.5
60,1763921504,15,13.5
61,1763921505,12,13.5
62,1763921506,15,13.5
63,1763921507,12,13.5
64,1763921508,15,14.0
65,1763921509,13,14.5
66,1763921510,16,14.5
67,1763921511,13,14.5
68,1763921512,16,14.5
69,1763921513,13,14.5
70,1763921514,16,14.5
71,1763921515,13,14.5
72,1763921516,16,14.5
73,1763921517,13,14.5
74,1763921518,16,14.5
75,1763921519,13,14.5
76,1763921520,16,14.5
77,1763921521,13,14.5
78,1763921522,16,14.5
79,1763921523,13,14.5
80,1763921524,16,14.5
81,1763921525,13,14.5
82,1763921526,16,14.5
83,1763921527,13,14.5
84,1763921528,16,14.5
85,1763921529,13,14.5
86,1763921530,16,14.5
87,1763921531,13,14.5
88,1763921532,16,14.5
89,1763921533,13,14.5
90,1763921534,16,14.5
91,1763921535,13,14.0
92,1763921536,15,14.0
93,1763921537,13,14.0
94,1763921538,15,14.0
95,1763921539,13,14.0
96,1763921540,15,14.5
97,1763921541,14,15.0
98,1763921542,16,15.0
99,1763921543,14,15.0
100,1763921544,16,15.0
101,1763921545,14,15.0
102,1763921546,16,15.0
103,1763921547,14,15.0
104,1763921548,16,15.0
105,1763921549,14,15.0
106,1763921550,16,15.0
107,1763921551,14,15.0
108,1763921552,16,15.0
109,1763921553,14,15.0
110,1763921554,16,15.0
111,1763921555,14,15.0
112,1763921556,16,15.0
113,1763921557,14,15.0
114,1763921558,16,15.0
115,1763921559,14,15.0
116,1763921560,16,15.0
117,1763921561,14,15.0
118,1763921562,16,15.0
119,1763921563,14,15.0
120,1763921564,16,15.0
121,1763921565,14,15.0
122,1763921566,16,15.0
123,1763921567,14,14.5
124,1763921568,15,14.5
125,1763921569,14,14.5
126,1763921570,15,14.5
127,1763921571,14,14.5
128,1763921572,15,15.0
129,1763921573,15,15.5
130,1763921574,16,15.5
131,1763921575,15,15.5
132,1763921576,16,15.5
133,1763921577,15,15.5
134,1763921578,16,15.5
135,1763921579,15,15.5
136,1763921580,16,15.5
137,1763921581,15,15.5
138,1763921582,16,15.5
139,1763921583,15,15.5
140,1763921584,16,15.5
141,1763921585,15,15.5
142,1763921586,16,15.5
143,1763921587,15,15.5
144,1763921588,16,15.5
145,1763921589,15,15.5
146,1763921590,16,15.5
147,1763921591,15,15.5
148,1763921592,16,15.5
149,1763921593,15,15.5
150,1763921594,16,15.5
151,1763921595,15,15.5
152,1763921596,16,15.5
153,1763921597,15,15.5
154,1763921598,16,15.5
155,1763921599,15,15.0
156,1763921600,15,15.0
157,1763921601,15,15.0
158,1763921602,15,15.0
159,1763921603,15,15.0
160,1763921604,15,15.5
161,1763921605,16,16.0
162,1763921606,16,16.0
163,1763921607,16,16.0
164,1763921608,16,16.0
165,1763921609,16,16.0
166,1763921610,16,16.0
167,1763921611,16,16.0
168,1763921612,16,16.0
169,1763921613,16,16.0
170,1763921614,16,16.0
171,1763921615,16,16.0
172,1763921616,16,16.0
173,1763921617,16,16.0
174,1763921618,16,16.0
175,1763921619,16,16.0
176,1763921620,16,16.0
177,1763921621,16,16.0
178,1763921622,16,16.0
179,1763921623,16,16.0
180,1763921624,16,16.0
181,1763921625,16,16.0
182,1763921626,16,16.0
183,1763921627,16,16.0
184,1763921628,16,15.5
185,1763921629,15,15.5
186,1763921630,16,15.5
187,1763921631,15,15.5
188,1763921632,16,15.5
189,1763921633,15,15.5
190,1763921634,16,15.5
191,1763921635,15,15.5
192,1763921636,16,15.5
193,1763921637,15,15.5
194,1763921638,16,15.5
195,1763921639,15,15.5
196,1763921640,16,15.5
197,1763921641,15,15.5
198,1763921642,16,14.5
199,1763921643,13,13.5
200,1763921644,14,10.0
201,1763921645,6,6.0
202,1763921646,6,3.0
203,1763921647,0,0.0
