Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763969168,7,7.5
1,1763969169,8,11.5
2,1763969170,15,12.0
3,1763969171,9,12.5
4,1763969172,16,12.5
5,1763969173,9,12.5
6,1763969174,16,12.5
7,1763969175,9,12.5
8,1763969176,16,12.5
9,1763969177,9,12.5
10,1763969178,16,12.5
11,1763969179,9,12.5
12,1763969180,16,12.5
13,1763969181,9,12.5
14,1763969182,16,12.5
15,1763969183,9,12.5
16,1763969184,16,12.5
17,1763969185,9,12.0
18,1763969186,15,12.0
19,1763969187,9,12.0
20,1763969188,15,12.5
21,1763969189,10,13.0
22,1763969190,16,13.0
23,1763969191,10,13.0
24,1763969192,16,13.0
25,1763969193,10,13.0
26,1763969194,16,13.0
27,1763969195,10,13.0
28,1763969196,16,13.0
29,1763969197,10,13.0
30,1763969198,16,13.0
31,1763969199,10,13.0
32,1763969200,16,13.0
33,1763969201,10,13.0
34,1763969202,16,13.0
35,1763969203,10,13.0
36,1763969204,16,13.0
37,1763969205,10,13.0
38,1763969206,16,13.0
39,1763969207,10,13.0
40,1763969208,16,13.0
41,1763969209,10,13.0
42,1763969210,16,13.0
43,1763969211,10,13.0
44,1763969212,16,13.0
45,1763969213,10,13.0
46,1763969214,16,13.0
47,1763969215,10,12.5
48,1763969216,15,12.5
49,1763969217,10,12.5
50,1763969218,15,12.5
51,1763969219,10,12.5
52,1763969220,15,13.0
53,1763969221,11,13.5
54,1763969222,16,13.5
55,1763969223,11,13.5
56,1763969224,16,13.5
57,1763969225,11,13.5
58,1763969226,16,13.5
59,1763969227,11,13.5
60,1763969228,16,13.5
61,1763969229,11,13.5
62,1763969230,16,13.5
63,1763969231,11,13.5
64,1763969232,16,13.5
65,1763969233,11,13.5
66,1763969234,16,13.5
67,1763969235,11,13.5
68,1763969236,16,13.5
69,1763969237,11,13.5
70,1763969238,16,13.5
71,1763969239,11,13.5
72,1763969240,16,13.5
73,1763969241,11,13.5
74,1763969242,16,13.5
75,1763969243,11,13.5
76,1763969244,16,13.5
77,1763969245,11,13.5
78,1763969246,16,13.5
79,1763969247,11,13.0
80,1763969248,15,13.0
81,1763969249,11,13.0
82,1763969250,15,13.0
83,1763969251,11,13.0
84,1763969252,15,13.5
85,1763969253,12,14.0
86,1763969254,16,14.0
87,1763969255,12,14.0
88,1763969256,16,14.0
89,1763969257,12,14.0
90,1763969258,16,14.0
91,1763969259,12,14.0
92,1763969260,16,14.0
93,1763969261,12,14.0
94,1763969262,16,14.0
95,1763969263,12,14.0
96,1763969264,16,14.0
97,1763969265,12,14.0
98,1763969266,16,14.0
99,1763969267,12,14.0
100,1763969268,16,14.0
101,1763969269,12,14.0
102,1763969270,16,14.0
103,1763969271,12,14.0
104,1763969272,16,14.0
105,1763969273,12,14.0
106,1763969274,16,14.0
107,1763969275,12,14.0
108,1763969276,16,14.0
109,1763969277,12,14.0
110,1763969278,16,14.0
111,1763969279,12,13.5
112,1763969280,15,13.5
113,1763969281,12,13.5
114,1763969282,15,14.0
115,1763969283,13,14.5
116,1763969284,16,14.5
117,1763969285,13,14.5
118,1763969286,16,14.5
119,1763969287,13,14.5
120,1763969288,16,14.5
121,1763969289,13,14.5
122,1763969290,16,14.5
123,1763969291,13,14.5
124,1763969292,16,14.5
125,1763969293,13,14.5
126,1763969294,16,14.5
127,1763969295,13,14.5
128,1763969296,16,14.5
129,1763969297,13,14.5
130,1763969298,16,14.5
131,1763969299,13,14.5
132,1763969300,16,14.5
133,1763969301,13,14.5
134,1763969302,16,14.5
135,1763969303,13,14.5
136,1763969304,16,14.5
137,1763969305,13,14.5
138,1763969306,16,14.5
139,1763969307,13,14.5
140,1763969308,16,14.5
141,1763969309,13,14.0
142,1763969310,15,14.0
143,1763969311,13,14.0
144,1763969312,15,14.5
145,1763969313,14,15.0
146,1763969314,16,15.0
147,1763969315,14,15.0
148,1763969316,16,15.0
149,1763969317,14,15.0
150,1763969318,16,15.0
151,1763969319,14,15.0
152,1763969320,16,15.0
153,1763969321,14,15.0
154,1763969322,16,15.0
155,1763969323,14,15.0
156,1763969324,16,15.0
157,1763969325,14,15.0
158,1763969326,16,15.0
159,1763969327,14,15.0
160,1763969328,16,15.0
161,1763969329,14,15.0
162,1763969330,16,15.0
163,1763969331,14,15.0
164,1763969332,16,15.0
165,1763969333,14,15.0
166,1763969334,16,15.0
167,1763969335,14,15.0
168,1763969336,16,15.0
169,1763969337,14,15.0
170,1763969338,16,15.0
171,1763969339,14,14.5
172,1763969340,15,14.5
173,1763969341,14,14.5
174,1763969342,15,14.5
175,1763969343,14,14.5
176,1763969344,15,15.0
177,1763969345,15,15.5
178,1763969346,16,15.5
179,1763969347,15,15.5
180,1763969348,16,15.5
181,1763969349,15,15.5
182,1763969350,16,15.5
183,1763969351,15,15.5
184,1763969352,16,15.5
185,1763969353,15,15.5
186,1763969354,16,15.5
187,1763969355,15,15.5
188,1763969356,16,15.5
189,1763969357,15,15.5
190,1763969358,16,15.5
191,1763969359,15,15.5
192,1763969360,16,15.5
193,1763969361,15,15.5
194,1763969362,16,15.5
195,1763969363,15,15.5
196,1763969364,16,15.5
197,1763969365,15,15.0
198,1763969366,15,14.0
199,1763969367,13,13.0
200,1763969368,13,9.5
201,1763969369,6,6.0
202,1763969370,6,3.0
203,1763969371,0,0.0
