Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1763930706,5,6.5
1,1763930707,8,10.0
2,1763930708,12,11.5
3,1763930709,11,13.0
4,1763930710,15,13.0
5,1763930711,11,13.0
6,1763930712,15,13.0
7,1763930713,11,13.0
8,1763930714,15,13.5
9,1763930715,12,14.0
10,1763930716,16,14.0
11,1763930717,12,14.0
12,1763930718,16,14.0
13,1763930719,12,14.0
14,1763930720,16,14.0
15,1763930721,12,14.0
16,1763930722,16,14.0
17,1763930723,12,14.0
18,1763930724,16,14.0
19,1763930725,12,14.0
20,1763930726,16,14.0
21,1763930727,12,14.0
22,1763930728,16,14.0
23,1763930729,12,14.0
24,1763930730,16,14.0
25,1763930731,12,14.0
26,1763930732,16,14.0
27,1763930733,12,14.0
28,1763930734,16,14.0
29,1763930735,12,14.0
30,1763930736,16,14.0
31,1763930737,12,13.5
32,1763930738,15,13.5
33,1763930739,12,13.5
34,1763930740,15,14.0
35,1763930741,13,14.5
36,1763930742,16,14.5
37,1763930743,13,14.5
38,1763930744,16,14.5
39,1763930745,13,14.5
40,1763930746,16,14.5
41,1763930747,13,14.5
42,1763930748,16,14.5
43,1763930749,13,14.5
44,1763930750,16,14.5
45,1763930751,13,14.5
46,1763930752,16,14.5
47,1763930753,13,14.5
48,1763930754,16,14.5
49,1763930755,13,14.5
50,1763930756,16,14.5
51,1763930757,13,14.5
52,1763930758,16,14.5
53,1763930759,13,14.5
54,1763930760,16,14.5
55,1763930761,13,14.5
56,1763930762,16,14.5
57,1763930763,13,14.5
58,1763930764,16,14.5
59,1763930765,13,14.0
60,1763930766,15,14.0
61,1763930767,13,14.0
62,1763930768,15,14.0
63,1763930769,13,14.0
64,1763930770,15,14.5
65,1763930771,14,15.0
66,1763930772,16,14.5
67,1763930773,13,14.0
68,1763930774,15,14.5
69,1763930775,14,15.0
70,1763930776,16,15.0
71,1763930777,14,15.0
72,1763930778,16,15.0
73,1763930779,14,15.0
74,1763930780,16,15.0
75,1763930781,14,15.0
76,1763930782,16,15.0
77,1763930783,14,15.0
78,1763930784,16,14.5
79,1763930785,13,14.0
80,1763930786,15,14.5
81,1763930787,14,15.0
82,1763930788,16,15.0
83,1763930789,14,15.0
84,1763930790,16,15.0
85,1763930791,14,15.0
86,1763930792,16,15.0
87,1763930793,14,14.5
88,1763930794,15,14.5
89,1763930795,14,14.5
90,1763930796,15,14.5
91,1763930797,14,14.5
92,1763930798,15,14.5
93,1763930799,14,14.5
94,1763930800,15,15.0
95,1763930801,15,15.5
96,1763930802,16,15.5
97,1763930803,15,15.5
98,1763930804,16,15.5
99,1763930805,15,15.5
100,1763930806,16,15.5
101,1763930807,15,15.5
102,1763930808,16,15.5
103,1763930809,15,15.5
104,1763930810,16,15.5
105,1763930811,15,15.5
106,1763930812,16,15.5
107,1763930813,15,15.5
108,1763930814,16,15.5
109,1763930815,15,15.5
110,1763930816,16,15.5
111,1763930817,15,15.5
112,1763930818,16,15.5
113,1763930819,15,15.0
114,1763930820,15,15.0
115,1763930821,15,15.0
116,1763930822,15,15.0
117,1763930823,15,15.0
118,1763930824,15,15.5
119,1763930825,16,16.0
120,1763930826,16,16.0
121,1763930827,16,16.0
122,1763930828,16,16.0
123,1763930829,16,16.0
124,1763930830,16,16.0
125,1763930831,16,16.0
126,1763930832,16,16.0
127,1763930833,16,16.0
128,1763930834,16,16.0
129,1763930835,16,16.0
130,1763930836,16,16.0
131,1763930837,16,16.0
132,1763930838,16,16.0
133,1763930839,16,16.0
134,1763930840,16,16.0
135,1763930841,16,16.0
136,1763930842,16,16.0
137,1763930843,16,16.0
138,1763930844,16,16.0
139,1763930845,16,16.0
140,1763930846,16,16.0
141,1763930847,16,16.0
142,1763930848,16,16.0
143,1763930849,16,16.0
144,1763930850,16,16.0
145,1763930851,16,16.0
146,1763930852,16,15.5
147,1763930853,15,15.5
148,1763930854,16,15.5
149,1763930855,15,15.5
150,1763930856,16,15.5
151,1763930857,15,15.5
152,1763930858,16,15.5
153,1763930859,15,15.5
154,1763930860,16,15.5
155,1763930861,15,15.5
156,1763930862,16,15.5
157,1763930863,15,15.5
158,1763930864,16,15.5
159,1763930865,15,15.5
160,1763930866,16,15.5
161,1763930867,15,15.5
162,1763930868,16,15.5
163,1763930869,15,15.5
164,1763930870,16,15.5
165,1763930871,15,15.5
166,1763930872,16,15.5
167,1763930873,15,15.5
168,1763930874,16,15.5
169,1763930875,15,15.5
170,1763930876,16,15.5
171,1763930877,15,15.5
172,1763930878,16,15.5
173,1763930879,15,15.5
174,1763930880,16,15.0
175,1763930881,14,15.0
176,1763930882,16,15.0
177,1763930883,14,15.0
178,1763930884,16,15.0
179,1763930885,14,15.0
180,1763930886,16,15.0
181,1763930887,14,15.0
182,1763930888,16,15.0
183,1763930889,14,15.0
184,1763930890,16,15.0
185,1763930891,14,15.0
186,1763930892,16,15.0
187,1763930893,14,15.0
188,1763930894,16,15.0
189,1763930895,14,15.0
190,1763930896,16,15.0
191,1763930897,14,15.0
192,1763930898,16,15.0
193,1763930899,14,15.0
194,1763930900,16,15.0
195,1763930901,14,15.0
196,1763930902,16,15.0
197,1763930903,14,15.0
198,1763930904,16,14.0
199,1763930905,12,13.0
200,1763930906,14,10.0
201,1763930907,6,6.0
202,1763930908,6,3.0
203,1763930909,0,0.0
