Row_Index,Block_Number,Total_Gas_Used
0,3737,3450692
1,3738,3450704
2,3739,3450680
3,3740,3450692
4,3741,3450692
5,3742,3450704
6,3743,3450740
7,3744,3450680
8,3745,3416184
9,3746,3381748
10,3747,3243668
11,3748,3416160
12,3749,3278176
13,3750,3381664
14,3751,3312660
15,3752,3381688
16,3753,3278200
17,3754,3381700
18,3755,3278116
19,3756,3381640
20,3757,3347168
21,3758,3347204
22,3759,3312672
23,3760,3347120
24,3761,3312696
25,3762,3381676
26,3763,3312624
27,3764,3381748
28,3765,3278140
29,3766,3381664
30,3767,3278128
31,3768,3381736
32,3769,3347180
33,3770,3347168
34,3771,3278104
35,3772,3381712
36,3773,3278200
37,3774,3381724
38,3775,3312696
39,3776,3450668
40,3777,3450728
41,3778,3450668
42,3779,3450680
43,3780,3450716
44,3781,3450692
45,3782,3450704
46,3783,3450704
47,3784,3450752
48,3785,3450644
49,3786,3450716
50,3787,3450716
51,3788,3450752
52,3789,3450704
53,3790,3450740
54,3791,3450716
55,3792,3450728
56,3793,3450692
57,3794,3450680
58,3795,3450668
59,3796,3450764
60,3797,3450716
61,3798,3450692
62,3799,3450752
63,3800,3450644
64,3801,3450716
65,3802,3450716
66,3803,3450692
67,3804,3450752
68,3805,3416220
69,3806,3347204
70,3807,3278164
71,3808,3381736
72,3809,3312684
73,3810,3347180
74,3811,3347216
75,3812,3312696
76,3813,3278164
77,3814,3312696
78,3815,3278164
79,3816,3381736
80,3817,3312684
81,3818,3347180
82,3819,3278164
83,3820,3381688
84,3821,3278128
85,3822,3381652
86,3823,3347192
87,3824,3347216
88,3825,3278188
89,3826,3416184
90,3827,3278176
91,3828,3655016
92,3829,5057536
93,3830,5057584
94,3831,4799496
95,3832,5057464
96,3833,4902664
97,3834,5160716
98,3835,5160680
99,3836,5160668
100,3837,5160740
101,3838,5160704
