Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1764464035,25,62.5
1,1764464036,100,111.0
2,1764464037,122,161.0
3,1764464038,200,159.5
4,1764464039,119,159.5
5,1764464040,200,158.0
6,1764464041,116,158.0
7,1764464042,200,156.0
8,1764464043,112,156.0
9,1764464044,200,154.5
10,1764464045,109,154.5
11,1764464046,200,152.5
12,1764464047,105,152.5
13,1764464048,200,151.0
14,1764464049,102,151.0
15,1764464050,200,150.0
16,1764464051,100,148.0
17,1764464052,196,148.0
18,1764464053,100,146.5
19,1764464054,193,147.0
20,1764464055,101,145.5
21,1764464056,190,146.5
22,1764464057,103,146.0
23,1764464058,189,149.0
24,1764464059,109,150.5
25,1764464060,192,151.0
26,1764464061,110,150.0
27,1764464062,190,152.5
28,1764464063,115,153.0
29,1764464064,191,154.0
30,1764464065,117,153.5
31,1764464066,190,155.5
32,1764464067,121,156.0
33,1764464068,191,157.0
34,1764464069,123,156.5
35,1764464070,190,159.0
36,1764464071,128,159.5
37,1764464072,191,160.5
38,1764464073,130,160.0
39,1764464074,190,162.5
40,1764464075,135,163.5
41,1764464076,192,164.5
42,1764464077,137,164.0
43,1764464078,191,165.5
44,1764464079,140,165.0
45,1764464080,190,166.5
46,1764464081,143,166.5
47,1764464082,190,168.5
48,1764464083,147,169.0
49,1764464084,191,170.5
50,1764464085,150,170.5
51,1764464086,191,172.5
52,1764464087,154,172.5
53,1764464088,191,173.5
54,1764464089,156,173.0
55,1764464090,190,175.0
56,1764464091,160,175.5
57,1764464092,191,176.5
58,1764464093,162,175.5
59,1764464094,189,178.0
60,1764464095,167,179.0
61,1764464096,191,180.0
62,1764464097,169,179.5
63,1764464098,190,182.0
64,1764464099,174,182.5
65,1764464100,191,183.5
66,1764464101,176,183.0
67,1764464102,190,184.5
68,1764464103,179,184.5
69,1764464104,190,186.0
70,1764464105,182,186.0
71,1764464106,190,188.5
72,1764464107,187,189.0
73,1764464108,191,190.0
74,1764464109,189,189.5
75,1764464110,190,191.5
76,1764464111,193,193.5
77,1764464112,194,193.0
78,1764464113,192,194.0
79,1764464114,196,194.0
80,1764464115,192,196.0
81,1764464116,200,194.5
82,1764464117,189,194.5
83,1764464118,200,193.0
84,1764464119,186,193.0
85,1764464120,200,191.0
86,1764464121,182,191.0
87,1764464122,200,189.5
88,1764464123,179,189.5
89,1764464124,200,187.5
90,1764464125,175,187.5
91,1764464126,200,186.0
92,1764464127,172,186.0
93,1764464128,200,184.5
94,1764464129,169,184.5
95,1764464130,200,183.0
96,1764464131,166,183.0
97,1764464132,200,181.5
98,1764464133,163,181.5
99,1764464134,200,179.5
100,1764464135,159,179.5
101,1764464136,200,178.0
102,1764464137,156,178.0
103,1764464138,200,176.0
104,1764464139,152,176.0
105,1764464140,200,174.5
106,1764464141,149,174.5
107,1764464142,200,173.0
108,1764464143,146,173.0
109,1764464144,200,171.0
110,1764464145,142,171.0
111,1764464146,200,169.5
112,1764464147,139,169.5
113,1764464148,200,168.0
114,1764464149,136,168.0
115,1764464150,200,166.5
116,1764464151,133,166.5
117,1764464152,200,164.5
118,1764464153,129,164.5
119,1764464154,200,163.0
120,1764464155,126,163.0
121,1764464156,200,161.0
122,1764464157,122,161.0
123,1764464158,200,159.5
124,1764464159,119,159.5
125,1764464160,200,157.5
126,1764464161,115,157.5
127,1764464162,200,156.0
128,1764464163,112,156.0
129,1764464164,200,154.0
130,1764464165,108,154.0
131,1764464166,200,152.5
132,1764464167,105,152.5
133,1764464168,200,150.5
134,1764464169,101,150.5
135,1764464170,200,150.0
136,1764464171,100,148.0
137,1764464172,196,148.0
138,1764464173,100,146.5
139,1764464174,193,147.0
140,1764464175,101,145.5
141,1764464176,190,147.0
142,1764464177,104,147.0
143,1764464178,190,149.5
144,1764464179,109,150.0
145,1764464180,191,151.0
146,1764464181,111,150.5
147,1764464182,190,152.5
148,1764464183,115,152.5
149,1764464184,190,154.0
150,1764464185,118,154.0
151,1764464186,190,155.5
152,1764464187,121,155.5
153,1764464188,190,157.5
154,1764464189,125,156.5
155,1764464190,188,159.0
156,1764464191,130,159.5
157,1764464192,189,161.5
158,1764464193,134,161.5
159,1764464194,189,164.0
160,1764464195,139,165.0
161,1764464196,191,166.0
162,1764464197,141,165.0
163,1764464198,189,167.0
164,1764464199,145,167.5
165,1764464200,190,169.0
166,1764464201,148,169.0
167,1764464202,190,171.5
168,1764464203,153,172.0
169,1764464204,191,173.0
170,1764464205,155,172.5
171,1764464206,190,175.0
172,1764464207,160,176.0
173,1764464208,192,177.0
174,1764464209,162,176.5
175,1764464210,191,178.0
176,1764464211,165,177.5
177,1764464212,190,179.0
178,1764464213,168,179.0
179,1764464214,190,181.5
180,1764464215,173,182.5
181,1764464216,192,183.0
182,1764464217,174,182.0
183,1764464218,190,184.5
184,1764464219,179,185.5
185,1764464220,192,187.0
186,1764464221,182,186.5
187,1764464222,191,187.5
188,1764464223,184,186.5
189,1764464224,189,187.5
190,1764464225,186,187.0
191,1764464226,188,190.5
192,1764464227,193,193.0
193,1764464228,193,192.0
194,1764464229,191,193.0
195,1764464230,195,194.0
196,1764464231,193,196.5
197,1764464232,200,195.0
198,1764464233,190,195.0
199,1764464234,200,193.0
200,1764464235,186,193.0
201,1764464236,200,191.5
202,1764464237,183,191.5
203,1764464238,200,150.0
204,1764464239,100,100.0
205,1764464240,100,50.0
206,1764464241,0,0.0
