Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1764452514,50,75.0
1,1764452515,100,123.5
2,1764452516,147,148.5
3,1764452517,150,172.0
4,1764452518,194,172.5
5,1764452519,151,171.5
6,1764452520,192,173.0
7,1764452521,154,173.0
8,1764452522,192,174.0
9,1764452523,156,173.5
10,1764452524,191,175.0
11,1764452525,159,175.0
12,1764452526,191,176.5
13,1764452527,162,176.5
14,1764452528,191,178.5
15,1764452529,166,179.0
16,1764452530,192,179.5
17,1764452531,167,178.5
18,1764452532,190,181.0
19,1764452533,172,182.0
20,1764452534,192,183.0
21,1764452535,174,182.5
22,1764452536,191,184.5
23,1764452537,178,185.0
24,1764452538,192,186.0
25,1764452539,180,185.5
26,1764452540,191,187.5
27,1764452541,184,188.0
28,1764452542,192,188.5
29,1764452543,185,187.5
30,1764452544,190,190.0
31,1764452545,190,191.0
32,1764452546,192,192.0
33,1764452547,192,192.0
34,1764452548,192,192.5
35,1764452549,193,194.5
36,1764452550,196,194.0
37,1764452551,192,195.0
38,1764452552,198,194.5
39,1764452553,191,195.5
40,1764452554,200,194.0
41,1764452555,188,194.0
42,1764452556,200,192.5
43,1764452557,185,192.5
44,1764452558,200,191.0
45,1764452559,182,191.0
46,1764452560,200,189.5
47,1764452561,179,189.5
48,1764452562,200,188.0
49,1764452563,176,188.0
50,1764452564,200,186.5
51,1764452565,173,186.5
52,1764452566,200,184.5
53,1764452567,169,184.5
54,1764452568,200,183.0
55,1764452569,166,183.0
56,1764452570,200,181.5
57,1764452571,163,181.5
58,1764452572,200,180.0
59,1764452573,160,180.0
60,1764452574,200,178.5
61,1764452575,157,178.5
62,1764452576,200,177.5
63,1764452577,155,177.5
64,1764452578,200,175.5
65,1764452579,151,175.5
66,1764452580,200,174.5
67,1764452581,149,174.5
68,1764452582,200,172.0
69,1764452583,144,172.0
70,1764452584,200,170.5
71,1764452585,141,170.5
72,1764452586,200,169.0
73,1764452587,138,169.0
74,1764452588,200,167.5
75,1764452589,135,167.5
76,1764452590,200,166.0
77,1764452591,132,166.0
78,1764452592,200,164.5
79,1764452593,129,164.5
80,1764452594,200,163.0
81,1764452595,126,163.0
82,1764452596,200,161.5
83,1764452597,123,161.5
84,1764452598,200,160.0
85,1764452599,120,160.0
86,1764452600,200,158.5
87,1764452601,117,158.5
88,1764452602,200,157.0
89,1764452603,114,157.0
90,1764452604,200,155.5
91,1764452605,111,155.5
92,1764452606,200,154.0
93,1764452607,108,154.0
94,1764452608,200,152.5
95,1764452609,105,152.5
96,1764452610,200,151.0
97,1764452611,102,151.0
98,1764452612,200,150.0
99,1764452613,100,148.5
100,1764452614,197,148.5
101,1764452615,100,147.0
102,1764452616,194,147.5
103,1764452617,101,146.5
104,1764452618,192,147.0
105,1764452619,102,146.0
106,1764452620,190,148.5
107,1764452621,107,149.5
108,1764452622,192,150.5
109,1764452623,109,150.0
110,1764452624,191,151.5
111,1764452625,112,151.5
112,1764452626,191,152.5
113,1764452627,114,152.0
114,1764452628,190,154.5
115,1764452629,119,155.5
116,1764452630,192,156.0
117,1764452631,120,155.0
118,1764452632,190,157.5
119,1764452633,125,158.5
120,1764452634,192,159.5
121,1764452635,127,159.0
122,1764452636,191,160.5
123,1764452637,130,160.5
124,1764452638,191,161.5
125,1764452639,132,161.0
126,1764452640,190,163.5
127,1764452641,137,164.5
128,1764452642,192,165.5
129,1764452643,139,165.0
130,1764452644,191,167.0
131,1764452645,143,168.0
132,1764452646,193,168.5
133,1764452647,144,167.5
134,1764452648,191,169.5
135,1764452649,148,170.0
136,1764452650,192,170.5
137,1764452651,149,169.5
138,1764452652,190,172.0
139,1764452653,154,173.0
140,1764452654,192,174.0
141,1764452655,156,173.0
142,1764452656,190,175.0
143,1764452657,160,175.5
144,1764452658,191,176.5
145,1764452659,162,176.0
146,1764452660,190,178.0
147,1764452661,166,178.5
148,1764452662,191,179.0
149,1764452663,167,178.0
150,1764452664,189,180.5
151,1764452665,172,181.5
152,1764452666,191,183.0
153,1764452667,175,183.0
154,1764452668,191,184.5
155,1764452669,178,184.5
156,1764452670,191,186.0
157,1764452671,181,186.0
158,1764452672,191,187.5
159,1764452673,184,187.5
160,1764452674,191,188.0
161,1764452675,185,187.0
162,1764452676,189,190.0
163,1764452677,191,191.5
164,1764452678,192,192.0
165,1764452679,192,192.5
166,1764452680,193,193.0
167,1764452681,193,195.0
168,1764452682,197,194.5
169,1764452683,192,195.5
170,1764452684,199,194.5
171,1764452685,190,195.0
172,1764452686,200,193.5
173,1764452687,187,193.5
174,1764452688,200,192.0
175,1764452689,184,192.0
176,1764452690,200,190.5
177,1764452691,181,190.5
178,1764452692,200,189.0
179,1764452693,178,189.0
180,1764452694,200,187.5
181,1764452695,175,187.5
182,1764452696,200,185.5
183,1764452697,171,185.5
184,1764452698,200,184.0
185,1764452699,168,184.0
186,1764452700,200,182.5
187,1764452701,165,182.5
188,1764452702,200,181.0
189,1764452703,162,181.0
190,1764452704,200,179.5
191,1764452705,159,179.5
192,1764452706,200,178.0
193,1764452707,156,178.0
194,1764452708,200,176.5
195,1764452709,153,176.5
196,1764452710,200,175.0
197,1764452711,150,175.0
198,1764452712,200,173.5
199,1764452713,147,173.5
200,1764452714,200,172.0
201,1764452715,144,172.0
202,1764452716,200,150.0
203,1764452717,100,100.0
204,1764452718,100,50.0
205,1764452719,0,0.0
