Row_Index,Block_Number,Total_Gas_Used
0,8843,361256
1,8844,412864
2,8845,412864
3,8846,412852
4,8847,361256
5,8848,412840
6,8849,412852
7,8850,412864
8,8851,412864
9,8852,412840
10,8853,412864
11,8854,412852
12,8855,412864
13,8856,412864
14,8857,412864
15,8858,412864
16,8859,361256
17,8860,412840
18,8861,412852
19,8862,412864
20,8863,412864
21,8864,412864
22,8865,412840
23,8866,412864
24,8867,412852
25,8868,412852
26,8869,412864
27,8870,412852
28,8871,412864
29,8872,412864
30,8873,412864
31,8874,361244
32,8875,464472
33,8876,361256
34,8877,412864
35,8878,412864
36,8879,412864
37,8880,412852
38,8881,412864
39,8882,412864
40,8883,412864
41,8884,412864
42,8885,412864
43,8886,412840
44,8887,412852
45,8888,412852
46,8889,361256
47,8890,412864
48,8891,412852
49,8892,412864
50,8893,412852
51,8894,412864
52,8895,412864
53,8896,412864
54,8897,412864
55,8898,412864
56,8899,412864
57,8900,412864
58,8901,412864
59,8902,412864
60,8903,412840
61,8904,361256
62,8905,464448
63,8906,361244
64,8907,412852
65,8908,412852
66,8909,412852
67,8910,412852
68,8911,412864
69,8912,412864
70,8913,412864
71,8914,412864
72,8915,412852
73,8916,412852
74,8917,412864
75,8918,412864
76,8919,361256
77,8920,412864
78,8921,412864
79,8922,412864
80,8923,412852
81,8924,412852
82,8925,412852
83,8926,412852
84,8927,412852
85,8928,412840
86,8929,412864
87,8930,412864
88,8931,412864
89,8932,412864
90,8933,361232
91,8934,412864
92,8935,464460
93,8936,361256
94,8937,412864
95,8938,412864
96,8939,412840
97,8940,412840
98,8941,412864
99,8942,412864
100,8943,412852
