Row_Index,Block_Number,Total_Gas_Used
0,6439,51608
1,6440,412864
2,6441,412852
3,6442,412864
4,6443,412864
5,6444,412864
6,6445,412840
7,6446,412864
8,6447,412864
9,6448,412840
10,6449,412852
11,6450,361256
12,6451,412864
13,6452,412864
14,6453,412864
15,6454,412864
16,6455,412840
17,6456,412864
18,6457,412864
19,6458,412828
20,6459,412864
21,6460,412852
22,6461,412852
23,6462,412852
24,6463,412852
25,6464,412864
26,6465,412840
27,6466,412864
28,6467,412840
29,6468,412864
30,6469,412864
31,6470,412864
32,6471,412852
33,6472,412840
34,6473,412864
35,6474,412864
36,6475,412852
37,6476,412864
38,6477,412864
39,6478,412864
40,6479,412852
41,6480,412852
42,6481,412852
43,6482,412864
44,6483,412852
45,6484,412852
46,6485,412864
47,6486,412852
48,6487,412864
49,6488,412852
50,6489,412852
51,6490,412852
52,6491,412840
53,6492,412864
54,6493,412864
55,6494,412864
56,6495,412864
57,6496,412840
58,6497,412864
59,6498,412852
60,6499,412864
61,6500,412840
62,6501,412864
63,6502,412840
64,6503,412852
65,6504,412852
66,6505,412864
67,6506,412840
68,6507,412864
69,6508,412864
70,6509,412852
71,6510,412864
72,6511,412864
73,6512,412864
74,6513,412864
75,6514,412852
76,6515,412864
77,6516,412852
78,6517,412864
79,6518,412852
80,6519,412864
81,6520,412864
82,6521,412864
83,6522,412840
84,6523,412828
85,6524,412864
86,6525,412864
87,6526,412864
88,6527,412864
89,6528,412864
90,6529,412864
91,6530,412864
92,6531,412852
93,6532,412864
94,6533,412852
95,6534,412852
96,6535,412840
97,6536,412864
98,6537,412852
99,6538,412840
100,6539,412864
