Row_Index,Block_Number,Total_Gas_Used
0,6096,3759111
1,6097,6735576
2,6098,4694823
3,6099,6753125
4,6100,7052907
5,6101,7941627
6,6102,5911017
7,6103,7275248
8,6104,7870465
9,6105,7018053
10,6106,7035197
11,6107,8198905
12,6108,7255928
13,6109,5937421
14,6110,7370882
15,6111,7494691
16,6112,8442337
17,6113,7743919
18,6114,7296339
19,6115,6691784
20,6116,8552300
21,6117,7171403
22,6118,7872558
23,6119,7132602
24,6120,7581619
25,6121,6378478
26,6122,2228809
27,6123,1534445
28,6124,1833252
29,6125,1903901
30,6126,2288020
31,6127,1921101
32,6128,2327193
33,6129,2106130
34,6130,2144701
35,6131,2024516
36,6132,2290428
37,6133,2276066
38,6134,1858751
39,6135,2105614
40,6136,2138681
41,6137,2391779
42,6138,2205245
43,6139,2085705
44,6140,1924240
45,6141,2421148
46,6142,2052337
47,6143,2239602
48,6144,2041974
49,6145,2161889
50,6146,1645225
51,6147,2132082
52,6148,1679799
53,6149,1763090
54,6150,1751630
55,6151,2158561
56,6152,2146693
57,6153,2158948
58,6154,2019413
59,6155,2079978
60,6156,2050631
61,6157,2204012
62,6158,2126483
63,6159,1727034
64,6160,2158604
65,6161,2104553
66,6162,2319424
67,6163,2285540
68,6164,1762853
69,6165,2155250
70,6166,2162044
71,6167,2275177
72,6168,2230113
73,6169,1907806
74,6170,2045600
75,6171,1971800
76,6172,2224298
77,6173,2747321
78,6174,2161336
79,6175,2706296
80,6176,2834296
81,6177,2932857
82,6178,2772408
83,6179,3376824
84,6180,3047800
85,6181,3105208
86,6182,2926328
87,6183,3322104
88,6184,3300728
89,6185,2679608
90,6186,3047032
91,6187,3096248
92,6188,3472952
93,6189,3195320
94,6190,3017400
95,6191,2777080
96,6192,3516664
97,6193,2967736
98,6194,3246456
99,6195,2952312
100,6196,3130796
101,6197,2652536
