Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-11 16:17:02,default,beacon-85cbbc7d7b-t2cbt,83,207
2026-02-11 16:17:02,default,el-584bddccc7-zndtx,6,42
2026-02-11 16:17:02,default,op-batcher-7ddcb69467-cvxjs,2,52
2026-02-11 16:17:02,default,op-geth-75f4676cdc-ffl7k,7,423
2026-02-11 16:17:02,default,op-node-58b7579566-2kvqz,24,165
2026-02-11 16:17:02,default,validator-5c45f686bc-xh52r,35,31
2026-02-11 16:17:02,testing,contender-85bb797bc8-t27wl,2,12
2026-02-11 16:17:13,default,beacon-85cbbc7d7b-t2cbt,83,207
2026-02-11 16:17:13,default,el-584bddccc7-zndtx,7,42
2026-02-11 16:17:13,default,op-batcher-7ddcb69467-cvxjs,3,52
2026-02-11 16:17:13,default,op-geth-75f4676cdc-ffl7k,43,423
2026-02-11 16:17:13,default,op-node-58b7579566-2kvqz,24,166
2026-02-11 16:17:13,default,validator-5c45f686bc-xh52r,32,29
2026-02-11 16:17:13,testing,contender-85bb797bc8-t27wl,20,45
2026-02-11 16:17:23,default,beacon-85cbbc7d7b-t2cbt,70,213
2026-02-11 16:17:23,default,el-584bddccc7-zndtx,8,43
2026-02-11 16:17:23,default,op-batcher-7ddcb69467-cvxjs,9,53
2026-02-11 16:17:23,default,op-geth-75f4676cdc-ffl7k,115,425
2026-02-11 16:17:23,default,op-node-58b7579566-2kvqz,25,170
2026-02-11 16:17:23,default,validator-5c45f686bc-xh52r,37,29
2026-02-11 16:17:23,testing,contender-85bb797bc8-t27wl,42,43
2026-02-11 16:17:33,default,beacon-85cbbc7d7b-t2cbt,70,213
2026-02-11 16:17:33,default,el-584bddccc7-zndtx,8,43
2026-02-11 16:17:33,default,op-batcher-7ddcb69467-cvxjs,9,53
2026-02-11 16:17:33,default,op-geth-75f4676cdc-ffl7k,115,425
2026-02-11 16:17:33,default,op-node-58b7579566-2kvqz,25,170
2026-02-11 16:17:33,default,validator-5c45f686bc-xh52r,37,29
2026-02-11 16:17:33,testing,contender-85bb797bc8-t27wl,42,43
2026-02-11 16:17:43,default,beacon-85cbbc7d7b-t2cbt,61,207
2026-02-11 16:17:43,default,el-584bddccc7-zndtx,10,46
2026-02-11 16:17:43,default,op-batcher-7ddcb69467-cvxjs,9,53
2026-02-11 16:17:43,default,op-geth-75f4676cdc-ffl7k,117,426
2026-02-11 16:17:43,default,op-node-58b7579566-2kvqz,29,171
2026-02-11 16:17:43,default,validator-5c45f686bc-xh52r,40,31
2026-02-11 16:17:43,testing,contender-85bb797bc8-t27wl,42,43
2026-02-11 16:17:53,default,beacon-85cbbc7d7b-t2cbt,86,207
2026-02-11 16:17:53,default,el-584bddccc7-zndtx,10,47
2026-02-11 16:17:53,default,op-batcher-7ddcb69467-cvxjs,10,55
2026-02-11 16:17:53,default,op-geth-75f4676cdc-ffl7k,111,432
2026-02-11 16:17:53,default,op-node-58b7579566-2kvqz,25,171
2026-02-11 16:17:53,default,validator-5c45f686bc-xh52r,42,30
2026-02-11 16:17:53,testing,contender-85bb797bc8-t27wl,42,44
2026-02-11 16:18:03,default,beacon-85cbbc7d7b-t2cbt,86,207
2026-02-11 16:18:03,default,el-584bddccc7-zndtx,10,47
2026-02-11 16:18:03,default,op-batcher-7ddcb69467-cvxjs,10,55
2026-02-11 16:18:03,default,op-geth-75f4676cdc-ffl7k,111,432
