Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-12 04:11:24,default,beacon-85cbbc7d7b-dr7z,62,166
2026-02-12 04:11:24,default,el-584bddccc7-ljpwp,7,37
2026-02-12 04:11:24,default,op-batcher-7ddcb69467-jprj9,3,22
2026-02-12 04:11:24,default,op-geth-75f4676cdc-n84lh,7,78
2026-02-12 04:11:24,default,op-node-fc4c5d564-dptkw,21,78
2026-02-12 04:11:24,default,op-rbuilder-d7bd8784c-4vphh,24,76
2026-02-12 04:11:24,default,rollup-boost-cb6c88c87-6qqtb,4,5
2026-02-12 04:11:24,default,validator-5c45f686bc-p6d5w,42,27
2026-02-12 04:11:24,testing,contender-85bb797bc8-x54s5,2,11
2026-02-12 04:11:34,default,beacon-85cbbc7d7b-dr7z,62,166
2026-02-12 04:11:34,default,el-584bddccc7-ljpwp,7,37
2026-02-12 04:11:34,default,op-batcher-7ddcb69467-jprj9,3,22
2026-02-12 04:11:34,default,op-geth-75f4676cdc-n84lh,7,78
2026-02-12 04:11:34,default,op-node-fc4c5d564-dptkw,21,78
2026-02-12 04:11:34,default,op-rbuilder-d7bd8784c-4vphh,24,76
2026-02-12 04:11:34,default,rollup-boost-cb6c88c87-6qqtb,4,5
2026-02-12 04:11:34,default,validator-5c45f686bc-p6d5w,42,27
2026-02-12 04:11:34,testing,contender-85bb797bc8-x54s5,2,11
2026-02-12 04:11:44,default,beacon-85cbbc7d7b-dr7z,93,166
2026-02-12 04:11:44,default,el-584bddccc7-ljpwp,7,37
2026-02-12 04:11:44,default,op-batcher-7ddcb69467-jprj9,4,21
2026-02-12 04:11:44,default,op-geth-75f4676cdc-n84lh,16,79
2026-02-12 04:11:44,default,op-node-fc4c5d564-dptkw,24,78
2026-02-12 04:11:44,default,op-rbuilder-d7bd8784c-4vphh,73,70
2026-02-12 04:11:44,default,rollup-boost-cb6c88c87-6qqtb,3,5
2026-02-12 04:11:44,default,validator-5c45f686bc-p6d5w,40,29
2026-02-12 04:11:44,testing,contender-85bb797bc8-x54s5,2,11
2026-02-12 04:11:54,default,beacon-85cbbc7d7b-dr7z,67,167
2026-02-12 04:11:54,default,el-584bddccc7-ljpwp,8,37
2026-02-12 04:11:54,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:11:54,default,op-geth-75f4676cdc-n84lh,36,80
2026-02-12 04:11:54,default,op-node-fc4c5d564-dptkw,20,83
2026-02-12 04:11:54,default,op-rbuilder-d7bd8784c-4vphh,72,72
2026-02-12 04:11:54,default,rollup-boost-cb6c88c87-6qqtb,6,6
2026-02-12 04:11:54,default,validator-5c45f686bc-p6d5w,41,31
2026-02-12 04:11:54,testing,contender-85bb797bc8-x54s5,26,21
2026-02-12 04:12:04,default,beacon-85cbbc7d7b-dr7z,67,167
2026-02-12 04:12:04,default,el-584bddccc7-ljpwp,8,37
2026-02-12 04:12:04,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:12:04,default,op-geth-75f4676cdc-n84lh,36,80
2026-02-12 04:12:04,default,op-node-fc4c5d564-dptkw,20,83
2026-02-12 04:12:04,default,op-rbuilder-d7bd8784c-4vphh,72,72
2026-02-12 04:12:04,default,rollup-boost-cb6c88c87-6qqtb,6,6
2026-02-12 04:12:04,default,validator-5c45f686bc-p6d5w,41,31
2026-02-12 04:12:04,testing,contender-85bb797bc8-x54s5,26,21
2026-02-12 04:12:14,default,beacon-85cbbc7d7b-dr7z,79,167
2026-02-12 04:12:14,default,el-584bddccc7-ljpwp,9,39
2026-02-12 04:12:14,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:12:14,default,op-geth-75f4676cdc-n84lh,41,83
2026-02-12 04:12:14,default,op-node-fc4c5d564-dptkw,26,83
2026-02-12 04:12:14,default,op-rbuilder-d7bd8784c-4vphh,70,74
2026-02-12 04:12:14,default,rollup-boost-cb6c88c87-6qqtb,6,6
2026-02-12 04:12:14,default,validator-5c45f686bc-p6d5w,42,27
2026-02-12 04:12:14,testing,contender-85bb797bc8-x54s5,21,21
2026-02-12 04:12:24,default,beacon-85cbbc7d7b-dr7z,57,168
2026-02-12 04:12:24,default,el-584bddccc7-ljpwp,8,39
2026-02-12 04:12:24,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:12:24,default,op-geth-75f4676cdc-n84lh,41,86
2026-02-12 04:12:24,default,op-node-fc4c5d564-dptkw,30,83
2026-02-12 04:12:24,default,op-rbuilder-d7bd8784c-4vphh,72,75
2026-02-12 04:12:24,default,rollup-boost-cb6c88c87-6qqtb,8,6
2026-02-12 04:12:24,default,validator-5c45f686bc-p6d5w,40,28
2026-02-12 04:12:24,testing,contender-85bb797bc8-x54s5,21,21
2026-02-12 04:12:34,default,beacon-85cbbc7d7b-dr7z,57,168
2026-02-12 04:12:34,default,el-584bddccc7-ljpwp,8,39
2026-02-12 04:12:34,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:12:34,default,op-geth-75f4676cdc-n84lh,41,86
2026-02-12 04:12:34,default,op-node-fc4c5d564-dptkw,30,83
2026-02-12 04:12:34,default,op-rbuilder-d7bd8784c-4vphh,72,75
2026-02-12 04:12:34,default,rollup-boost-cb6c88c87-6qqtb,8,6
2026-02-12 04:12:34,default,validator-5c45f686bc-p6d5w,40,28
2026-02-12 04:12:34,testing,contender-85bb797bc8-x54s5,21,21
2026-02-12 04:12:45,default,beacon-85cbbc7d7b-dr7z,103,168
2026-02-12 04:12:45,default,el-584bddccc7-ljpwp,8,38
2026-02-12 04:12:45,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:12:45,default,op-geth-75f4676cdc-n84lh,38,88
2026-02-12 04:12:45,default,op-node-fc4c5d564-dptkw,30,83
2026-02-12 04:12:45,default,op-rbuilder-d7bd8784c-4vphh,72,75
2026-02-12 04:12:45,default,rollup-boost-cb6c88c87-6qqtb,6,6
2026-02-12 04:12:45,default,validator-5c45f686bc-p6d5w,47,31
2026-02-12 04:12:45,testing,contender-85bb797bc8-x54s5,20,21
2026-02-12 04:12:55,default,beacon-85cbbc7d7b-dr7z,76,168
2026-02-12 04:12:55,default,el-584bddccc7-ljpwp,8,39
2026-02-12 04:12:55,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:12:55,default,op-geth-75f4676cdc-n84lh,39,90
2026-02-12 04:12:55,default,op-node-fc4c5d564-dptkw,27,86
2026-02-12 04:12:55,default,op-rbuilder-d7bd8784c-4vphh,71,74
2026-02-12 04:12:55,default,rollup-boost-cb6c88c87-6qqtb,7,6
2026-02-12 04:12:55,default,validator-5c45f686bc-p6d5w,26,30
2026-02-12 04:12:55,testing,contender-85bb797bc8-x54s5,20,22
2026-02-12 04:13:05,default,beacon-85cbbc7d7b-dr7z,76,168
2026-02-12 04:13:05,default,el-584bddccc7-ljpwp,8,39
2026-02-12 04:13:05,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:13:05,default,op-geth-75f4676cdc-n84lh,39,90
2026-02-12 04:13:05,default,op-node-fc4c5d564-dptkw,27,86
2026-02-12 04:13:05,default,op-rbuilder-d7bd8784c-4vphh,71,74
2026-02-12 04:13:05,default,rollup-boost-cb6c88c87-6qqtb,7,6
2026-02-12 04:13:05,default,validator-5c45f686bc-p6d5w,26,30
2026-02-12 04:13:05,testing,contender-85bb797bc8-x54s5,20,22
2026-02-12 04:13:15,default,beacon-85cbbc7d7b-dr7z,71,169
2026-02-12 04:13:15,default,el-584bddccc7-ljpwp,10,39
2026-02-12 04:13:15,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:13:15,default,op-geth-75f4676cdc-n84lh,38,90
2026-02-12 04:13:15,default,op-node-fc4c5d564-dptkw,27,86
2026-02-12 04:13:15,default,op-rbuilder-d7bd8784c-4vphh,74,76
2026-02-12 04:13:15,default,rollup-boost-cb6c88c87-6qqtb,7,6
2026-02-12 04:13:15,default,validator-5c45f686bc-p6d5w,46,30
2026-02-12 04:13:15,testing,contender-85bb797bc8-x54s5,20,22
2026-02-12 04:13:25,default,beacon-85cbbc7d7b-dr7z,71,169
2026-02-12 04:13:25,default,el-584bddccc7-ljpwp,10,39
2026-02-12 04:13:25,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:13:25,default,op-geth-75f4676cdc-n84lh,39,93
2026-02-12 04:13:25,default,op-node-fc4c5d564-dptkw,26,86
2026-02-12 04:13:25,default,op-rbuilder-d7bd8784c-4vphh,66,76
2026-02-12 04:13:25,default,rollup-boost-cb6c88c87-6qqtb,8,6
2026-02-12 04:13:25,default,validator-5c45f686bc-p6d5w,32,29
2026-02-12 04:13:25,testing,contender-85bb797bc8-x54s5,20,21
2026-02-12 04:13:35,default,beacon-85cbbc7d7b-dr7z,68,169
2026-02-12 04:13:35,default,el-584bddccc7-ljpwp,8,40
2026-02-12 04:13:35,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:13:35,default,op-geth-75f4676cdc-n84lh,38,93
2026-02-12 04:13:35,default,op-node-fc4c5d564-dptkw,24,86
2026-02-12 04:13:35,default,op-rbuilder-d7bd8784c-4vphh,73,75
2026-02-12 04:13:35,default,rollup-boost-cb6c88c87-6qqtb,5,6
2026-02-12 04:13:35,default,validator-5c45f686bc-p6d5w,33,28
2026-02-12 04:13:35,testing,contender-85bb797bc8-x54s5,20,22
2026-02-12 04:13:45,default,beacon-85cbbc7d7b-dr7z,68,169
2026-02-12 04:13:45,default,el-584bddccc7-ljpwp,8,40
2026-02-12 04:13:45,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:13:45,default,op-geth-75f4676cdc-n84lh,38,93
2026-02-12 04:13:45,default,op-node-fc4c5d564-dptkw,24,86
2026-02-12 04:13:45,default,op-rbuilder-d7bd8784c-4vphh,73,75
2026-02-12 04:13:45,default,rollup-boost-cb6c88c87-6qqtb,5,6
2026-02-12 04:13:45,default,validator-5c45f686bc-p6d5w,33,28
2026-02-12 04:13:45,testing,contender-85bb797bc8-x54s5,20,22
2026-02-12 04:13:55,default,beacon-85cbbc7d7b-dr7z,68,169
2026-02-12 04:13:55,default,el-584bddccc7-ljpwp,9,38
2026-02-12 04:13:55,default,op-batcher-7ddcb69467-jprj9,5,22
2026-02-12 04:13:55,default,op-geth-75f4676cdc-n84lh,42,96
2026-02-12 04:13:55,default,op-node-fc4c5d564-dptkw,26,86
2026-02-12 04:13:55,default,op-rbuilder-d7bd8784c-4vphh,66,76
