Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-11 19:57:11,default,beacon-6686fb6d7-x4d5l,110,197
2026-02-11 19:57:11,default,el-6cc975f4f4-swrs8,27,37
2026-02-11 19:57:11,default,op-batcher-766c846f88-2sd5w,4,46
2026-02-11 19:57:11,default,op-geth-58cfb95cd4-jd97r,48,475
2026-02-11 19:57:11,default,op-node-76bc866d6f-9crgw,43,143
2026-02-11 19:57:11,default,validator-74689874d8-qpxz5,78,27
2026-02-11 19:57:11,testing,contender-85bb797bc8-vlqs,1,1
2026-02-11 19:57:21,default,beacon-6686fb6d7-x4d5l,78,197
2026-02-11 19:57:21,default,el-6cc975f4f4-swrs8,13,38
2026-02-11 19:57:21,default,op-batcher-766c846f88-2sd5w,5,42
2026-02-11 19:57:21,default,op-geth-58cfb95cd4-jd97r,11,475
2026-02-11 19:57:21,default,op-node-76bc866d6f-9crgw,36,143
2026-02-11 19:57:21,default,validator-74689874d8-qpxz5,76,30
2026-02-11 19:57:21,testing,contender-85bb797bc8-vlqs,1,1
2026-02-11 19:57:31,default,beacon-6686fb6d7-x4d5l,78,197
2026-02-11 19:57:31,default,el-6cc975f4f4-swrs8,13,38
2026-02-11 19:57:31,default,op-batcher-766c846f88-2sd5w,5,42
2026-02-11 19:57:31,default,op-geth-58cfb95cd4-jd97r,11,475
2026-02-11 19:57:31,default,op-node-76bc866d6f-9crgw,36,143
2026-02-11 19:57:31,default,validator-74689874d8-qpxz5,76,30
2026-02-11 19:57:31,testing,contender-85bb797bc8-vlqs,1,1
2026-02-11 19:57:41,default,beacon-6686fb6d7-x4d5l,95,196
2026-02-11 19:57:41,default,el-6cc975f4f4-swrs8,13,38
2026-02-11 19:57:41,default,op-batcher-766c846f88-2sd5w,4,43
2026-02-11 19:57:41,default,op-geth-58cfb95cd4-jd97r,14,476
2026-02-11 19:57:41,default,op-node-76bc866d6f-9crgw,43,143
2026-02-11 19:57:41,default,validator-74689874d8-qpxz5,75,30
2026-02-11 19:57:41,testing,contender-85bb797bc8-vlqs,24,24
2026-02-11 19:57:52,default,beacon-6686fb6d7-x4d5l,120,197
2026-02-11 19:57:52,default,el-6cc975f4f4-swrs8,15,39
2026-02-11 19:57:52,default,op-batcher-766c846f88-2sd5w,3,43
2026-02-11 19:57:52,default,op-geth-58cfb95cd4-jd97r,15,476
2026-02-11 19:57:52,default,op-node-76bc866d6f-9crgw,38,143
2026-02-11 19:57:52,default,validator-74689874d8-qpxz5,75,30
2026-02-11 19:57:52,testing,contender-85bb797bc8-vlqs,15,11
2026-02-11 19:58:02,default,beacon-6686fb6d7-x4d5l,120,197
2026-02-11 19:58:02,default,el-6cc975f4f4-swrs8,15,39
2026-02-11 19:58:02,default,op-batcher-766c846f88-2sd5w,3,43
2026-02-11 19:58:02,default,op-geth-58cfb95cd4-jd97r,15,476
2026-02-11 19:58:02,default,op-node-76bc866d6f-9crgw,38,143
2026-02-11 19:58:02,default,validator-74689874d8-qpxz5,75,30
2026-02-11 19:58:02,testing,contender-85bb797bc8-vlqs,15,11
2026-02-11 19:58:12,default,beacon-6686fb6d7-x4d5l,88,196
2026-02-11 19:58:12,default,el-6cc975f4f4-swrs8,12,39
2026-02-11 19:58:12,default,op-batcher-766c846f88-2sd5w,5,43
2026-02-11 19:58:12,default,op-geth-58cfb95cd4-jd97r,11,476
2026-02-11 19:58:12,default,op-node-76bc866d6f-9crgw,38,143
2026-02-11 19:58:12,default,validator-74689874d8-qpxz5,59,29
2026-02-11 19:58:12,testing,contender-85bb797bc8-vlqs,3,11
2026-02-11 19:58:22,default,beacon-6686fb6d7-x4d5l,90,197
2026-02-11 19:58:22,default,el-6cc975f4f4-swrs8,14,39
2026-02-11 19:58:22,default,op-batcher-766c846f88-2sd5w,5,43
2026-02-11 19:58:22,default,op-geth-58cfb95cd4-jd97r,12,476
2026-02-11 19:58:22,default,op-node-76bc866d6f-9crgw,38,143
2026-02-11 19:58:22,default,validator-74689874d8-qpxz5,83,30
2026-02-11 19:58:22,testing,contender-85bb797bc8-vlqs,3,11
2026-02-11 19:58:32,default,beacon-6686fb6d7-x4d5l,90,197
2026-02-11 19:58:32,default,el-6cc975f4f4-swrs8,14,39
2026-02-11 19:58:32,default,op-batcher-766c846f88-2sd5w,5,43
2026-02-11 19:58:32,default,op-geth-58cfb95cd4-jd97r,12,476
2026-02-11 19:58:32,default,op-node-76bc866d6f-9crgw,38,143
2026-02-11 19:58:32,default,validator-74689874d8-qpxz5,83,30
2026-02-11 19:58:32,testing,contender-85bb797bc8-vlqs,3,11
2026-02-11 19:58:42,default,beacon-6686fb6d7-x4d5l,87,196
2026-02-11 19:58:42,default,el-6cc975f4f4-swrs8,15,38
2026-02-11 19:58:42,default,op-batcher-766c846f88-2sd5w,3,43
2026-02-11 19:58:42,default,op-geth-58cfb95cd4-jd97r,12,477
2026-02-11 19:58:42,default,op-node-76bc866d6f-9crgw,31,143
2026-02-11 19:58:42,default,validator-74689874d8-qpxz5,58,27
2026-02-11 19:58:42,testing,contender-85bb797bc8-vlqs,2,11
2026-02-11 19:58:52,default,beacon-6686fb6d7-x4d5l,105,197
2026-02-11 19:58:52,default,el-6cc975f4f4-swrs8,15,39
2026-02-11 19:58:52,default,op-batcher-766c846f88-2sd5w,4,43
2026-02-11 19:58:52,default,op-geth-58cfb95cd4-jd97r,11,477
2026-02-11 19:58:52,default,op-node-76bc866d6f-9crgw,33,143
2026-02-11 19:58:52,default,validator-74689874d8-qpxz5,68,28
2026-02-11 19:58:52,testing,contender-85bb797bc8-vlqs,2,11
