Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-12 04:51:33,default,beacon-85cbbc7d7b-dr7z,64,210
2026-02-12 04:51:33,default,el-584bddccc7-ljpwp,9,54
2026-02-12 04:51:33,default,op-batcher-7ddcb69467-jprj9,3,23
2026-02-12 04:51:33,default,op-geth-75f4676cdc-n84lh,6,239
2026-02-12 04:51:33,default,op-node-fc4c5d564-dptkw,24,211
2026-02-12 04:51:33,default,op-rbuilder-784769bd78-bd7n,8,132
2026-02-12 04:51:33,default,rollup-boost-cb6c88c87-6qqtb,3,10
2026-02-12 04:51:33,default,validator-5c45f686bc-p6d5w,38,31
2026-02-12 04:51:33,testing,contender-85bb797bc8-x54s5,0,5
2026-02-12 04:51:43,default,beacon-85cbbc7d7b-dr7z,72,210
2026-02-12 04:51:43,default,el-584bddccc7-ljpwp,9,54
2026-02-12 04:51:43,default,op-batcher-7ddcb69467-jprj9,3,21
2026-02-12 04:51:43,default,op-geth-75f4676cdc-n84lh,8,238
2026-02-12 04:51:43,default,op-node-fc4c5d564-dptkw,28,211
2026-02-12 04:51:43,default,op-rbuilder-784769bd78-bd7n,8,132
2026-02-12 04:51:43,default,rollup-boost-cb6c88c87-6qqtb,3,10
2026-02-12 04:51:43,default,validator-5c45f686bc-p6d5w,38,31
2026-02-12 04:51:43,testing,contender-85bb797bc8-x54s5,0,5
2026-02-12 04:51:53,default,beacon-85cbbc7d7b-dr7z,64,211
2026-02-12 04:51:53,default,el-584bddccc7-ljpwp,11,55
2026-02-12 04:51:53,default,op-batcher-7ddcb69467-jprj9,3,22
2026-02-12 04:51:53,default,op-geth-75f4676cdc-n84lh,6,239
2026-02-12 04:51:53,default,op-node-fc4c5d564-dptkw,24,211
2026-02-12 04:51:53,default,op-rbuilder-784769bd78-bd7n,8,130
2026-02-12 04:51:53,default,rollup-boost-cb6c88c87-6qqtb,3,10
2026-02-12 04:51:53,default,validator-5c45f686bc-p6d5w,33,33
2026-02-12 04:51:53,testing,contender-85bb797bc8-x54s5,1,5
2026-02-12 04:52:03,default,beacon-85cbbc7d7b-dr7z,64,211
2026-02-12 04:52:03,default,el-584bddccc7-ljpwp,11,55
2026-02-12 04:52:03,default,op-batcher-7ddcb69467-jprj9,3,22
2026-02-12 04:52:03,default,op-geth-75f4676cdc-n84lh,6,239
2026-02-12 04:52:03,default,op-node-fc4c5d564-dptkw,24,211
2026-02-12 04:52:03,default,op-rbuilder-784769bd78-bd7n,8,130
2026-02-12 04:52:03,default,rollup-boost-cb6c88c87-6qqtb,3,10
2026-02-12 04:52:03,default,validator-5c45f686bc-p6d5w,33,33
