Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-12 04:09:32,default,beacon-85cbbc7d7b-dr7z,103,165
2026-02-12 04:09:32,default,el-584bddccc7-ljpwp,6,31
2026-02-12 04:09:32,default,op-batcher-7ddcb69467-jprj9,3,19
2026-02-12 04:09:32,default,op-geth-75f4676cdc-n84lh,18,75
2026-02-12 04:09:32,default,op-node-fc4c5d564-dptkw,39,55
2026-02-12 04:09:32,default,op-rbuilder-d7bd8784c-4vphh,48,53
2026-02-12 04:09:32,default,rollup-boost-cb6c88c87-6qqtb,13,5
2026-02-12 04:09:32,default,validator-5c45f686bc-p6d5w,42,28
2026-02-12 04:09:32,testing,contender-85bb797bc8-x54s5,1,1
2026-02-12 04:09:42,default,beacon-85cbbc7d7b-dr7z,66,165
2026-02-12 04:09:42,default,el-584bddccc7-ljpwp,8,36
2026-02-12 04:09:42,default,op-batcher-7ddcb69467-jprj9,3,20
2026-02-12 04:09:42,default,op-geth-75f4676cdc-n84lh,6,76
2026-02-12 04:09:42,default,op-node-fc4c5d564-dptkw,20,64
2026-02-12 04:09:42,default,op-rbuilder-d7bd8784c-4vphh,18,55
2026-02-12 04:09:42,default,rollup-boost-cb6c88c87-6qqtb,3,5
2026-02-12 04:09:42,default,validator-5c45f686bc-p6d5w,38,28
2026-02-12 04:09:42,testing,contender-85bb797bc8-x54s5,1,1
2026-02-12 04:09:53,default,beacon-85cbbc7d7b-dr7z,60,166
2026-02-12 04:09:53,default,el-584bddccc7-ljpwp,9,38
2026-02-12 04:09:53,default,op-batcher-7ddcb69467-jprj9,3,20
2026-02-12 04:09:53,default,op-geth-75f4676cdc-n84lh,7,76
2026-02-12 04:09:53,default,op-node-fc4c5d564-dptkw,21,72
2026-02-12 04:09:53,default,op-rbuilder-d7bd8784c-4vphh,28,63
2026-02-12 04:09:53,default,rollup-boost-cb6c88c87-6qqtb,3,5
2026-02-12 04:09:53,default,validator-5c45f686bc-p6d5w,40,28
2026-02-12 04:09:53,testing,contender-85bb797bc8-x54s5,18,25
2026-02-12 04:10:03,default,beacon-85cbbc7d7b-dr7z,60,166
2026-02-12 04:10:03,default,el-584bddccc7-ljpwp,9,38
2026-02-12 04:10:03,default,op-batcher-7ddcb69467-jprj9,3,20
2026-02-12 04:10:03,default,op-geth-75f4676cdc-n84lh,7,76
2026-02-12 04:10:03,default,op-node-fc4c5d564-dptkw,21,72
2026-02-12 04:10:03,default,op-rbuilder-d7bd8784c-4vphh,28,63
2026-02-12 04:10:03,default,rollup-boost-cb6c88c87-6qqtb,3,5
2026-02-12 04:10:03,default,validator-5c45f686bc-p6d5w,40,28
2026-02-12 04:10:03,testing,contender-85bb797bc8-x54s5,18,25
2026-02-12 04:10:13,default,beacon-85cbbc7d7b-dr7z,84,166
2026-02-12 04:10:13,default,el-584bddccc7-ljpwp,15,38
2026-02-12 04:10:13,default,op-batcher-7ddcb69467-jprj9,3,21
2026-02-12 04:10:13,default,op-geth-75f4676cdc-n84lh,8,77
2026-02-12 04:10:13,default,op-node-fc4c5d564-dptkw,23,76
2026-02-12 04:10:13,default,op-rbuilder-d7bd8784c-4vphh,28,66
2026-02-12 04:10:13,default,rollup-boost-cb6c88c87-6qqtb,3,5
2026-02-12 04:10:13,default,validator-5c45f686bc-p6d5w,42,28
2026-02-12 04:10:13,testing,contender-85bb797bc8-x54s5,17,27
2026-02-12 04:10:23,default,beacon-85cbbc7d7b-dr7z,76,166
2026-02-12 04:10:23,default,el-584bddccc7-ljpwp,15,38
2026-02-12 04:10:23,default,op-batcher-7ddcb69467-jprj9,3,21
2026-02-12 04:10:23,default,op-geth-75f4676cdc-n84lh,7,77
2026-02-12 04:10:23,default,op-node-fc4c5d564-dptkw,24,76
2026-02-12 04:10:23,default,op-rbuilder-d7bd8784c-4vphh,24,67
2026-02-12 04:10:23,default,rollup-boost-cb6c88c87-6qqtb,3,5
2026-02-12 04:10:23,default,validator-5c45f686bc-p6d5w,41,27
2026-02-12 04:10:23,testing,contender-85bb797bc8-x54s5,17,27
2026-02-12 04:10:33,default,beacon-85cbbc7d7b-dr7z,76,166
2026-02-12 04:10:33,default,el-584bddccc7-ljpwp,15,38
2026-02-12 04:10:33,default,op-batcher-7ddcb69467-jprj9,3,21
2026-02-12 04:10:33,default,op-geth-75f4676cdc-n84lh,7,77
2026-02-12 04:10:33,default,op-node-fc4c5d564-dptkw,24,76
2026-02-12 04:10:33,default,op-rbuilder-d7bd8784c-4vphh,24,67
2026-02-12 04:10:33,default,rollup-boost-cb6c88c87-6qqtb,3,5
2026-02-12 04:10:33,default,validator-5c45f686bc-p6d5w,41,27
2026-02-12 04:10:33,testing,contender-85bb797bc8-x54s5,17,27
2026-02-12 04:10:43,default,beacon-85cbbc7d7b-dr7z,70,166
2026-02-12 04:10:43,default,el-584bddccc7-ljpwp,8,36
2026-02-12 04:10:43,default,op-batcher-7ddcb69467-jprj9,3,22
2026-02-12 04:10:43,default,op-geth-75f4676cdc-n84lh,7,77
2026-02-12 04:10:43,default,op-node-fc4c5d564-dptkw,24,76
2026-02-12 04:10:43,default,op-rbuilder-d7bd8784c-4vphh,20,68
2026-02-12 04:10:43,default,rollup-boost-cb6c88c87-6qqtb,3,5
2026-02-12 04:10:43,default,validator-5c45f686bc-p6d5w,44,28
