Row_Index,Block_Number,Total_Gas_Used
0,104429,1049364
1,104430,1614408
2,104431,1587500
3,104432,1614408
4,104433,1587500
5,104434,1614408
6,104435,1587512
7,104436,1614408
8,104437,1587500
9,104438,1614408
10,104439,1587500
11,104440,1614408
12,104441,1587500
13,104442,1614408
14,104443,1587500
15,104444,1614408
16,104445,1587500
17,104446,1614408
18,104447,1587500
19,104448,1614408
20,104449,1587500
21,104450,1614408
22,104451,1560592
23,104452,1614408
24,104453,1587512
25,104454,1614408
26,104455,1587500
27,104456,1614408
28,104457,1587500
29,104458,1614408
30,104459,1587500
31,104460,1614408
32,104461,1587500
33,104462,1614408
34,104463,1587500
35,104464,1614408
36,104465,1587500
37,104466,1614408
38,104467,1587500
39,104468,1614408
40,104469,1587500
41,104470,1614408
42,104471,1587500
43,104472,1587512
44,104473,1614408
45,104474,1614408
46,104475,1587500
47,104476,1587500
48,104477,1614408
49,104478,1587500
50,104479,1614408
51,104480,1587500
52,104481,1614408
53,104482,1587500
54,104483,1614408
55,104484,1587500
56,104485,1614408
57,104486,1587500
58,104487,1614408
59,104488,1587500
60,104489,1614408
61,104490,1587500
62,104491,1614408
63,104492,1587512
64,104493,1614408
65,104494,1587500
66,104495,1614408
67,104496,1587500
68,104497,1614408
69,104498,1587500
70,104499,1614408
71,104500,1587500
72,104501,1587500
73,104502,1614408
74,104503,1587500
75,104504,1614408
76,104505,1614408
77,104506,1587500
78,104507,1587500
79,104508,1614408
80,104509,1587500
81,104510,1614408
82,104511,1587512
83,104512,1614408
84,104513,1587500
85,104514,1614408
86,104515,1614408
87,104516,1587500
88,104517,1614408
89,104518,1587500
90,104519,1614408
91,104520,1587500
92,104521,1614408
93,104522,1587500
94,104523,1614408
95,104524,1587500
96,104525,1587500
97,104526,1614408
98,104527,1587500
99,104528,1614408
100,104529,1587500
101,104530,1614408
102,104531,1587512
103,104532,1614408
104,104533,1587500
105,104534,1614408
106,104535,1587500
107,104536,1614408
108,104537,1587500
109,104538,1614408
110,104539,1587500
111,104540,1614408
112,104541,1587500
113,104542,1614408
114,104543,1587500
115,104544,1614408
116,104545,1587500
117,104546,1614408
118,104547,1587500
119,104548,1614408
120,104549,1587500
121,104550,1614408
122,104551,1587512
123,104552,1614408
124,104553,1587500
125,104554,1614408
126,104555,1587500
127,104556,1614408
128,104557,1587500
129,104558,1614408
130,104559,1587500
131,104560,1614408
132,104561,1587500
133,104562,1614408
134,104563,1587500
135,104564,1614408
136,104565,1614408
137,104566,1587500
138,104567,1614408
139,104568,1614408
140,104569,1587500
141,104570,1614408
142,104571,1587500
143,104572,1614408
144,104573,1587512
145,104574,1614408
146,104575,1587500
147,104576,1614408
148,104577,1587500
149,104578,1614408
150,104579,1587500
151,104580,995548
