time_index (s),timestamp,component,cpu,ram
0,2026-02-27 20:24:15,op-geth,0.0539,65.2
15,2026-02-27 20:24:30,op-geth,0.03,63.9
30,2026-02-27 20:24:45,op-geth,0.0503,58.7
45,2026-02-27 20:25:00,op-geth,0.0822,68.1
60,2026-02-27 20:25:15,op-geth,0.104,86.0
75,2026-02-27 20:25:30,op-geth,0.136,125.0
90,2026-02-27 20:25:45,op-geth,0.157,87.0
105,2026-02-27 20:26:00,op-geth,0.189,101.0
120,2026-02-27 20:26:15,op-geth,0.21,130.0
135,2026-02-27 20:26:30,op-geth,0.242,99.1
150,2026-02-27 20:26:45,op-geth,0.265,117.0
165,2026-02-27 20:27:00,op-geth,0.296,127.0
180,2026-02-27 20:27:15,op-geth,0.318,131.0
195,2026-02-27 20:27:30,op-geth,0.347,158.0
210,2026-02-27 20:27:45,op-geth,0.369,135.0
225,2026-02-27 20:28:00,op-geth,0.403,149.0
240,2026-02-27 20:28:15,op-geth,0.426,132.0
255,2026-02-27 20:28:30,op-geth,0.458,143.0
270,2026-02-27 20:28:45,op-geth,0.481,121.0
285,2026-02-27 20:29:00,op-geth,0.512,182.0
300,2026-02-27 20:29:15,op-geth,0.535,165.0
315,2026-02-27 20:29:30,op-geth,0.538,161.0
330,2026-02-27 20:29:45,op-geth,0.544,175.0
345,2026-02-27 20:30:00,op-geth,0.538,146.0
360,2026-02-27 20:30:15,op-geth,0.543,174.0
375,2026-02-27 20:30:30,op-geth,0.537,205.0
390,2026-02-27 20:30:45,op-geth,0.544,203.0
405,2026-02-27 20:31:00,op-geth,0.538,203.0
420,2026-02-27 20:31:15,op-geth,0.543,207.0
435,2026-02-27 20:31:30,op-geth,0.537,207.0
450,2026-02-27 20:31:45,op-geth,0.544,196.0
465,2026-02-27 20:32:00,op-geth,0.539,166.0
480,2026-02-27 20:32:15,op-geth,0.547,235.0
495,2026-02-27 20:32:30,op-geth,0.542,233.0
510,2026-02-27 20:32:45,op-geth,0.548,203.0
525,2026-02-27 20:33:00,op-geth,0.54,163.0
540,2026-02-27 20:33:15,op-geth,0.547,164.0
555,2026-02-27 20:33:30,op-geth,0.54,234.0
570,2026-02-27 20:33:45,op-geth,0.546,184.0
585,2026-02-27 20:34:00,op-geth,0.539,241.0
600,2026-02-27 20:34:15,op-geth,0.545,214.0
615,2026-02-27 20:34:30,op-geth,0.54,266.0
630,2026-02-27 20:34:45,op-geth,0.546,220.0
645,2026-02-27 20:35:00,op-geth,0.54,176.0
