Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-node-58b7579566-2kvqz,2026-02-11 16:22:16,31,180
1,op-node-58b7579566-2kvqz,2026-02-11 16:22:26,31,180
2,op-node-58b7579566-2kvqz,2026-02-11 16:22:36,27,180
3,op-node-58b7579566-2kvqz,2026-02-11 16:22:47,27,180
4,op-node-58b7579566-2kvqz,2026-02-11 16:22:57,25,180
5,op-node-58b7579566-2kvqz,2026-02-11 16:23:07,24,180
6,op-node-58b7579566-2kvqz,2026-02-11 16:23:17,24,180
7,op-node-58b7579566-2kvqz,2026-02-11 16:23:27,24,181
8,op-node-58b7579566-2kvqz,2026-02-11 16:23:37,27,181
9,op-node-58b7579566-2kvqz,2026-02-11 16:23:47,27,181
10,op-node-58b7579566-2kvqz,2026-02-11 16:23:57,22,181
11,op-node-58b7579566-2kvqz,2026-02-11 16:24:08,25,181
12,op-node-58b7579566-2kvqz,2026-02-11 16:24:18,25,181
13,op-node-58b7579566-2kvqz,2026-02-11 16:24:28,27,181
14,op-node-58b7579566-2kvqz,2026-02-11 16:24:38,23,181
15,op-node-58b7579566-2kvqz,2026-02-11 16:24:48,23,181
16,op-node-58b7579566-2kvqz,2026-02-11 16:24:58,22,184
17,op-node-58b7579566-2kvqz,2026-02-11 16:25:08,24,184
18,op-node-58b7579566-2kvqz,2026-02-11 16:25:18,24,184
19,op-node-58b7579566-2kvqz,2026-02-11 16:25:28,26,185
20,op-node-58b7579566-2kvqz,2026-02-11 16:25:39,28,184
21,op-node-58b7579566-2kvqz,2026-02-11 16:25:49,28,184
22,op-node-58b7579566-2kvqz,2026-02-11 16:25:59,28,184
23,op-node-58b7579566-2kvqz,2026-02-11 16:26:09,21,184
24,op-node-58b7579566-2kvqz,2026-02-11 16:26:19,21,184
25,op-node-58b7579566-2kvqz,2026-02-11 16:26:29,24,184
26,op-node-58b7579566-2kvqz,2026-02-11 16:26:39,24,185
27,op-node-58b7579566-2kvqz,2026-02-11 16:26:49,24,185
28,op-node-58b7579566-2kvqz,2026-02-11 16:26:59,20,184
29,op-node-58b7579566-2kvqz,2026-02-11 16:27:10,23,184
30,op-node-58b7579566-2kvqz,2026-02-11 16:27:20,23,184
31,op-node-58b7579566-2kvqz,2026-02-11 16:27:30,33,189
32,op-node-58b7579566-2kvqz,2026-02-11 16:27:40,35,198
33,op-node-58b7579566-2kvqz,2026-02-11 16:27:50,35,198
34,op-node-58b7579566-2kvqz,2026-02-11 16:28:00,35,198
35,op-node-58b7579566-2kvqz,2026-02-11 16:28:10,42,209
36,op-node-58b7579566-2kvqz,2026-02-11 16:28:20,38,207
37,op-node-58b7579566-2kvqz,2026-02-11 16:28:31,38,207
38,op-node-58b7579566-2kvqz,2026-02-11 16:28:41,42,207
39,op-node-58b7579566-2kvqz,2026-02-11 16:28:51,43,207
40,op-node-58b7579566-2kvqz,2026-02-11 16:29:01,43,207
41,op-node-58b7579566-2kvqz,2026-02-11 16:29:11,38,207
42,op-node-58b7579566-2kvqz,2026-02-11 16:29:21,38,209
43,op-node-58b7579566-2kvqz,2026-02-11 16:29:31,38,209
44,op-node-58b7579566-2kvqz,2026-02-11 16:29:41,45,210
45,op-node-58b7579566-2kvqz,2026-02-11 16:29:52,50,210
46,op-node-58b7579566-2kvqz,2026-02-11 16:30:02,50,210
47,op-node-58b7579566-2kvqz,2026-02-11 16:30:12,37,212
48,op-node-58b7579566-2kvqz,2026-02-11 16:30:22,39,212
49,op-node-58b7579566-2kvqz,2026-02-11 16:30:32,39,212
50,op-node-58b7579566-2kvqz,2026-02-11 16:30:42,42,218
51,op-node-58b7579566-2kvqz,2026-02-11 16:30:52,42,221
52,op-node-58b7579566-2kvqz,2026-02-11 16:31:02,42,221
53,op-node-58b7579566-2kvqz,2026-02-11 16:31:13,46,221
54,op-node-58b7579566-2kvqz,2026-02-11 16:31:23,46,221
55,op-node-58b7579566-2kvqz,2026-02-11 16:31:33,46,221
56,op-node-58b7579566-2kvqz,2026-02-11 16:31:43,35,221
57,op-node-58b7579566-2kvqz,2026-02-11 16:31:53,45,223
58,op-node-58b7579566-2kvqz,2026-02-11 16:32:03,45,223
59,op-node-58b7579566-2kvqz,2026-02-11 16:32:13,42,231
60,op-node-58b7579566-2kvqz,2026-02-11 16:32:23,42,231
61,op-node-58b7579566-2kvqz,2026-02-11 16:32:34,42,231
62,op-node-58b7579566-2kvqz,2026-02-11 16:32:44,37,231
63,op-node-58b7579566-2kvqz,2026-02-11 16:32:54,27,231
64,op-node-58b7579566-2kvqz,2026-02-11 16:33:04,27,231
65,op-node-58b7579566-2kvqz,2026-02-11 16:33:14,25,231
66,op-node-58b7579566-2kvqz,2026-02-11 16:33:24,30,231
67,op-node-58b7579566-2kvqz,2026-02-11 16:33:34,30,231
68,op-node-58b7579566-2kvqz,2026-02-11 16:33:45,32,231
69,op-node-58b7579566-2kvqz,2026-02-11 16:33:55,30,231
70,op-node-58b7579566-2kvqz,2026-02-11 16:34:05,30,231
71,op-node-58b7579566-2kvqz,2026-02-11 16:34:15,30,231
72,op-node-58b7579566-2kvqz,2026-02-11 16:34:25,32,232
73,op-node-58b7579566-2kvqz,2026-02-11 16:34:35,27,232
74,op-node-58b7579566-2kvqz,2026-02-11 16:34:45,27,232
75,op-node-58b7579566-2kvqz,2026-02-11 16:34:56,30,232
76,op-node-58b7579566-2kvqz,2026-02-11 16:35:06,31,232
77,op-node-58b7579566-2kvqz,2026-02-11 16:35:16,31,232
78,op-node-58b7579566-2kvqz,2026-02-11 16:35:26,24,232
79,op-node-58b7579566-2kvqz,2026-02-11 16:35:36,32,232
80,op-node-58b7579566-2kvqz,2026-02-11 16:35:46,32,232
81,op-node-58b7579566-2kvqz,2026-02-11 16:35:57,36,230
82,op-node-58b7579566-2kvqz,2026-02-11 16:36:07,29,230
83,op-node-58b7579566-2kvqz,2026-02-11 16:36:17,29,230
84,op-node-58b7579566-2kvqz,2026-02-11 16:36:27,25,230
85,op-node-58b7579566-2kvqz,2026-02-11 16:36:37,31,230
86,op-node-58b7579566-2kvqz,2026-02-11 16:36:47,31,230
87,op-node-58b7579566-2kvqz,2026-02-11 16:36:57,34,230
88,op-node-58b7579566-2kvqz,2026-02-11 16:37:08,30,230
89,op-node-58b7579566-2kvqz,2026-02-11 16:37:18,30,230
90,op-node-58b7579566-2kvqz,2026-02-11 16:37:28,41,208
91,op-node-58b7579566-2kvqz,2026-02-11 16:37:38,27,218
92,op-node-58b7579566-2kvqz,2026-02-11 16:37:48,27,218
93,op-node-58b7579566-2kvqz,2026-02-11 16:37:58,29,218
94,op-node-58b7579566-2kvqz,2026-02-11 16:38:08,50,215
95,op-node-58b7579566-2kvqz,2026-02-11 16:38:19,50,215
96,op-node-58b7579566-2kvqz,2026-02-11 16:38:29,25,215
97,op-node-58b7579566-2kvqz,2026-02-11 16:38:39,31,216
98,op-node-58b7579566-2kvqz,2026-02-11 16:38:49,31,216
