Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:26:59,2,97
1,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:10,12,98
2,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:20,12,98
3,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:30,17,98
4,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:40,21,103
5,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:27:50,23,111
6,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:28:00,23,111
7,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:28:10,18,112
8,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:28:20,25,118
9,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:28:31,25,118
10,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:28:41,19,118
11,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:28:51,22,125
12,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:29:01,22,125
13,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:29:11,19,125
14,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:29:21,21,132
15,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:29:31,21,132
16,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:29:41,26,143
17,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:29:52,18,143
18,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:30:02,18,143
19,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:30:12,18,152
20,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:30:22,24,165
21,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:30:32,24,165
22,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:30:42,19,165
23,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:30:52,24,180
24,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:31:02,24,180
25,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:31:13,17,180
26,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:31:23,18,181
27,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:31:33,18,181
28,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:31:43,27,192
29,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:31:53,20,192
30,op-batcher-7ddcb69467-cvxjs,2026-02-11 16:32:03,20,192
