Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-node-58b7579566-2kvqz,2026-02-11 16:26:59,20,184
1,op-node-58b7579566-2kvqz,2026-02-11 16:27:10,23,184
2,op-node-58b7579566-2kvqz,2026-02-11 16:27:20,23,184
3,op-node-58b7579566-2kvqz,2026-02-11 16:27:30,33,189
4,op-node-58b7579566-2kvqz,2026-02-11 16:27:40,35,198
5,op-node-58b7579566-2kvqz,2026-02-11 16:27:50,35,198
6,op-node-58b7579566-2kvqz,2026-02-11 16:28:00,35,198
7,op-node-58b7579566-2kvqz,2026-02-11 16:28:10,42,209
8,op-node-58b7579566-2kvqz,2026-02-11 16:28:20,38,207
9,op-node-58b7579566-2kvqz,2026-02-11 16:28:31,38,207
10,op-node-58b7579566-2kvqz,2026-02-11 16:28:41,42,207
11,op-node-58b7579566-2kvqz,2026-02-11 16:28:51,43,207
12,op-node-58b7579566-2kvqz,2026-02-11 16:29:01,43,207
13,op-node-58b7579566-2kvqz,2026-02-11 16:29:11,38,207
14,op-node-58b7579566-2kvqz,2026-02-11 16:29:21,38,209
15,op-node-58b7579566-2kvqz,2026-02-11 16:29:31,38,209
16,op-node-58b7579566-2kvqz,2026-02-11 16:29:41,45,210
17,op-node-58b7579566-2kvqz,2026-02-11 16:29:52,50,210
18,op-node-58b7579566-2kvqz,2026-02-11 16:30:02,50,210
19,op-node-58b7579566-2kvqz,2026-02-11 16:30:12,37,212
20,op-node-58b7579566-2kvqz,2026-02-11 16:30:22,39,212
21,op-node-58b7579566-2kvqz,2026-02-11 16:30:32,39,212
22,op-node-58b7579566-2kvqz,2026-02-11 16:30:42,42,218
23,op-node-58b7579566-2kvqz,2026-02-11 16:30:52,42,221
24,op-node-58b7579566-2kvqz,2026-02-11 16:31:02,42,221
25,op-node-58b7579566-2kvqz,2026-02-11 16:31:13,46,221
26,op-node-58b7579566-2kvqz,2026-02-11 16:31:23,46,221
27,op-node-58b7579566-2kvqz,2026-02-11 16:31:33,46,221
28,op-node-58b7579566-2kvqz,2026-02-11 16:31:43,35,221
29,op-node-58b7579566-2kvqz,2026-02-11 16:31:53,45,223
30,op-node-58b7579566-2kvqz,2026-02-11 16:32:03,45,223
