Row_Index,timestamp,num_pending_transactions,smoothed_pending_transactions
0,1770827212,153,281.0
1,1770827213,409,536.5
2,1770827214,664,715.5
3,1770827215,767,895.0
4,1770827216,1023,892.5
5,1770827217,762,889.5
6,1770827218,1017,876.0
7,1770827219,735,862.5
8,1770827220,990,865.5
9,1770827221,741,867.5
10,1770827222,994,869.5
11,1770827223,745,873.0
12,1770827224,1001,875.5
13,1770827225,750,878.0
14,1770827226,1006,876.5
15,1770827227,747,875.0
16,1770827228,1003,874.0
17,1770827229,745,872.0
18,1770827230,999,865.5
19,1770827231,732,860.0
20,1770827232,988,866.5
21,1770827233,745,873.0
22,1770827234,1001,868.5
23,1770827235,736,864.5
24,1770827236,993,868.5
25,1770827237,744,872.0
26,1770827238,1000,869.5
27,1770827239,739,867.0
28,1770827240,995,870.5
29,1770827241,746,876.0
30,1770827242,1006,873.5
31,1770827243,741,868.5
32,1770827244,996,870.5
33,1770827245,745,874.0
34,1770827246,1003,871.5
35,1770827247,740,867.5
36,1770827248,995,869.5
37,1770827249,744,872.0
38,1770827250,1000,867.0
39,1770827251,734,862.0
40,1770827252,990,867.0
41,1770827253,744,873.0
42,1770827254,1002,872.0
43,1770827255,742,870.0
44,1770827256,998,868.5
45,1770827257,739,866.0
46,1770827258,993,864.5
47,1770827259,736,863.5
48,1770827260,991,868.5
49,1770827261,746,876.0
50,1770827262,1006,875.5
51,1770827263,745,873.5
52,1770827264,1002,875.5
53,1770827265,749,877.0
54,1770827266,1005,869.0
55,1770827267,733,860.0
56,1770827268,987,861.0
57,1770827269,735,862.5
58,1770827270,990,863.5
59,1770827271,737,865.0
60,1770827272,993,869.5
61,1770827273,746,874.0
62,1770827274,1002,869.5
63,1770827275,737,864.0
64,1770827276,991,867.0
65,1770827277,743,871.0
66,1770827278,999,869.0
67,1770827279,739,867.5
68,1770827280,996,870.0
69,1770827281,744,871.5
70,1770827282,999,873.5
71,1770827283,748,876.5
72,1770827284,1005,876.0
73,1770827285,747,874.5
74,1770827286,1002,872.0
75,1770827287,742,870.5
76,1770827288,999,872.0
77,1770827289,745,872.0
78,1770827290,999,870.0
79,1770827291,741,869.0
80,1770827292,997,868.0
81,1770827293,739,867.0
82,1770827294,995,869.0
83,1770827295,743,870.5
84,1770827296,998,869.5
85,1770827297,741,870.0
86,1770827298,999,870.5
87,1770827299,742,872.5
88,1770827300,1003,873.0
89,1770827301,743,871.0
90,1770827302,999,871.0
91,1770827303,743,870.5
92,1770827304,998,869.0
93,1770827305,740,867.5
94,1770827306,995,866.5
95,1770827307,738,865.5
96,1770827308,993,868.5
97,1770827309,744,871.5
98,1770827310,999,868.5
99,1770827311,738,866.5
100,1770827312,995,870.5
101,1770827313,746,874.5
102,1770827314,1003,870.5
103,1770827315,738,865.5
104,1770827316,993,865.0
105,1770827317,737,865.0
106,1770827318,993,872.5
107,1770827319,752,880.0
108,1770827320,1008,879.5
109,1770827321,751,879.0
110,1770827322,1007,876.0
111,1770827323,745,872.5
112,1770827324,1000,869.5
113,1770827325,739,866.5
114,1770827326,994,865.5
115,1770827327,737,865.5
116,1770827328,994,865.5
117,1770827329,737,864.5
118,1770827330,992,865.5
119,1770827331,739,867.0
120,1770827332,995,869.5
121,1770827333,744,872.0
122,1770827334,1000,869.0
123,1770827335,738,865.5
124,1770827336,993,869.5
125,1770827337,746,877.0
126,1770827338,1008,877.0
127,1770827339,746,874.0
128,1770827340,1002,872.0
129,1770827341,742,870.0
130,1770827342,998,869.5
131,1770827343,741,868.5
132,1770827344,996,870.5
133,1770827345,745,873.5
134,1770827346,1002,872.0
135,1770827347,742,869.5
136,1770827348,997,870.5
137,1770827349,744,872.0
138,1770827350,1000,868.5
139,1770827351,737,865.0
140,1770827352,993,867.0
141,1770827353,741,869.5
142,1770827354,998,869.5
143,1770827355,741,868.0
144,1770827356,995,870.5
145,1770827357,746,875.0
146,1770827358,1004,874.0
147,1770827359,744,872.0
148,1770827360,1000,874.0
149,1770827361,748,876.5
150,1770827362,1005,873.5
151,1770827363,742,870.5
152,1770827364,999,870.0
153,1770827365,741,869.0
154,1770827366,997,867.5
155,1770827367,738,865.5
156,1770827368,993,868.5
157,1770827369,744,872.0
158,1770827370,1000,871.0
159,1770827371,742,869.5
160,1770827372,997,870.5
161,1770827373,744,872.5
162,1770827374,1001,867.5
163,1770827375,734,862.0
164,1770827376,990,868.5
165,1770827377,747,875.0
166,1770827378,1003,875.5
167,1770827379,748,875.5
168,1770827380,1003,876.0
169,1770827381,749,876.5
170,1770827382,1004,873.5
171,1770827383,743,871.0
172,1770827384,999,872.0
173,1770827385,745,873.0
174,1770827386,1001,869.0
175,1770827387,737,865.0
176,1770827388,993,866.5
177,1770827389,740,868.0
178,1770827390,996,869.0
179,1770827391,742,869.0
180,1770827392,996,869.5
181,1770827393,743,870.5
182,1770827394,998,870.0
183,1770827395,742,872.0
184,1770827396,1002,874.5
185,1770827397,747,874.5
186,1770827398,1002,868.5
187,1770827399,735,863.0
188,1770827400,991,864.0
189,1770827401,737,864.0
190,1770827402,991,864.5
191,1770827403,738,866.0
192,1770827404,994,866.5
193,1770827405,739,866.5
194,1770827406,994,867.0
195,1770827407,740,868.0
196,1770827408,996,869.5
197,1770827409,743,871.0
198,1770827410,999,870.0
199,1770827411,741,868.5
200,1770827412,996,868.0
201,1770827413,740,867.5
202,1770827414,995,868.0
203,1770827415,741,868.5
204,1770827416,996,871.0
205,1770827417,746,874.0
206,1770827418,1002,873.0
207,1770827419,744,872.0
208,1770827420,1000,871.5
209,1770827421,743,871.0
210,1770827422,999,870.5
211,1770827423,742,870.0
212,1770827424,998,869.5
213,1770827425,741,869.0
214,1770827426,997,870.0
215,1770827427,743,869.5
216,1770827428,996,868.5
217,1770827429,741,869.0
218,1770827430,997,869.0
219,1770827431,741,868.5
220,1770827432,996,868.0
221,1770827433,740,870.5
222,1770827434,1001,869.5
223,1770827435,738,866.0
224,1770827436,994,870.0
225,1770827437,746,873.5
226,1770827438,1001,873.0
227,1770827439,745,873.0
228,1770827440,1001,873.5
229,1770827441,746,874.0
230,1770827442,1002,871.5
231,1770827443,741,869.0
232,1770827444,997,869.0
233,1770827445,741,869.0
234,1770827446,997,867.5
235,1770827447,738,866.5
236,1770827448,995,867.5
237,1770827449,740,868.0
238,1770827450,996,865.0
239,1770827451,734,862.0
240,1770827452,990,870.0
241,1770827453,750,878.5
242,1770827454,1007,877.0
243,1770827455,747,875.5
244,1770827456,1004,877.0
245,1770827457,750,878.5
246,1770827458,1007,873.0
247,1770827459,739,866.5
248,1770827460,994,866.0
249,1770827461,738,865.5
250,1770827462,993,866.5
251,1770827463,740,868.0
252,1770827464,996,865.5
253,1770827465,735,862.5
254,1770827466,990,865.0
255,1770827467,740,867.5
256,1770827468,995,867.5
257,1770827469,740,867.5
258,1770827470,995,868.5
259,1770827471,742,871.5
260,1770827472,1001,872.5
261,1770827473,744,871.5
262,1770827474,999,872.0
263,1770827475,745,873.5
264,1770827476,1002,874.0
265,1770827477,746,874.0
266,1770827478,1002,871.0
267,1770827479,740,867.5
268,1770827480,995,869.5
269,1770827481,744,872.0
270,1770827482,1000,869.5
271,1770827483,739,867.0
272,1770827484,995,868.0
273,1770827485,741,868.5
274,1770827486,996,867.0
275,1770827487,738,866.5
276,1770827488,995,870.0
277,1770827489,745,873.0
278,1770827490,1001,872.0
279,1770827491,743,873.0
280,1770827492,1003,874.5
281,1770827493,746,874.0
282,1770827494,1002,874.5
283,1770827495,747,875.0
284,1770827496,1003,870.0
285,1770827497,737,865.0
286,1770827498,993,866.0
287,1770827499,739,867.0
288,1770827500,995,870.5
289,1770827501,746,874.5
290,1770827502,1003,873.5
291,1770827503,744,872.5
292,1770827504,1001,873.5
293,1770827505,746,873.5
294,1770827506,1001,868.0
295,1770827507,735,863.5
296,1770827508,992,865.5
297,1770827509,739,867.5
298,1770827510,996,873.5
299,1770827511,751,880.0
300,1770827512,1009,879.0
301,1770827513,749,877.5
302,1770827514,1006,876.5
303,1770827515,747,874.5
304,1770827516,1002,872.0
305,1770827517,742,871.0
306,1770827518,1000,872.0
307,1770827519,744,872.5
308,1770827520,1001,871.0
309,1770827521,741,869.0
310,1770827522,997,868.5
311,1770827523,740,868.0
312,1770827524,996,869.5
313,1770827525,743,871.0
314,1770827526,999,870.0
315,1770827527,741,853.0
316,1770827528,965,712.0
317,1770827529,459,459.0
318,1770827530,459,229.5
319,1770827531,0,0.0
