index_s,timestamp,component,cpu,ram
0,2026-02-27 20:09:00,op-geth,0.0358,48.1
15,2026-02-27 20:09:15,op-geth,0.0358,56.5
30,2026-02-27 20:09:30,op-geth,0.03,44.3
45,2026-02-27 20:09:45,op-geth,0.0336,45.9
60,2026-02-27 20:10:00,op-geth,0.0372,52.0
75,2026-02-27 20:10:15,op-geth,0.0407,55.2
90,2026-02-27 20:10:30,op-geth,0.0483,57.9
105,2026-02-27 20:10:45,op-geth,0.0517,58.2
120,2026-02-27 20:11:00,op-geth,0.0594,62.3
135,2026-02-27 20:11:15,op-geth,0.0631,62.5
150,2026-02-27 20:11:30,op-geth,0.071,62.9
165,2026-02-27 20:11:45,op-geth,0.0746,61.5
180,2026-02-27 20:12:00,op-geth,0.0824,62.8
195,2026-02-27 20:12:15,op-geth,0.086,61.1
210,2026-02-27 20:12:30,op-geth,0.0931,60.9
225,2026-02-27 20:12:45,op-geth,0.0962,56.4
240,2026-02-27 20:13:00,op-geth,0.103,56.1
255,2026-02-27 20:13:15,op-geth,0.107,54.9
270,2026-02-27 20:13:30,op-geth,0.115,53.8
285,2026-02-27 20:13:45,op-geth,0.118,77.4
300,2026-02-27 20:14:00,op-geth,0.125,72.9
315,2026-02-27 20:14:15,op-geth,0.126,67.8
330,2026-02-27 20:14:30,op-geth,0.126,64.4
345,2026-02-27 20:14:45,op-geth,0.126,62.0
360,2026-02-27 20:15:00,op-geth,0.126,58.1
375,2026-02-27 20:15:15,op-geth,0.126,54.2
390,2026-02-27 20:15:30,op-geth,0.126,76.1
405,2026-02-27 20:15:45,op-geth,0.126,71.2
420,2026-02-27 20:16:00,op-geth,0.126,62.5
435,2026-02-27 20:16:15,op-geth,0.126,57.4
450,2026-02-27 20:16:30,op-geth,0.125,77.2
465,2026-02-27 20:16:45,op-geth,0.126,71.9
480,2026-02-27 20:17:00,op-geth,0.125,64.3
495,2026-02-27 20:17:15,op-geth,0.126,57.4
510,2026-02-27 20:17:30,op-geth,0.126,76.0
525,2026-02-27 20:17:45,op-geth,0.126,68.8
540,2026-02-27 20:18:00,op-geth,0.126,86.4
555,2026-02-27 20:18:15,op-geth,0.126,78.0
570,2026-02-27 20:18:30,op-geth,0.126,65.3
585,2026-02-27 20:18:45,op-geth,0.126,89.1
600,2026-02-27 20:19:00,op-geth,0.125,75.7
615,2026-02-27 20:19:15,op-geth,0.126,66.6
