Index,Timestamp,CPU(m),RAM(Mi)
0,2026-02-11 16:13:50,83,418
1,2026-02-11 16:14:00,83,418
2,2026-02-11 16:14:10,83,418
3,2026-02-11 16:14:21,12,419
4,2026-02-11 16:14:31,12,419
5,2026-02-11 16:14:41,9,419
6,2026-02-11 16:14:51,9,419
7,2026-02-11 16:15:01,9,419
8,2026-02-11 16:15:11,7,419
9,2026-02-11 16:15:21,8,420
10,2026-02-11 16:15:31,8,420
11,2026-02-11 16:15:42,7,420
12,2026-02-11 16:15:52,9,422
13,2026-02-11 16:16:02,9,422
14,2026-02-11 16:16:12,7,422
15,2026-02-11 16:16:22,7,422
16,2026-02-11 16:16:32,7,422
17,2026-02-11 16:16:42,7,422
18,2026-02-11 16:16:52,7,423
19,2026-02-11 16:17:02,7,423
20,2026-02-11 16:17:13,43,423
21,2026-02-11 16:17:23,115,425
22,2026-02-11 16:17:33,115,425
23,2026-02-11 16:17:43,117,426
24,2026-02-11 16:17:53,111,432
25,2026-02-11 16:18:03,111,432
26,2026-02-11 16:18:13,119,438
27,2026-02-11 16:18:23,144,469
28,2026-02-11 16:18:34,144,469
29,2026-02-11 16:18:44,118,471
30,2026-02-11 16:18:54,115,472
31,2026-02-11 16:19:04,115,472
32,2026-02-11 16:19:14,115,472
33,2026-02-11 16:19:24,119,475
34,2026-02-11 16:19:34,119,475
35,2026-02-11 16:19:44,119,475
36,2026-02-11 16:19:55,123,479
37,2026-02-11 16:20:05,123,479
38,2026-02-11 16:20:15,118,481
39,2026-02-11 16:20:25,121,488
40,2026-02-11 16:20:35,121,488
41,2026-02-11 16:20:45,119,489
42,2026-02-11 16:20:55,129,491
43,2026-02-11 16:21:05,114,492
44,2026-02-11 16:21:16,114,492
45,2026-02-11 16:21:26,125,492
46,2026-02-11 16:21:36,116,495
47,2026-02-11 16:21:46,116,495
48,2026-02-11 16:21:56,119,502
49,2026-02-11 16:22:06,122,503
