index_s,timestamp,component,cpu,ram
0,2026-02-27 21:18:30,op-geth,0.0636,66.2
15,2026-02-27 21:18:45,op-geth,0.0574,71.1
30,2026-02-27 21:19:00,op-geth,0.0547,82.2
45,2026-02-27 21:19:15,op-geth,0.0737,72.5
60,2026-02-27 21:19:30,op-geth,0.117,115.0
75,2026-02-27 21:19:45,op-geth,0.137,88.7
90,2026-02-27 21:20:00,op-geth,0.179,122.0
105,2026-02-27 21:20:15,op-geth,0.198,106.0
120,2026-02-27 21:20:30,op-geth,0.242,94.5
135,2026-02-27 21:20:45,op-geth,0.261,131.0
150,2026-02-27 21:21:00,op-geth,0.304,101.0
165,2026-02-27 21:21:15,op-geth,0.323,117.0
180,2026-02-27 21:21:30,op-geth,0.367,105.0
195,2026-02-27 21:21:45,op-geth,0.387,121.0
210,2026-02-27 21:22:00,op-geth,0.429,158.0
225,2026-02-27 21:22:15,op-geth,0.449,117.0
240,2026-02-27 21:22:30,op-geth,0.492,116.0
255,2026-02-27 21:22:45,op-geth,0.512,116.0
270,2026-02-27 21:23:00,op-geth,0.555,138.0
285,2026-02-27 21:23:15,op-geth,0.575,133.0
300,2026-02-27 21:23:30,op-geth,0.618,136.0
315,2026-02-27 21:23:45,op-geth,0.634,192.0
330,2026-02-27 21:24:00,op-geth,0.633,167.0
345,2026-02-27 21:24:15,op-geth,0.634,160.0
360,2026-02-27 21:24:30,op-geth,0.633,198.0
375,2026-02-27 21:24:45,op-geth,0.634,172.0
390,2026-02-27 21:25:00,op-geth,0.634,195.0
405,2026-02-27 21:25:15,op-geth,0.635,165.0
420,2026-02-27 21:25:30,op-geth,0.635,170.0
435,2026-02-27 21:25:45,op-geth,0.637,216.0
450,2026-02-27 21:26:00,op-geth,0.636,209.0
465,2026-02-27 21:26:15,op-geth,0.637,168.0
480,2026-02-27 21:26:30,op-geth,0.636,155.0
495,2026-02-27 21:26:45,op-geth,0.637,204.0
510,2026-02-27 21:27:00,op-geth,0.635,204.0
525,2026-02-27 21:27:15,op-geth,0.636,235.0
540,2026-02-27 21:27:30,op-geth,0.636,214.0
555,2026-02-27 21:27:45,op-geth,0.636,240.0
570,2026-02-27 21:28:00,op-geth,0.634,219.0
585,2026-02-27 21:28:15,op-geth,0.636,170.0
600,2026-02-27 21:28:30,op-geth,0.635,234.0
615,2026-02-27 21:28:45,op-geth,0.636,261.0
630,2026-02-27 21:29:00,op-geth,0.634,244.0
645,2026-02-27 21:29:15,op-geth,0.635,184.0
660,2026-02-27 21:29:30,op-geth,0.633,237.0
