Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:05,2,95
1,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:15,5,95
2,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:25,22,98
3,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:35,18,98
4,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:46,18,98
5,op-batcher-766c846f88-2sd5w,2026-02-11 20:17:56,25,107
6,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:06,25,107
7,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:16,25,107
8,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:26,21,117
9,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:36,23,125
10,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:46,23,125
11,op-batcher-766c846f88-2sd5w,2026-02-11 20:18:56,22,126
12,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:07,26,134
13,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:17,26,134
14,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:27,18,134
15,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:37,26,146
16,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:47,26,146
17,op-batcher-766c846f88-2sd5w,2026-02-11 20:19:57,20,146
18,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:07,29,160
19,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:17,29,160
20,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:27,29,160
21,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:38,19,160
22,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:48,19,160
23,op-batcher-766c846f88-2sd5w,2026-02-11 20:20:58,26,178
24,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:08,21,178
25,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:18,21,178
26,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:28,26,195
27,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:38,20,195
28,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:48,20,195
29,op-batcher-766c846f88-2sd5w,2026-02-11 20:21:59,19,195
30,op-batcher-766c846f88-2sd5w,2026-02-11 20:22:09,20,196
