Row_Index,Block_Number,Total_Gas_Used
0,23514,2610076
1,23515,13856972
2,23516,14395132
3,23517,13668616
4,23518,13749340
5,23519,13803228
6,23520,13776332
7,23521,13641840
8,23522,13749376
9,23523,13749340
10,23524,13803156
11,23525,13803156
12,23526,13722432
13,23527,13641708
14,23528,13883916
15,23529,13776332
16,23530,13749448
17,23531,13695620
18,23532,13803156
19,23533,13803156
20,23534,13776248
21,23535,13560984
22,23536,13856972
23,23537,13776248
24,23538,13937768
25,23539,13749448
26,23540,13776332
27,23541,13480320
28,23542,13749340
29,23543,13722432
30,23544,13776248
31,23545,13910788
32,23546,13534076
33,23547,13803228
34,23548,13803240
35,23549,13749448
36,23550,13883940
37,23551,13641708
38,23552,13776248
39,23553,13641708
40,23554,13803156
41,23555,13560984
42,23556,13991524
43,23557,13910884
44,23558,13588012
45,23559,13668712
46,23560,13856972
47,23561,13587892
48,23562,13776248
49,23563,13937696
50,23564,13749340
51,23565,13614800
52,23566,13776356
53,23567,13749424
54,23568,13910884
55,23569,13722468
56,23570,13560984
57,23571,13641708
58,23572,13910788
59,23573,13587892
60,23574,14018420
61,23575,13695572
62,23576,13588024
63,23577,13614920
64,23578,13883904
65,23579,13668616
66,23580,13776248
67,23581,13722432
68,23582,13910788
69,23583,13534076
70,23584,13857020
71,23585,13749448
72,23586,13857068
73,23587,13749412
74,23588,13587892
75,23589,13695524
76,23590,14045328
77,23591,13534076
78,23592,13722432
79,23593,13991512
80,23594,13695632
81,23595,13399680
82,23596,13776320
83,23597,13803156
84,23598,13803156
85,23599,13668616
86,23600,13749340
87,23601,13668616
88,23602,13830076
89,23603,13776344
90,23604,14045400
91,23605,13534196
92,23606,13641732
93,23607,13695524
94,23608,13722432
95,23609,13695524
96,23610,13937696
97,23611,13668616
98,23612,14045376
99,23613,13480392
100,23614,13830172
101,23615,13668652
102,23616,13910788
103,23617,13856972
104,23618,13749340
105,23619,13507168
106,23620,13803156
107,23621,13803192
108,23622,13830148
109,23623,13749448
110,23624,13641804
111,23625,13776248
112,23626,13776248
113,23627,13722432
114,23628,13883880
115,23629,13695524
116,23630,13722432
117,23631,13722540
118,23632,13803240
119,23633,14018492
120,23634,13561044
121,23635,13776248
122,23636,13668616
123,23637,13614800
124,23638,13830064
125,23639,13776248
126,23640,13937732
127,23641,13722540
128,23642,13776356
129,23643,13534148
130,23644,13856972
131,23645,13614800
132,23646,13776248
133,23647,13856972
134,23648,13695524
135,23649,13856984
136,23650,13776344
137,23651,13749448
138,23652,14099192
139,23653,13614860
140,23654,13668616
141,23655,13507168
142,23656,13883880
143,23657,13695524
144,23658,13830064
145,23659,14018456
146,23660,13561104
147,23661,13641840
148,23662,13910824
149,23663,13534076
150,23664,13803156
151,23665,13776248
152,23666,13722432
153,23667,13587892
154,23668,14179868
155,23669,13614920
156,23670,13776356
157,23671,13695620
158,23672,13803156
159,23673,3336268
