"timestamp","component","cpu","ram"
2026-03-06 14:10:15,op-geth-ext,0.0145,73.4
2026-03-06 14:10:15,op-geth,0.0519,75.1
2026-03-06 14:10:30,op-geth-ext,0.0149,77.9
2026-03-06 14:10:30,op-geth,0.0357,89.1
2026-03-06 14:10:45,op-geth-ext,0.0573,75.8
2026-03-06 14:10:45,op-geth,0.0507,70.8
2026-03-06 14:11:00,op-geth-ext,0.0756,67.3
2026-03-06 14:11:00,op-geth,0.0894,124
2026-03-06 14:11:15,op-geth-ext,0.119,79.2
2026-03-06 14:11:15,op-geth,0.107,91.2
2026-03-06 14:11:30,op-geth-ext,0.137,90.8
2026-03-06 14:11:30,op-geth,0.147,90.7
2026-03-06 14:11:45,op-geth-ext,0.180,88.4
2026-03-06 14:11:45,op-geth,0.163,129
2026-03-06 14:12:00,op-geth-ext,0.197,94.6
2026-03-06 14:12:00,op-geth,0.202,109
2026-03-06 14:12:15,op-geth-ext,0.239,116
2026-03-06 14:12:15,op-geth,0.219,139
2026-03-06 14:12:30,op-geth-ext,0.257,117
2026-03-06 14:12:30,op-geth,0.259,154
2026-03-06 14:12:45,op-geth-ext,0.299,92.7
2026-03-06 14:12:45,op-geth,0.276,114
2026-03-06 14:13:00,op-geth-ext,0.317,94.3
2026-03-06 14:13:00,op-geth,0.316,120
2026-03-06 14:13:15,op-geth-ext,0.361,85.8
2026-03-06 14:13:15,op-geth,0.333,157
2026-03-06 14:13:30,op-geth-ext,0.379,92.6
2026-03-06 14:13:30,op-geth,0.374,152
2026-03-06 14:13:45,op-geth-ext,0.422,134
2026-03-06 14:13:45,op-geth,0.391,116
2026-03-06 14:14:00,op-geth-ext,0.440,119
2026-03-06 14:14:00,op-geth,0.431,182
2026-03-06 14:14:15,op-geth-ext,0.484,138
2026-03-06 14:14:15,op-geth,0.449,186
2026-03-06 14:14:30,op-geth-ext,0.502,109
2026-03-06 14:14:30,op-geth,0.489,158
2026-03-06 14:14:45,op-geth-ext,0.546,128
2026-03-06 14:14:45,op-geth,0.506,174
2026-03-06 14:15:00,op-geth-ext,0.563,165
2026-03-06 14:15:00,op-geth,0.545,189
2026-03-06 14:15:15,op-geth-ext,0.606,167
2026-03-06 14:15:15,op-geth,0.563,188
2026-03-06 14:15:30,op-geth-ext,0.600,136
2026-03-06 14:15:30,op-geth,0.574,193
2026-03-06 14:15:45,op-geth-ext,0.606,126
2026-03-06 14:15:45,op-geth,0.569,180
2026-03-06 14:16:00,op-geth-ext,0.600,165
2026-03-06 14:16:00,op-geth,0.575,189
2026-03-06 14:16:15,op-geth-ext,0.607,148
2026-03-06 14:16:15,op-geth,0.570,169
2026-03-06 14:16:30,op-geth-ext,0.600,164
2026-03-06 14:16:30,op-geth,0.576,182
2026-03-06 14:16:45,op-geth-ext,0.606,142
2026-03-06 14:16:45,op-geth,0.569,154
2026-03-06 14:17:00,op-geth-ext,0.601,170
2026-03-06 14:17:00,op-geth,0.576,194
2026-03-06 14:17:15,op-geth-ext,0.608,123
2026-03-06 14:17:15,op-geth,0.571,163
2026-03-06 14:17:30,op-geth-ext,0.602,146
2026-03-06 14:17:30,op-geth,0.577,194
2026-03-06 14:17:45,op-geth-ext,0.609,175
2026-03-06 14:17:45,op-geth,0.571,159
2026-03-06 14:18:00,op-geth-ext,0.602,135
2026-03-06 14:18:00,op-geth,0.576,186
2026-03-06 14:18:15,op-geth-ext,0.609,144
2026-03-06 14:18:15,op-geth,0.570,232
2026-03-06 14:18:30,op-geth-ext,0.603,157
2026-03-06 14:18:30,op-geth,0.576,181
2026-03-06 14:18:45,op-geth-ext,0.608,156
2026-03-06 14:18:45,op-geth,0.569,213
2026-03-06 14:19:00,op-geth-ext,0.601,178
2026-03-06 14:19:00,op-geth,0.573,209
2026-03-06 14:19:15,op-geth-ext,0.606,183
2026-03-06 14:19:15,op-geth,0.568,262
2026-03-06 14:19:30,op-geth-ext,0.600,185
2026-03-06 14:19:30,op-geth,0.573,264
2026-03-06 14:19:45,op-geth-ext,0.607,181
2026-03-06 14:19:45,op-geth,0.567,193
2026-03-06 14:20:00,op-geth-ext,0.601,200
2026-03-06 14:20:00,op-geth,0.574,212
2026-03-06 14:20:15,op-geth-ext,0.608,194
2026-03-06 14:20:15,op-geth,0.568,265
2026-03-06 14:20:30,op-geth-ext,0.601,191
2026-03-06 14:20:30,op-geth,0.574,174
2026-03-06 14:20:45,op-geth-ext,0.607,179
2026-03-06 14:20:45,op-geth,0.569,221
2026-03-06 14:21:00,op-geth-ext,0.600,197
2026-03-06 14:21:00,op-geth,0.573,210
