index_s,timestamp,component,cpu,ram
0,2026-02-28 16:26:30,op-geth-ext,0.0123,103.0
15,2026-02-28 16:26:30,op-geth,0.0198,125.0
30,2026-02-28 16:26:45,op-geth-ext,0.0236,86.4
45,2026-02-28 16:26:45,op-geth,0.0221,100.0
60,2026-02-28 16:27:00,op-geth-ext,0.038,90.0
75,2026-02-28 16:27:00,op-geth,0.0577,128.0
90,2026-02-28 16:27:15,op-geth-ext,0.0715,102.0
105,2026-02-28 16:27:15,op-geth,0.0729,149.0
120,2026-02-28 16:27:30,op-geth-ext,0.0857,98.4
135,2026-02-28 16:27:30,op-geth,0.11,154.0
150,2026-02-28 16:27:45,op-geth-ext,0.121,109.0
165,2026-02-28 16:27:45,op-geth,0.126,155.0
180,2026-02-28 16:28:00,op-geth-ext,0.136,111.0
195,2026-02-28 16:28:00,op-geth,0.163,135.0
210,2026-02-28 16:28:15,op-geth-ext,0.17,124.0
225,2026-02-28 16:28:15,op-geth,0.179,137.0
240,2026-02-28 16:28:30,op-geth-ext,0.184,122.0
255,2026-02-28 16:28:30,op-geth,0.217,146.0
270,2026-02-28 16:28:45,op-geth-ext,0.216,111.0
285,2026-02-28 16:28:45,op-geth,0.232,202.0
300,2026-02-28 16:29:00,op-geth-ext,0.236,116.0
315,2026-02-28 16:29:00,op-geth,0.27,170.0
330,2026-02-28 16:29:15,op-geth-ext,0.265,98.2
345,2026-02-28 16:29:15,op-geth,0.286,137.0
360,2026-02-28 16:29:30,op-geth-ext,0.283,99.9
375,2026-02-28 16:29:30,op-geth,0.323,232.0
390,2026-02-28 16:29:45,op-geth-ext,0.314,163.0
405,2026-02-28 16:29:45,op-geth,0.338,183.0
420,2026-02-28 16:30:00,op-geth-ext,0.333,146.0
435,2026-02-28 16:30:00,op-geth,0.375,179.0
450,2026-02-28 16:30:15,op-geth-ext,0.363,132.0
465,2026-02-28 16:30:15,op-geth,0.391,225.0
480,2026-02-28 16:30:30,op-geth-ext,0.381,137.0
495,2026-02-28 16:30:30,op-geth,0.429,185.0
510,2026-02-28 16:30:45,op-geth-ext,0.414,141.0
525,2026-02-28 16:30:45,op-geth,0.444,154.0
540,2026-02-28 16:31:00,op-geth-ext,0.434,142.0
555,2026-02-28 16:31:00,op-geth,0.481,216.0
570,2026-02-28 16:31:15,op-geth-ext,0.463,167.0
585,2026-02-28 16:31:15,op-geth,0.497,172.0
600,2026-02-28 16:31:30,op-geth-ext,0.482,167.0
615,2026-02-28 16:31:30,op-geth,0.532,216.0
630,2026-02-28 16:31:45,op-geth-ext,0.49,181.0
645,2026-02-28 16:31:45,op-geth,0.528,161.0
660,2026-02-28 16:32:00,op-geth-ext,0.496,147.0
675,2026-02-28 16:32:00,op-geth,0.535,194.0
690,2026-02-28 16:32:15,op-geth-ext,0.491,164.0
705,2026-02-28 16:32:15,op-geth,0.53,233.0
720,2026-02-28 16:32:30,op-geth-ext,0.495,154.0
735,2026-02-28 16:32:30,op-geth,0.535,282.0
750,2026-02-28 16:32:45,op-geth-ext,0.494,145.0
765,2026-02-28 16:32:45,op-geth,0.529,194.0
780,2026-02-28 16:33:00,op-geth-ext,0.499,197.0
795,2026-02-28 16:33:00,op-geth,0.534,207.0
810,2026-02-28 16:33:15,op-geth-ext,0.496,150.0
825,2026-02-28 16:33:15,op-geth,0.529,233.0
840,2026-02-28 16:33:30,op-geth-ext,0.498,202.0
855,2026-02-28 16:33:30,op-geth,0.534,220.0
870,2026-02-28 16:33:45,op-geth-ext,0.498,246.0
885,2026-02-28 16:33:45,op-geth,0.528,236.0
900,2026-02-28 16:34:00,op-geth-ext,0.504,186.0
915,2026-02-28 16:34:00,op-geth,0.534,261.0
930,2026-02-28 16:34:15,op-geth-ext,0.499,195.0
945,2026-02-28 16:34:15,op-geth,0.528,282.0
960,2026-02-28 16:34:30,op-geth-ext,0.503,179.0
975,2026-02-28 16:34:30,op-geth,0.534,241.0
990,2026-02-28 16:34:45,op-geth-ext,0.505,212.0
1005,2026-02-28 16:34:45,op-geth,0.529,241.0
1020,2026-02-28 16:35:00,op-geth-ext,0.51,265.0
1035,2026-02-28 16:35:00,op-geth,0.535,205.0
1050,2026-02-28 16:35:15,op-geth-ext,0.504,239.0
1065,2026-02-28 16:35:15,op-geth,0.528,220.0
1080,2026-02-28 16:35:30,op-geth-ext,0.508,217.0
1095,2026-02-28 16:35:30,op-geth,0.534,289.0
1110,2026-02-28 16:35:45,op-geth-ext,0.508,248.0
1125,2026-02-28 16:35:45,op-geth,0.528,286.0
1140,2026-02-28 16:36:00,op-geth-ext,0.512,300.0
1155,2026-02-28 16:36:00,op-geth,0.533,260.0
1170,2026-02-28 16:36:15,op-geth-ext,0.508,240.0
1185,2026-02-28 16:36:15,op-geth,0.528,265.0
1200,2026-02-28 16:36:30,op-geth-ext,0.513,211.0
1215,2026-02-28 16:36:30,op-geth,0.533,224.0
1230,2026-02-28 16:36:45,op-geth-ext,0.512,236.0
1245,2026-02-28 16:36:45,op-geth,0.527,216.0
1260,2026-02-28 16:37:00,op-geth-ext,0.517,289.0
1275,2026-02-28 16:37:00,op-geth,0.532,297.0
1290,2026-02-28 16:37:15,op-geth-ext,0.512,228.0
1305,2026-02-28 16:37:15,op-geth,0.526,304.0
