time_index (s),timestamp,component,cpu,ram
0,2026-03-06 14:10:15,op-geth,0.0519,75.1
15,2026-03-06 14:10:30,op-geth,0.0357,89.1
30,2026-03-06 14:10:45,op-geth,0.0507,70.8
45,2026-03-06 14:11:00,op-geth,0.0894,124.0
60,2026-03-06 14:11:15,op-geth,0.107,91.2
75,2026-03-06 14:11:30,op-geth,0.147,90.7
90,2026-03-06 14:11:45,op-geth,0.163,129.0
105,2026-03-06 14:12:00,op-geth,0.202,109.0
120,2026-03-06 14:12:15,op-geth,0.219,139.0
135,2026-03-06 14:12:30,op-geth,0.259,154.0
150,2026-03-06 14:12:45,op-geth,0.276,114.0
165,2026-03-06 14:13:00,op-geth,0.316,120.0
180,2026-03-06 14:13:15,op-geth,0.333,157.0
195,2026-03-06 14:13:30,op-geth,0.374,152.0
210,2026-03-06 14:13:45,op-geth,0.391,116.0
225,2026-03-06 14:14:00,op-geth,0.431,182.0
240,2026-03-06 14:14:15,op-geth,0.449,186.0
255,2026-03-06 14:14:30,op-geth,0.489,158.0
270,2026-03-06 14:14:45,op-geth,0.506,174.0
285,2026-03-06 14:15:00,op-geth,0.545,189.0
300,2026-03-06 14:15:15,op-geth,0.563,188.0
315,2026-03-06 14:15:30,op-geth,0.574,193.0
330,2026-03-06 14:15:45,op-geth,0.569,180.0
345,2026-03-06 14:16:00,op-geth,0.575,189.0
360,2026-03-06 14:16:15,op-geth,0.57,169.0
375,2026-03-06 14:16:30,op-geth,0.576,182.0
390,2026-03-06 14:16:45,op-geth,0.569,154.0
405,2026-03-06 14:17:00,op-geth,0.576,194.0
420,2026-03-06 14:17:15,op-geth,0.571,163.0
435,2026-03-06 14:17:30,op-geth,0.577,194.0
450,2026-03-06 14:17:45,op-geth,0.571,159.0
465,2026-03-06 14:18:00,op-geth,0.576,186.0
480,2026-03-06 14:18:15,op-geth,0.57,232.0
495,2026-03-06 14:18:30,op-geth,0.576,181.0
510,2026-03-06 14:18:45,op-geth,0.569,213.0
525,2026-03-06 14:19:00,op-geth,0.573,209.0
540,2026-03-06 14:19:15,op-geth,0.568,262.0
555,2026-03-06 14:19:30,op-geth,0.573,264.0
570,2026-03-06 14:19:45,op-geth,0.567,193.0
585,2026-03-06 14:20:00,op-geth,0.574,212.0
600,2026-03-06 14:20:15,op-geth,0.568,265.0
615,2026-03-06 14:20:30,op-geth,0.574,174.0
630,2026-03-06 14:20:45,op-geth,0.569,221.0
645,2026-03-06 14:21:00,op-geth,0.573,210.0
