time_index (s),timestamp,component,cpu,ram
0,2026-03-06 13:54:45,op-geth-ext,0.122,52.1
15,2026-03-06 13:55:00,op-geth-ext,0.0961,55.4
30,2026-03-06 13:55:15,op-geth-ext,0.0583,53.1
45,2026-03-06 13:55:30,op-geth-ext,0.0352,69.8
60,2026-03-06 13:55:45,op-geth-ext,0.0357,57.5
75,2026-03-06 13:56:00,op-geth-ext,0.0344,74.7
90,2026-03-06 13:56:15,op-geth-ext,0.0398,62.0
105,2026-03-06 13:56:30,op-geth-ext,0.0429,79.1
120,2026-03-06 13:56:45,op-geth-ext,0.0512,63.5
135,2026-03-06 13:57:00,op-geth-ext,0.0543,80.6
150,2026-03-06 13:57:15,op-geth-ext,0.0626,68.3
165,2026-03-06 13:57:30,op-geth-ext,0.0657,54.7
180,2026-03-06 13:57:45,op-geth-ext,0.0737,71.1
195,2026-03-06 13:58:00,op-geth-ext,0.0769,59.5
210,2026-03-06 13:58:15,op-geth-ext,0.0848,74.0
225,2026-03-06 13:58:30,op-geth-ext,0.0879,59.0
240,2026-03-06 13:58:45,op-geth-ext,0.096,71.5
255,2026-03-06 13:59:00,op-geth-ext,0.0992,60.4
270,2026-03-06 13:59:15,op-geth-ext,0.107,74.7
285,2026-03-06 13:59:30,op-geth-ext,0.11,59.1
300,2026-03-06 13:59:45,op-geth-ext,0.118,72.0
315,2026-03-06 14:00:00,op-geth-ext,0.121,89.5
330,2026-03-06 14:00:15,op-geth-ext,0.123,68.8
345,2026-03-06 14:00:30,op-geth-ext,0.121,86.0
360,2026-03-06 14:00:45,op-geth-ext,0.123,65.0
375,2026-03-06 14:01:00,op-geth-ext,0.121,82.2
390,2026-03-06 14:01:15,op-geth-ext,0.123,61.0
405,2026-03-06 14:01:30,op-geth-ext,0.122,77.7
420,2026-03-06 14:01:45,op-geth-ext,0.123,89.1
435,2026-03-06 14:02:00,op-geth-ext,0.122,74.4
450,2026-03-06 14:02:15,op-geth-ext,0.123,83.6
465,2026-03-06 14:02:30,op-geth-ext,0.122,65.0
480,2026-03-06 14:02:45,op-geth-ext,0.123,75.7
495,2026-03-06 14:03:00,op-geth-ext,0.122,93.1
510,2026-03-06 14:03:15,op-geth-ext,0.124,67.8
525,2026-03-06 14:03:30,op-geth-ext,0.122,84.9
540,2026-03-06 14:03:45,op-geth-ext,0.124,92.2
555,2026-03-06 14:04:00,op-geth-ext,0.123,73.1
570,2026-03-06 14:04:15,op-geth-ext,0.124,80.6
585,2026-03-06 14:04:30,op-geth-ext,0.123,98.1
600,2026-03-06 14:04:45,op-geth-ext,0.124,68.3
615,2026-03-06 14:05:00,op-geth-ext,0.123,85.3
630,2026-03-06 14:05:15,op-geth-ext,0.125,92.9
