time_index (s),timestamp,component,cpu,ram
0,2026-03-01 14:49:00,op-geth,0.0233,47.6
15,2026-03-01 14:49:15,op-geth,0.0343,60.5
30,2026-03-01 14:49:30,op-geth,0.0627,70.2
45,2026-03-01 14:49:45,op-geth,0.105,76.4
60,2026-03-01 14:50:00,op-geth,0.134,77.1
75,2026-03-01 14:50:15,op-geth,0.177,89.8
90,2026-03-01 14:50:30,op-geth,0.206,106.0
105,2026-03-01 14:50:45,op-geth,0.249,126.0
120,2026-03-01 14:51:00,op-geth,0.278,107.0
135,2026-03-01 14:51:15,op-geth,0.32,146.0
150,2026-03-01 14:51:30,op-geth,0.349,119.0
165,2026-03-01 14:51:45,op-geth,0.391,129.0
180,2026-03-01 14:52:00,op-geth,0.421,129.0
195,2026-03-01 14:52:15,op-geth,0.463,126.0
210,2026-03-01 14:52:30,op-geth,0.493,125.0
225,2026-03-01 14:52:45,op-geth,0.536,168.0
240,2026-03-01 14:53:00,op-geth,0.565,162.0
255,2026-03-01 14:53:15,op-geth,0.608,131.0
270,2026-03-01 14:53:30,op-geth,0.637,131.0
285,2026-03-01 14:53:45,op-geth,0.68,142.0
300,2026-03-01 14:54:00,op-geth,0.709,190.0
315,2026-03-01 14:54:15,op-geth,0.712,183.0
330,2026-03-01 14:54:30,op-geth,0.72,164.0
345,2026-03-01 14:54:45,op-geth,0.712,176.0
360,2026-03-01 14:55:00,op-geth,0.721,153.0
375,2026-03-01 14:55:15,op-geth,0.712,192.0
390,2026-03-01 14:55:30,op-geth,0.72,226.0
405,2026-03-01 14:55:45,op-geth,0.712,177.0
420,2026-03-01 14:56:00,op-geth,0.718,207.0
435,2026-03-01 14:56:15,op-geth,0.712,165.0
450,2026-03-01 14:56:30,op-geth,0.719,200.0
465,2026-03-01 14:56:45,op-geth,0.711,229.0
480,2026-03-01 14:57:00,op-geth,0.719,227.0
495,2026-03-01 14:57:15,op-geth,0.71,213.0
510,2026-03-01 14:57:30,op-geth,0.717,204.0
525,2026-03-01 14:57:45,op-geth,0.709,223.0
540,2026-03-01 14:58:00,op-geth,0.717,213.0
555,2026-03-01 14:58:15,op-geth,0.709,203.0
570,2026-03-01 14:58:30,op-geth,0.717,204.0
585,2026-03-01 14:58:45,op-geth,0.709,198.0
600,2026-03-01 14:59:00,op-geth,0.717,177.0
615,2026-03-01 14:59:15,op-geth,0.709,172.0
630,2026-03-01 14:59:30,op-geth,0.716,266.0
645,2026-03-01 14:59:45,op-geth,0.707,273.0
