Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-geth-75f4676cdc-n84lh,2026-02-12 05:06:54,95,326
1,op-geth-75f4676cdc-n84lh,2026-02-12 05:07:04,95,326
2,op-geth-75f4676cdc-n84lh,2026-02-12 05:07:14,82,329
3,op-geth-75f4676cdc-n84lh,2026-02-12 05:07:24,8,329
4,op-geth-75f4676cdc-n84lh,2026-02-12 05:07:34,8,329
5,op-geth-75f4676cdc-n84lh,2026-02-12 05:07:44,8,329
6,op-geth-75f4676cdc-n84lh,2026-02-12 05:07:54,7,329
7,op-geth-75f4676cdc-n84lh,2026-02-12 05:08:04,7,329
8,op-geth-75f4676cdc-n84lh,2026-02-12 05:08:15,7,330
9,op-geth-75f4676cdc-n84lh,2026-02-12 05:08:25,7,330
10,op-geth-75f4676cdc-n84lh,2026-02-12 05:08:35,7,330
11,op-geth-75f4676cdc-n84lh,2026-02-12 05:08:45,7,330
12,op-geth-75f4676cdc-n84lh,2026-02-12 05:08:55,7,330
13,op-geth-75f4676cdc-n84lh,2026-02-12 05:09:05,9,334
14,op-geth-75f4676cdc-n84lh,2026-02-12 05:09:15,9,334
15,op-geth-75f4676cdc-n84lh,2026-02-12 05:09:25,9,334
16,op-geth-75f4676cdc-n84lh,2026-02-12 05:09:36,7,335
17,op-geth-75f4676cdc-n84lh,2026-02-12 05:09:46,7,335
18,op-geth-75f4676cdc-n84lh,2026-02-12 05:09:56,7,335
19,op-geth-75f4676cdc-n84lh,2026-02-12 05:10:06,7,335
20,op-geth-75f4676cdc-n84lh,2026-02-12 05:10:16,7,335
21,op-geth-75f4676cdc-n84lh,2026-02-12 05:10:26,7,335
22,op-geth-75f4676cdc-n84lh,2026-02-12 05:10:36,7,336
23,op-geth-75f4676cdc-n84lh,2026-02-12 05:10:46,7,336
24,op-geth-75f4676cdc-n84lh,2026-02-12 05:10:56,7,336
25,op-geth-75f4676cdc-n84lh,2026-02-12 05:11:07,9,333
26,op-geth-75f4676cdc-n84lh,2026-02-12 05:11:17,9,333
27,op-geth-75f4676cdc-n84lh,2026-02-12 05:11:27,7,334
28,op-geth-75f4676cdc-n84lh,2026-02-12 05:11:37,7,334
29,op-geth-75f4676cdc-n84lh,2026-02-12 05:11:47,7,334
30,op-geth-75f4676cdc-n84lh,2026-02-12 05:11:57,39,337
31,op-geth-75f4676cdc-n84lh,2026-02-12 05:12:07,220,337
32,op-geth-75f4676cdc-n84lh,2026-02-12 05:12:17,220,337
33,op-geth-75f4676cdc-n84lh,2026-02-12 05:12:28,228,350
34,op-geth-75f4676cdc-n84lh,2026-02-12 05:12:38,228,350
35,op-geth-75f4676cdc-n84lh,2026-02-12 05:12:48,228,350
36,op-geth-75f4676cdc-n84lh,2026-02-12 05:12:58,214,368
37,op-geth-75f4676cdc-n84lh,2026-02-12 05:13:08,227,382
38,op-geth-75f4676cdc-n84lh,2026-02-12 05:13:18,227,382
39,op-geth-75f4676cdc-n84lh,2026-02-12 05:13:28,208,387
40,op-geth-75f4676cdc-n84lh,2026-02-12 05:13:38,233,396
41,op-geth-75f4676cdc-n84lh,2026-02-12 05:13:49,233,396
42,op-geth-75f4676cdc-n84lh,2026-02-12 05:13:59,216,403
43,op-geth-75f4676cdc-n84lh,2026-02-12 05:14:09,235,407
44,op-geth-75f4676cdc-n84lh,2026-02-12 05:14:19,235,407
45,op-geth-75f4676cdc-n84lh,2026-02-12 05:14:29,230,410
46,op-geth-75f4676cdc-n84lh,2026-02-12 05:14:39,245,354
47,op-geth-75f4676cdc-n84lh,2026-02-12 05:14:49,245,354
48,op-geth-75f4676cdc-n84lh,2026-02-12 05:14:59,231,357
49,op-geth-75f4676cdc-n84lh,2026-02-12 05:15:10,216,361
50,op-geth-75f4676cdc-n84lh,2026-02-12 05:15:20,216,361
51,op-geth-75f4676cdc-n84lh,2026-02-12 05:15:30,232,372
52,op-geth-75f4676cdc-n84lh,2026-02-12 05:15:40,227,378
53,op-geth-75f4676cdc-n84lh,2026-02-12 05:15:50,227,378
54,op-geth-75f4676cdc-n84lh,2026-02-12 05:16:00,227,378
55,op-geth-75f4676cdc-n84lh,2026-02-12 05:16:10,228,386
56,op-geth-75f4676cdc-n84lh,2026-02-12 05:16:20,217,389
57,op-geth-75f4676cdc-n84lh,2026-02-12 05:16:31,217,389
58,op-geth-75f4676cdc-n84lh,2026-02-12 05:16:41,222,408
59,op-geth-75f4676cdc-n84lh,2026-02-12 05:16:51,225,420
60,op-geth-75f4676cdc-n84lh,2026-02-12 05:17:01,225,420
61,op-geth-75f4676cdc-n84lh,2026-02-12 05:17:11,179,424
62,op-geth-75f4676cdc-n84lh,2026-02-12 05:17:21,12,425
