Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-node-fc4c5d564-dptkw,2026-02-12 05:06:54,35,232
1,op-node-fc4c5d564-dptkw,2026-02-12 05:07:04,35,232
2,op-node-fc4c5d564-dptkw,2026-02-12 05:07:14,32,232
3,op-node-fc4c5d564-dptkw,2026-02-12 05:07:24,32,222
4,op-node-fc4c5d564-dptkw,2026-02-12 05:07:34,32,222
5,op-node-fc4c5d564-dptkw,2026-02-12 05:07:44,32,222
6,op-node-fc4c5d564-dptkw,2026-02-12 05:07:54,27,222
7,op-node-fc4c5d564-dptkw,2026-02-12 05:08:04,27,222
8,op-node-fc4c5d564-dptkw,2026-02-12 05:08:15,25,222
9,op-node-fc4c5d564-dptkw,2026-02-12 05:08:25,26,223
10,op-node-fc4c5d564-dptkw,2026-02-12 05:08:35,26,223
11,op-node-fc4c5d564-dptkw,2026-02-12 05:08:45,26,223
12,op-node-fc4c5d564-dptkw,2026-02-12 05:08:55,26,222
13,op-node-fc4c5d564-dptkw,2026-02-12 05:09:05,26,223
14,op-node-fc4c5d564-dptkw,2026-02-12 05:09:15,26,223
15,op-node-fc4c5d564-dptkw,2026-02-12 05:09:25,27,223
16,op-node-fc4c5d564-dptkw,2026-02-12 05:09:36,29,203
17,op-node-fc4c5d564-dptkw,2026-02-12 05:09:46,29,203
18,op-node-fc4c5d564-dptkw,2026-02-12 05:09:56,26,203
19,op-node-fc4c5d564-dptkw,2026-02-12 05:10:06,23,203
20,op-node-fc4c5d564-dptkw,2026-02-12 05:10:16,23,203
21,op-node-fc4c5d564-dptkw,2026-02-12 05:10:26,24,202
22,op-node-fc4c5d564-dptkw,2026-02-12 05:10:36,28,203
23,op-node-fc4c5d564-dptkw,2026-02-12 05:10:46,28,203
24,op-node-fc4c5d564-dptkw,2026-02-12 05:10:56,26,202
25,op-node-fc4c5d564-dptkw,2026-02-12 05:11:07,26,203
26,op-node-fc4c5d564-dptkw,2026-02-12 05:11:17,26,203
27,op-node-fc4c5d564-dptkw,2026-02-12 05:11:27,30,193
28,op-node-fc4c5d564-dptkw,2026-02-12 05:11:37,30,193
29,op-node-fc4c5d564-dptkw,2026-02-12 05:11:47,30,193
30,op-node-fc4c5d564-dptkw,2026-02-12 05:11:57,26,193
31,op-node-fc4c5d564-dptkw,2026-02-12 05:12:07,40,220
32,op-node-fc4c5d564-dptkw,2026-02-12 05:12:17,40,220
33,op-node-fc4c5d564-dptkw,2026-02-12 05:12:28,45,235
34,op-node-fc4c5d564-dptkw,2026-02-12 05:12:38,43,235
35,op-node-fc4c5d564-dptkw,2026-02-12 05:12:48,43,235
36,op-node-fc4c5d564-dptkw,2026-02-12 05:12:58,45,235
37,op-node-fc4c5d564-dptkw,2026-02-12 05:13:08,41,241
38,op-node-fc4c5d564-dptkw,2026-02-12 05:13:18,41,241
39,op-node-fc4c5d564-dptkw,2026-02-12 05:13:28,36,241
40,op-node-fc4c5d564-dptkw,2026-02-12 05:13:38,42,241
41,op-node-fc4c5d564-dptkw,2026-02-12 05:13:49,42,241
42,op-node-fc4c5d564-dptkw,2026-02-12 05:13:59,44,244
43,op-node-fc4c5d564-dptkw,2026-02-12 05:14:09,40,244
44,op-node-fc4c5d564-dptkw,2026-02-12 05:14:19,40,244
45,op-node-fc4c5d564-dptkw,2026-02-12 05:14:29,46,244
46,op-node-fc4c5d564-dptkw,2026-02-12 05:14:39,40,244
47,op-node-fc4c5d564-dptkw,2026-02-12 05:14:49,40,244
48,op-node-fc4c5d564-dptkw,2026-02-12 05:14:59,44,244
49,op-node-fc4c5d564-dptkw,2026-02-12 05:15:10,43,244
50,op-node-fc4c5d564-dptkw,2026-02-12 05:15:20,43,244
51,op-node-fc4c5d564-dptkw,2026-02-12 05:15:30,43,251
52,op-node-fc4c5d564-dptkw,2026-02-12 05:15:40,43,251
53,op-node-fc4c5d564-dptkw,2026-02-12 05:15:50,43,251
54,op-node-fc4c5d564-dptkw,2026-02-12 05:16:00,35,251
55,op-node-fc4c5d564-dptkw,2026-02-12 05:16:10,45,251
56,op-node-fc4c5d564-dptkw,2026-02-12 05:16:20,42,255
57,op-node-fc4c5d564-dptkw,2026-02-12 05:16:31,42,255
58,op-node-fc4c5d564-dptkw,2026-02-12 05:16:41,42,255
59,op-node-fc4c5d564-dptkw,2026-02-12 05:16:51,42,255
60,op-node-fc4c5d564-dptkw,2026-02-12 05:17:01,42,255
61,op-node-fc4c5d564-dptkw,2026-02-12 05:17:11,42,255
62,op-node-fc4c5d564-dptkw,2026-02-12 05:17:21,39,257
