Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-rbuilder-784769bd78-bd7n,2026-02-12 05:06:54,81,169
1,op-rbuilder-784769bd78-bd7n,2026-02-12 05:07:04,81,169
2,op-rbuilder-784769bd78-bd7n,2026-02-12 05:07:14,85,173
3,op-rbuilder-784769bd78-bd7n,2026-02-12 05:07:24,13,173
4,op-rbuilder-784769bd78-bd7n,2026-02-12 05:07:34,13,173
5,op-rbuilder-784769bd78-bd7n,2026-02-12 05:07:44,9,173
6,op-rbuilder-784769bd78-bd7n,2026-02-12 05:07:54,11,172
7,op-rbuilder-784769bd78-bd7n,2026-02-12 05:08:04,11,172
8,op-rbuilder-784769bd78-bd7n,2026-02-12 05:08:15,12,174
9,op-rbuilder-784769bd78-bd7n,2026-02-12 05:08:25,12,174
10,op-rbuilder-784769bd78-bd7n,2026-02-12 05:08:35,12,174
11,op-rbuilder-784769bd78-bd7n,2026-02-12 05:08:45,10,173
12,op-rbuilder-784769bd78-bd7n,2026-02-12 05:08:55,9,175
13,op-rbuilder-784769bd78-bd7n,2026-02-12 05:09:05,9,172
14,op-rbuilder-784769bd78-bd7n,2026-02-12 05:09:15,9,172
15,op-rbuilder-784769bd78-bd7n,2026-02-12 05:09:25,9,173
16,op-rbuilder-784769bd78-bd7n,2026-02-12 05:09:36,9,173
17,op-rbuilder-784769bd78-bd7n,2026-02-12 05:09:46,9,173
18,op-rbuilder-784769bd78-bd7n,2026-02-12 05:09:56,9,173
19,op-rbuilder-784769bd78-bd7n,2026-02-12 05:10:06,9,173
20,op-rbuilder-784769bd78-bd7n,2026-02-12 05:10:16,9,173
21,op-rbuilder-784769bd78-bd7n,2026-02-12 05:10:26,10,174
22,op-rbuilder-784769bd78-bd7n,2026-02-12 05:10:36,9,172
23,op-rbuilder-784769bd78-bd7n,2026-02-12 05:10:46,9,172
24,op-rbuilder-784769bd78-bd7n,2026-02-12 05:10:56,9,172
25,op-rbuilder-784769bd78-bd7n,2026-02-12 05:11:07,10,172
26,op-rbuilder-784769bd78-bd7n,2026-02-12 05:11:17,10,172
27,op-rbuilder-784769bd78-bd7n,2026-02-12 05:11:27,9,172
28,op-rbuilder-784769bd78-bd7n,2026-02-12 05:11:37,10,171
29,op-rbuilder-784769bd78-bd7n,2026-02-12 05:11:47,10,171
30,op-rbuilder-784769bd78-bd7n,2026-02-12 05:11:57,70,180
31,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:07,163,185
32,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:17,163,185
33,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:28,163,185
34,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:38,165,188
35,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:48,165,188
36,op-rbuilder-784769bd78-bd7n,2026-02-12 05:12:58,161,194
37,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:08,159,193
38,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:18,159,193
39,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:28,158,199
40,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:38,161,202
41,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:49,161,202
42,op-rbuilder-784769bd78-bd7n,2026-02-12 05:13:59,163,202
43,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:09,163,206
44,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:19,163,206
45,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:29,164,211
46,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:39,168,213
47,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:49,168,213
48,op-rbuilder-784769bd78-bd7n,2026-02-12 05:14:59,162,218
49,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:10,162,219
50,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:20,162,219
51,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:30,162,219
52,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:40,160,225
53,op-rbuilder-784769bd78-bd7n,2026-02-12 05:15:50,160,225
54,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:00,160,228
55,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:10,161,232
56,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:20,158,235
57,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:31,158,235
58,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:41,158,237
59,op-rbuilder-784769bd78-bd7n,2026-02-12 05:16:51,159,241
60,op-rbuilder-784769bd78-bd7n,2026-02-12 05:17:01,159,241
61,op-rbuilder-784769bd78-bd7n,2026-02-12 05:17:11,145,250
62,op-rbuilder-784769bd78-bd7n,2026-02-12 05:17:21,321,269
