Index,Pod,Timestamp,CPU(m),RAM(Mi)
0,op-batcher-7ddcb69467-jprj9,2026-02-12 05:11:47,3,22
1,op-batcher-7ddcb69467-jprj9,2026-02-12 05:11:57,4,23
2,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:07,22,29
3,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:17,22,29
4,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:28,21,36
5,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:38,22,41
6,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:48,22,41
7,op-batcher-7ddcb69467-jprj9,2026-02-12 05:12:58,18,43
8,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:08,18,43
9,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:18,18,43
10,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:28,22,53
11,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:38,21,53
12,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:49,21,53
13,op-batcher-7ddcb69467-jprj9,2026-02-12 05:13:59,23,55
14,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:09,21,57
15,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:19,21,57
16,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:29,21,61
17,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:39,24,66
18,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:49,24,66
19,op-batcher-7ddcb69467-jprj9,2026-02-12 05:14:59,22,71
20,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:10,22,77
21,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:20,22,77
22,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:30,19,77
23,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:40,28,78
24,op-batcher-7ddcb69467-jprj9,2026-02-12 05:15:50,28,78
25,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:00,19,80
26,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:10,19,86
27,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:20,24,92
28,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:31,24,92
29,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:41,24,92
30,op-batcher-7ddcb69467-jprj9,2026-02-12 05:16:51,22,92
